Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type	Pol
2005-Siza_CE_Oct23.xml	246	isoler les tours	Je propose	axiol	
2005-Siza_CE_Oct23.xml	246	libérer des volumes parasites de deux ou trois étages qui s’agrippent à elles	Je propose	axiol	
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	doit	axiol	
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	adoucir	axiol	pos
2005-Siza_CE_Oct23.xml	255	urbanisation outrancière	outrancière	axiol	neg
2005-Siza_CE_Oct23.xml	259	faille les démolir	je ne pense pas	axiol	neg
2005-Siza_CE_Oct23.xml	259	faille les démolir	faille	autre	
2005-Siza_CE_Oct23.xml	260	la transformation antérieure	on peut qualifier de regrettable	axiol	neg
2005-Siza_CE_Oct23.xml	261	démolitions de structures existantes	je suis contre l’idée	axiol	neg
2005-Siza_CE_Oct23.xml	262	détruit	je trouve	axiol	
2005-Siza_CE_Oct23.xml	262	détruit	beaucoup sans raison	axiol	neg
2005-Siza_CE_Oct23.xml	262	détruit	systématiquement	axiol	neg
2005-Siza_CE_Oct23.xml	263	vouloir tout préserver	je trouve tout aussi systématique et stérile	axiol	neg
2005-Siza_CE_Oct23.xml	263	vouloir tout préserver	l’attitude quasi paranoïaque	axiol	neg
2005-Siza_CE_Oct23.xml	263	vouloir tout préserver	vouloir	boul	
2005-Siza_CE_Oct23.xml	278	des transformations en cours	désordre	axiol	neg
2005-Siza_CE_Oct23.xml	278	des persistances	désordre	axiol	neg
2005-Siza_CE_Oct23.xml	278	des transformations en cours	dérèglement des logiques	axiol	neg
2005-Siza_CE_Oct23.xml	278	des persistances	dérèglement des logiques	axiol	neg
2003-Corajoud_CE_Oct23.xml	13	la conception	était décisive	axiol	pos
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	voulait	autre	
2003-Corajoud_CE_Oct23.xml	76	devait requalifier l’Urbain	devait	autre	
2003-Corajoud_CE_Oct23.xml	95	fallait concevoir un enchaînement d’espaces « capables »	fallait	autre	
2003-Corajoud_CE_Oct23.xml	100	ne sont toujours pas terminés	toujours pas	axiol	
2003-Corajoud_CE_Oct23.xml	101	Ce projet	a joué un rôle considérable	axiol	pos
2003-Corajoud_CE_Oct23.xml	104	ne serait pas bousculée	Nous avons décidé	axiol	
2003-Corajoud_CE_Oct23.xml	104	ne serait pas bousculée	bousculée	axiol	neg
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace	ne pas introduire le tumulte	axiol	neg
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace	ne pas déranger	axiol	neg
2003-Corajoud_CE_Oct23.xml	110	agir de manière définitive sur l’espace	Jusque-là, je pensais que l’on pouvait	axiol	
2003-Corajoud_CE_Oct23.xml	129	l’amélioration et à la transformation des lieux	l’amélioration	axiol	pos
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe	voulions	autre	
2003-Corajoud_CE_Oct23.xml	150	En valorisant les quelques hectares de pans de murs	En valorisant	axiol	pos
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	pourrait	autre	
2003-Corajoud_CE_Oct23.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	je pensais qu’un bon moyen de prolonger l’histoire de ce territoire	axiol	
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	Avec Edouardo Souto De Moura, nous avons alors imaginé	axiol	
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	aisément	axiol	pos
2003-Corajoud_CE_Oct23.xml	155	cette dynamique	nous proposions d’instaurer	axiol	
2003-Corajoud_CE_Oct23.xml	156	protection pour la meilleure partie des murs	une stricte mesure	axiol	
2003-Corajoud_CE_Oct23.xml	156	la sauvegarde	l’indigence des moyens de l’État	axiol	
2003-Corajoud_CE_Oct23.xml	160	doit être immergé	doit	autre	
2003-Corajoud_CE_Oct23.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	devait, à son tour	autre	
2003-Corajoud_CE_Oct23.xml	171	toute forme nouvelle d’aménagement	Nous pensions donc	axiol	
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	une entreprise facile	axiol	
2003-Corajoud_CE_Oct23.xml	194	libres tracés des infrastructures	aucune résistance	axiol	
2003-Corajoud_CE_Oct23.xml	194	la juxtaposition des emprises et des constructions	aucune résistance	axiol	
2003-Corajoud_CE_Oct23.xml	195	a occupé les rives	sans restriction	axiol	
2003-Corajoud_CE_Oct23.xml	203	la renaissance de la Plaine	Nous sommes persuadés	axiol	
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	une critique très vive de l’incroyable aveuglement avec lequel	axiol	neg
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	plaqué	axiol	neg
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	éventrée	axiol	neg
2003-Corajoud_CE_Oct23.xml	234	est alors coupée en deux	dévastée par le bruit et la pollution	axiol	neg
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	veut	boul	
2003-Corajoud_CE_Oct23.xml	236	soit couverte	exigent, avant toute négociation	axiol	
2003-Corajoud_CE_Oct23.xml	238	La requalification de l’avenue	joue un rôle décisif	axiol	
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	une critique très vive face à l’incroyable aveuglement avec lequel	axiol	neg
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	plaqué	axiol	neg
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	l’un des plus accomplis de nos derniers projets	axiol	pos
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	voulions	boul	
2003-Corajoud_CE_Oct23.xml	259	son mode de gestion: la tonte fréquente	Un facteur essentiel d’étonnement	axiol	
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	je n’ai pas suffisamment de recul pour faire le bilan de ce travail	axiol	
2003-Corajoud_CE_Oct23.xml	279	jardiner les quais	avons nous choisi	axiol	
2003-Corajoud_CE_Oct23.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne	peut	autre	
2003-Corajoud_CE_Oct23.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne	à mon sens	axiol	
2003-Corajoud_CE_Oct23.xml	290	accueillir une forme urbaine	aptes	axiol	
2003-Corajoud_CE_Oct23.xml	309	veut-on faire de lui	veut	autre	
2003-Corajoud_CE_Oct23.xml	311	doit-on le transformer	pourquoi	axiol	
2003-Corajoud_CE_Oct23.xml	311	doit-on le transformer	doit-on	autre	
2003-Corajoud_CE_Oct23.xml	362	La préservation de l’espace ouvert	est une valeur à défendre	axiol	pos
2003-Corajoud_CE_Oct23.xml	362	l’encombrement systématique de l’espace	il est important de s’opposer	axiol	pos
2003-Corajoud_CE_Oct23.xml	363	vouloir tout tenir, tout construire, tout recomposer	un acharnement	axiol	neg
2003-Corajoud_CE_Oct23.xml	363	vouloir tout tenir, tout construire, tout recomposer	vouloir	boul	
2003-Corajoud_CE_Oct23.xml	371	la transformation et l’amélioration des lieux	l’amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	14	un bâtiment mal conçu	mal	axiol	neg
2022-Boutté_CE_Oct23.xml	37	doit s’équiper d’un dispositif de production	doit	autre	
2022-Boutté_CE_Oct23.xml	40	réaliser des opérations réussies	la volonté	boul	
2022-Boutté_CE_Oct23.xml	40	réaliser des opérations réussies	réussies	axiol	pos
2022-Boutté_CE_Oct23.xml	43	la transition des territoires	peuvent concrètement contribuer	autre	
2022-Boutté_CE_Oct23.xml	56	densifier certains territoires	est vertueux	axiol	pos
2022-Boutté_CE_Oct23.xml	57	leur projet	dégradent	axiol	neg
2022-Boutté_CE_Oct23.xml	91	une urbanisation	atténuer l’impact	axiol	
2022-Boutté_CE_Oct23.xml	109	appauvrit nécessairement la forme urbaine	appauvrit nécessairement	axiol	neg
2022-Boutté_CE_Oct23.xml	111	la production générique du logement	générique	axiol	neg
2022-Boutté_CE_Oct23.xml	123	la permanence d’une cohérence globale d’aménagement	cohérence	axiol	pos
2022-Boutté_CE_Oct23.xml	131	pouvaient largement intervenir dans la qualité spatiale de leurs projets	pouvaient	autre	
2022-Boutté_CE_Oct23.xml	152	figer lors du concours une forme urbaine et des espaces publics	figer		
2022-Boutté_CE_Oct23.xml	152	des ajustements marginaux	marginaux	axiol	
2022-Boutté_CE_Oct23.xml	166	est impératif de rediriger les efforts vers l’existant	est impératif	axiol	
2022-Boutté_CE_Oct23.xml	167	peut continuer à vouloir optimiser le neuf	peut continuer à vouloir	boul	
2022-Boutté_CE_Oct23.xml	167	peut continuer à vouloir optimiser le neuf	peut continuer à vouloir	autre	
2022-Boutté_CE_Oct23.xml	172	la forme urbaine qui pouvait en résulter	en faisant l’impasse	axiol	neg
2022-Boutté_CE_Oct23.xml	172	la forme urbaine qui pouvait en résulter	pouvait	autre	
2022-Boutté_CE_Oct23.xml	181	l’étude de l’organisation des pleins et des vides	nous a intéressés	axiol	
2022-Boutté_CE_Oct23.xml	181	a su garder une hauteur globale modérée	a su	axiol	
2022-Boutté_CE_Oct23.xml	186	percer un pignon ou un mitoyen	il est facile	axiol	pos
2022-Boutté_CE_Oct23.xml	186	une réorganisation multiple de l’accessibilité	autorisant	autre	
2022-Boutté_CE_Oct23.xml	186	des facteurs de mutabilité inspirants	inspirants	axiol	pos
2022-Boutté_CE_Oct23.xml	197	la réintervention sur le bâti	facilitant	axiol	pos
2022-Boutté_CE_Oct23.xml	199	un impact massif sur une métropole	massif	axiol	
2022-Boutté_CE_Oct23.xml	200	réinventer en profondeur les bases politiques, culturelles et esthétiques de la société	besoin vital	axiol	
2022-Boutté_CE_Oct23.xml	200	la fabrique haussmannienne de la ville	passe au second plan	axiol	
2022-Boutté_CE_Oct23.xml	224	réinventer une ville de la non-hostilité	vouloir	boul	
2022-Boutté_CE_Oct23.xml	233	l’actuel épaississement des bâtiments	est nocif	axiol	neg
2022-Boutté_CE_Oct23.xml	234	augmenter la compacité des bâtiments	un puissant levier économique court-termiste, à leur avantage exclusif	axiol	
2022-Boutté_CE_Oct23.xml	234	augmenter la compacité des bâtiments	au détriment de qualités d’habitabilité sur le long terme	axiol	neg
2022-Boutté_CE_Oct23.xml	236	étudier l’option de mitoyenneté	Il est d’autant plus nécessaire	autre	
2022-Boutté_CE_Oct23.xml	243	un grand projet d’intérêt national	il ne faut pas nécessairement	autre	
2022-Boutté_CE_Oct23.xml	248	les services écosystémiques que ces espaces pouvaient offrir à la ville	pouvaient	autre	
2022-Boutté_CE_Oct23.xml	252	soigner un rapport au sol ou au sous-sol (nappe phréatique)	soigner	axiol	pos
2022-Boutté_CE_Oct23.xml	255	aller, sur tous les territoires, vers une plus grande qualité de la construction	vers une plus grande qualité	axiol	pos
2022-Boutté_CE_Oct23.xml	257	l’amélioration du logement	l’amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	261	agir	il redevient possible	autre	
2022-Boutté_CE_Oct23.xml	261	projet urbain ou territorial	sous-outillés	axiol	neg
2022-Boutté_CE_Oct23.xml	269	les différentes méthodes de réhabilitation souhaitables	souhaitables	axiol	pos
2022-Boutté_CE_Oct23.xml	273	réemploi des bâtiments existants	passer à la vitesse supérieure	axiol	
2022-Boutté_CE_Oct23.xml	321	construire plus vite et moins cher	besoin urgent	axiol	
2022-Boutté_CE_Oct23.xml	340	table rase de ce quartier	ne justifient pas à mon sens que l’on fasse	axiol	neg
2022-Boutté_CE_Oct23.xml	359	les Opérations programmées d’amélioration de l’habitat	amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	360	Opérations programmées d’amélioration thermique des bâtiments	amélioration	axiol	pos
2022-Boutté_CE_Oct23.xml	386	tentons de mettre en œuvre des stratégies territoriales	tentons	axiol	
2022-Boutté_CE_Oct23.xml	422	« résilience »	« résilience »		
2022-Boutté_CE_Oct23.xml	424	adapter le fonctionnement du système urbain et de ses composantes	la nécessité	autre	
2022-Boutté_CE_Oct23.xml	437	un projet collectif et responsable de construction d’un territoire	responsable	axiol	pos
2022-Boutté_CE_Oct23.xml	439	permet de penser les implantations territoriales et urbaines	permet	autre	
2022-Boutté_CE_Oct23.xml	465	faut penser la ville	faut	autre	
2022-Boutté_CE_Oct23.xml	467	doivent devenir prospectivistes, anticiper et construire des scénarios sur le futur	doivent	autre	
2022-Boutté_CE_Oct23.xml	484	une approche métaboliste des territoires et des systèmes urbains	permet de fonder	autre	
2022-Boutté_CE_Oct23.xml	484	stratégies efficaces de soutenabilité	stratégies efficaces	axiol	pos
2022-Boutté_CE_Oct23.xml	487	perdurer	avoir des chances	axiol	pos
2022-Boutté_CE_Oct23.xml	487	ses propres actions correctrices	doit pouvoir intégrer	autre	
2022-Boutté_CE_Oct23.xml	488	se transformer	être capable	autre	
2022-Boutté_CE_Oct23.xml	498	ont pu être altérés par des décisions malheureuses	ont pu être altérés	axiol	neg
2022-Boutté_CE_Oct23.xml	498	ont pu être altérés par des décisions malheureuses	ont pu être altérés	autre	neg
2022-Boutté_CE_Oct23.xml	517	Les opérations d’aménagement	doivent devenir de véritables plateformes d’engagement	autre	
2022-Boutté_CE_Oct23.xml	535	« faire ville »	la possibilité	autre	
2022-Boutté_CE_Oct23.xml	536	faire ville	il est possible	autre	
2022-Boutté_CE_Oct23.xml	558	une vision stratégique pour l’ensemble du site	veut initialement développer	boul	
2022-Boutté_CE_Oct23.xml	559	le rétablissement d’une continuité urbaine entre Bercy et Charenton	s’impose	autre	
2022-Boutté_CE_Oct23.xml	561	accueillir un programme mixte d’un million de mètres carrés	la capacité	autre	
2022-Boutté_CE_Oct23.xml	617	l’opération	la taille colossale	axiol	
2022-Boutté_CE_Oct23.xml	681	Montpellier 2040	un projet charnière	axiol	
2022-Boutté_CE_Oct23.xml	733	n’édifier désormais pour ses installations que des bâtiments à énergie positive	innove en décidant	axiol	
2022-Boutté_CE_Oct23.xml	745	rétroagir de façon positive sur un territoire d’accueil	permettant	autre	
2022-Boutté_CE_Oct23.xml	751	installer en toiture les compensations techniques permettant de viser la positivité énergétique attendue	la complexité	axiol	
2022-Boutté_CE_Oct23.xml	751	installer en toiture les compensations techniques permettant de viser la positivité énergétique attendue	le manque de sens	axiol	neg
2022-Boutté_CE_Oct23.xml	758	adapter le fonctionnement urbain	la nécessité	autre	
2022-Boutté_CE_Oct23.xml	764	ne plus détruire, ou a minima détruire moins	a minima détruire moins	axiol	
2022-Boutté_CE_Oct23.xml	765	la transformation	s’avère délicate	axiol	neg
2022-Boutté_CE_Oct23.xml	777	offre une flexibilité, une capacité d’évolutivité et de flexibilité inégalée	inégalée	axiol	pos
2022-Boutté_CE_Oct23.xml	783	des réalisations hyper-déterministes incapables d’évoluer	incapables d’évoluer	autre	
2022-Boutté_CE_Oct23.xml	881	permet de penser les implantations territoriales et urbaines	permet	autre	
2022-Boutté_CE_Oct23.xml	894	l’installation d’activités humaines	la possibilité de concilier	autre	
2022-Boutté_CE_Oct23.xml	895	ce qu’il peut devenir	peut	autre	
2022-Boutté_CE_Oct23.xml	902	ne pouvait plus se faire sans la nature	ne pouvait plus	autre	
2022-Boutté_CE_Oct23.xml	906	le développement d’espaces de nature	peut alors proposer	autre	
2022-Boutté_CE_Oct23.xml	907	la réalisation des ambitions d’une nature métropolitaine	permettre	autre	
2022-Boutté_CE_Oct23.xml	919	peut être améliorée	peut être	autre	
2022-Boutté_CE_Oct23.xml	919	peut être améliorée	améliorée	axiol	pos
2022-Boutté_CE_Oct23.xml	919	doivent être résorbés	doivent	autre	
2022-Boutté_CE_Oct23.xml	923	rafraîchir la ville	rafraîchir		
2022-Boutté_CE_Oct23.xml	924	faire la ville durable et désirable du xxie siècle	désirable	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	toute possibilité	autre	
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	notable	axiol	
1965-SDAURP_CE_Oct23_GP.xml	66	inscrire sur le sol cette carte de son devenir	cette volonté, patiente elle aussi, mais obstinée	boul	
1965-SDAURP_CE_Oct23_GP.xml	66	croissance et modernisation	imposant	axiol	
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	c'est rendre la vie meilleure aux millions d'hommes et de femmes, ses habitants d'aujourd'hui et de demain	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	c'est faire de cette région un outil économique plus efficace au service de la collectivité nationale	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	c'est y mettre en valeur une beauté ancienne, y créer une beauté nouvelle, que le Parisien comme le visiteur du pays le plus lointain puisse aimer	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	78	l'œuvre à accomplir	l'œuvre	axiol	
1965-SDAURP_CE_Oct23_GP.xml	108	cet accroissement de la région de Paris	Il serait erroné, s'arrêtant au chiffre brut (+3,2 millions d'habitants en 23 ans), de croire	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	192	double	Il est improbable	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	compensant le retard des premières	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	augmentent davantage	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	194	triplent	il faut donc	autre	
1965-SDAURP_CE_Oct23_GP.xml	200	"soulager" efficacement la région parisienne	veulent contribuer	boul	
1965-SDAURP_CE_Oct23_GP.xml	200	"soulager" efficacement la région parisienne	"soulager" efficacement	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	202	peuvent décharger l'agglomération de Paris	peuvent	autre	
1965-SDAURP_CE_Oct23_GP.xml	273	la croissance spontanée d'autres villes dynamiques	spontanée		
1965-SDAURP_CE_Oct23_GP.xml	273	une action concentrée	s'impose	autre	
1965-SDAURP_CE_Oct23_GP.xml	273	accroissement de la région de Paris	l'inéluctable	axiol	
1965-SDAURP_CE_Oct23_GP.xml	274	commencent à "soulager" Paris	"soulager"	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	274	un triplement	un effort considérable	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	277	voir rapidement grandir les autres villes de France	ne peut que souhaiter	boul	
1965-SDAURP_CE_Oct23_GP.xml	280	un freinage des métropoles d'équilibre ou des villes du bassin parisien	ce n'est pas prévoir et encore moins vouloir	boul	
1965-SDAURP_CE_Oct23_GP.xml	280	le commencement de leur réveil	leur réveil	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	281	auront d'ici là préparé leur ville, ou plutôt leur agglomération et dans certains cas leur région urbaine toute entière	c'est tenir pour vraisemblable	autre	
1965-SDAURP_CE_Oct23_GP.xml	287	fallait prendre une perspective plus lointaine que l'an 2000	fallait	autre	
1965-SDAURP_CE_Oct23_GP.xml	304	son extension spatiale	serait inéluctable	axiol	
1965-SDAURP_CE_Oct23_GP.xml	305	Cette extension	doit être d'autant plus largement prévue	autre	
1965-SDAURP_CE_Oct23_GP.xml	314	devraient être systématiquement détruits	devraient	autre	
1965-SDAURP_CE_Oct23_GP.xml	342	faut prévoir l'imprévisible	faut	autre	
1965-SDAURP_CE_Oct23_GP.xml	343	densifier abusivement les rares terrains disponibles	abusivement	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	344	garder des réserves	avoir la sagesse	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	344	aller construire	la hardiesse	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	345	leur extension	pourront	autre	
1965-SDAURP_CE_Oct23_GP.xml	381	telle ou telle réalisation	la réussite	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	381	telle ou telle réalisation	l'échec	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	382	peuvent être ou ménagés ou compromis	peuvent	autre	
1965-SDAURP_CE_Oct23_GP.xml	382	peuvent être ou ménagés ou compromis	compromis	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	383	"construire beau"	un devoir	autre	
1965-SDAURP_CE_Oct23_GP.xml	383	"construire beau"	beau	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	383	"construire beau"	une exigence collective	boul	
1965-SDAURP_CE_Oct23_GP.xml	395	leur implantation	peut changer du tout au tout la valeur des services qu'ils rendront	autre	
1965-SDAURP_CE_Oct23_GP.xml	399	une bonne implantation	cette nécessité	autre	
1965-SDAURP_CE_Oct23_GP.xml	399	une bonne implantation	bonne	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	407	l'aménagement	quelles orientations déterminantes doivent y prendre		
1965-SDAURP_CE_Oct23_GP.xml	435	la réalisation des grands ouvrages et des programmes d’équipement	problèmes	axiol	neg
1965-SDAURP_CE_Oct23_GP.xml	435	l'avenir de l'agglomération	les plus déterminants	axiol	pos
1965-SDAURP_CE_Oct23_GP.xml	441	tout retard	est lourd de conséquences	axiol	neg
