Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	axe_temp	absolu	Type
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	actuellement	pas		pres
2003-Corajoud_CE_Oct23.xml	270	chantier	Il nous reste quatre ou cinq ans	fut		dur
2003-Corajoud_CE_Oct23.xml	280	restera	pour toujours	fut		dur
2003-Corajoud_CE_Oct23.xml	356	ont modelé et configuré ce paysage	divers temps			
2022-Boutté_CE_Oct23.xml	30	le logement de qualité de demain	demain	fut		
2022-Boutté_CE_Oct23.xml	50	sa mise en œuvre	dans la durée	fut		dur
2022-Boutté_CE_Oct23.xml	152	figer lors du concours une forme urbaine et des espaces publics	lors du concours			
2022-Boutté_CE_Oct23.xml	153	concevoir une forme urbaine	deux petits mois			
2022-Boutté_CE_Oct23.xml	174	le projet de la rue Frémicourt	Au début des années 2010	pas	oui	
2022-Boutté_CE_Oct23.xml	192	projets imaginés	au début des années 2010	pas	oui	
2022-Boutté_CE_Oct23.xml	193	concevoir des bâtiments bas carbone	pour 2012	pas	oui	
2022-Boutté_CE_Oct23.xml	199	perdurera	près de cinquante années après le départ du baron de son poste de préfet	pas		dur
2022-Boutté_CE_Oct23.xml	199	un impact massif sur une métropole	dans une fenêtre historique qui reste relativement étroite	pas		dur
2022-Boutté_CE_Oct23.xml	200	sa tabula rasa	dans les années 1920	pas	oui	dur
2022-Boutté_CE_Oct23.xml	233	l’actuel épaississement des bâtiments	l’actuel	pres		dur
2022-Boutté_CE_Oct23.xml	319	l’industrialisation de la construction	au sortir de la Seconde Guerre mondiale	pas		
2022-Boutté_CE_Oct23.xml	322	la construction d’alors	d’alors	pas		dur
2022-Boutté_CE_Oct23.xml	395	pari sur l’avenir	l’avenir	fut		
2022-Boutté_CE_Oct23.xml	399	Une première expérience à grande échelle	menée en 2007	pas	oui	
2022-Boutté_CE_Oct23.xml	445	imaginant la ville apaisée	post-Covid	fut		
2022-Boutté_CE_Oct23.xml	503	qualifions les vides	après des années de sur-optimisation environnementale des pleins			
2022-Boutté_CE_Oct23.xml	510	la ville de demain	demain	fut		
2022-Boutté_CE_Oct23.xml	522	Une première expérience à la grande échelle	en 2007	pas	oui	
2022-Boutté_CE_Oct23.xml	567	futur quartier de Bercy-Charenton	futur	fut		
2022-Boutté_CE_Oct23.xml	588	planification urbaine et territoriale	près d’un demi-siècle	pas		dur
2022-Boutté_CE_Oct23.xml	588	dessiner une métropole complète	en six mois de temps			dur
2022-Boutté_CE_Oct23.xml	615	la future cité	future	fut		
2022-Boutté_CE_Oct23.xml	768	Le projet Saussure, érigé en 2014	en 2014	pas	oui	
2022-Boutté_CE_Oct23.xml	869	les facteurs d’évolution	futur	fut		
2022-Boutté_CE_Oct23.xml	869	son développement futur	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	9	sans cesse grandissantes	depuis un siècle	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	10	tombaient les fortifications de Thiers	en 1925	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	20	vinrent suspendre pendant plus de dix années toute possibilité de réalisation notable en matière d'urbanisme	pendant plus de dix années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	37	l'avenir de la région parisienne	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	40	l'avenirl'avenir de la région parisienne	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	46	"Devenir de Paris"	Devenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	77	Préparer la région de Paris à son avenir	son avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	108	la fin de la décentralisation entreprise	il y a une dizaine d'années	pas		
1965-SDAURP_CE_Oct23_GP.xml	133	La croissance de Paris	entre 1985 et 2000	fut	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	155	auraient en moyenne plus que doublé	De 1962 à 2000	fut	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	161	CROISSANCE DES MÉTROPOLES D’ÉQUILIBRE	1954- 1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	199	un triplement	en trente-cinq ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	212	CROISSANCE DES AGGLOMÉRATIONS IMPORTANTES DU BASSIN PARISIEN	1954-1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	221	CROISSANCE DES AGGLOMÉRATIONS MOYENNES DU BASSIN PARISIEN	1954- 1962	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	280	leur essor	des années récentes	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	280	vont tripler	en moins de quarante ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	281	auront d'ici là préparé leur ville, ou plutôt leur agglomération et dans certains cas leur région urbaine toute entière	d'ici là	fut		
1965-SDAURP_CE_Oct23_GP.xml	313	les usines et les bureaux construits	aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	314	bâtiments construits	avant 1880	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	314	existent encore	aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	338	seront construits	d'ici la fin du siècle	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	338	seraient reconstruits	d'ici la fin du siècle	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	435	l'avenir de l'agglomération	l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	441	peut être réalisé aisément et à coût normal	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	452	les poussées de la ville	depuis 1840	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	478	Tracer le schéma directeur du Paris de demain	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	479	ont déjà étendue	depuis Haussmann	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	479	successivement franchies	depuis Haussmann	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	479	a toujours grandi	toujours	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	507	en formeront huit	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	571	ont été construits	depuis la fin de la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	573	construits	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	575	Les constructions n'ont en effet repris	qu'à partir de ce moment	pas		
1965-SDAURP_CE_Oct23_GP.xml	575	13.000 logements terminés	en 1953	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	577	aura construit, depuis 1953, plus d'un million de logements	depuis 1953	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	578	aura bâti un autre Paris	en quinze ans			dur
1965-SDAURP_CE_Oct23_GP.xml	599	se colmatent	Progressivement			dur
1965-SDAURP_CE_Oct23_GP.xml	602	Les constructions réalisées	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	603	l'agrandissement	tout au long des siècles	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	604	le comblement des espaces interstitiels	enfin			
1965-SDAURP_CE_Oct23_GP.xml	606	demeurent libres	pour le moment	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	607	deux ou trois zones déjà construites	déjà	pas		
1965-SDAURP_CE_Oct23_GP.xml	608	le rythme de construction à soutenir	pendant de nombreuses années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	617	n'est guère possible de conserver longtemps des terres agricoles presqu'enclavées dans la ville	longtemps			dur
1965-SDAURP_CE_Oct23_GP.xml	647	50.000 logements à détruire	en 1965	futur	oui	
1965-SDAURP_CE_Oct23_GP.xml	649	90 opérations d'importance fort variable étaient en cours	au 1er janvier 1965		oui	
1965-SDAURP_CE_Oct23_GP.xml	663	Un doublement de cette cadence	au terme des cinq années à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	667	réserver en temps voulu les parcelles de terrains	en temps voulu			
1965-SDAURP_CE_Oct23_GP.xml	667	la réalisation ultérieure de ces équipements	ultérieure	fut		
1965-SDAURP_CE_Oct23_GP.xml	705	Les grands ensembles construits	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	705	ont submergé les environs, boisés ou cultivés	au cours des années qui ont suivi la première guerre mondiale	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	707	ont été - à raison de 20 logements à l'hectare en moyenne - couverts de pavillons	En dix années environ	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	714	la zone construite	à l'époque	pas		
1965-SDAURP_CE_Oct23_GP.xml	727	GROUPES DE LOGEMENTS CONSTRUITS	DE 1939 A 1964	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	730	GROUPES DE LOGEMENTS CONSTRUITS	DE 1939 A 1964	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	759	s'implantent	encore trop souvent	pres		
1965-SDAURP_CE_Oct23_GP.xml	769	une stagnation	de plusieurs décennies	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	769	a fait démarrer de grands travaux d'équipement public	dès 1960	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	785	IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS	RÉCENTE	pas		
1965-SDAURP_CE_Oct23_GP.xml	786	IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS	RÉCENTE	pas		
1965-SDAURP_CE_Oct23_GP.xml	795	sont à localiser	chaque année	fut		iter
1965-SDAURP_CE_Oct23_GP.xml	795	plus de 1.200.000 logements en dix ans, soit l'équivalent d'une autre ville de Paris à construire	en dix ans	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	807	ses extensions	à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	816	L'urbanisme pratiqué	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	830	s'accroît	tous les trois ans			iter
1965-SDAURP_CE_Oct23_GP.xml	833	l'enceinte dite des Fermiers Généraux construite	peu avant la Révolution	pas		
1965-SDAURP_CE_Oct23_GP.xml	833	fit annexer	1860	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	842	des progrès	il y a un demi-siècle	pas		
1965-SDAURP_CE_Oct23_GP.xml	854	120.000 logements à construire	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	879	ne peuvent plus, faute de place, être localisés	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	926	leur construction	plus tard	fut		
1965-SDAURP_CE_Oct23_GP.xml	931	80.000 à 100.000 logements construits	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	931	formeraient chaque année une ville de plus de 300.000 habitants, aussi grande que Toulouse et son agglomération	chaque année			iter
1965-SDAURP_CE_Oct23_GP.xml	944	a été entrepris récemment une opération de rénovation totale	récemment	pas		
1965-SDAURP_CE_Oct23_GP.xml	951	se sont créés	depuis le fond de l'histoire de Paris jusqu'à aujourd'hui	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	953	se construiront	dans les prochaines années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	954	l'urbanisation	à venir	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	963	la croissance passée	passée	pas		
1965-SDAURP_CE_Oct23_GP.xml	983	un grand dynamisme	depuis quelques années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	986	va sans cesse se rapprocher	sans cesse	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	993	se rejoindraient	à terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1000	Les new-towns réalisées	peu après 1950	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1019	un phénomène qui s'accomplira	en plusieurs années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1030	seront urbanisées	au cours des décennies à venir	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1040	aient été créées	dès l'origine	pas		
1965-SDAURP_CE_Oct23_GP.xml	1061	ont été réalisées	les plus récentes	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1075	a doté Paris intra-muros	il y a un siècle	pas		
1965-SDAURP_CE_Oct23_GP.xml	1075	l'agglomération de demain	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	1091	l'extension de la ville	maintenant	pres		
1965-SDAURP_CE_Oct23_GP.xml	1126	reformeront chaque jour, chaque semaine, et la trame et la chaîne	chaque semaine			iter
1965-SDAURP_CE_Oct23_GP.xml	1126	une image vivante et constamment renouvelée	constamment			iter
1965-SDAURP_CE_Oct23_GP.xml	1130	se forme	quotidiennement	pres		iter
1965-SDAURP_CE_Oct23_GP.xml	1159	les développements	à venir	fut		
1965-SDAURP_CE_Oct23_GP.xml	1165	le futur aéroport Nord	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	1190	la mise en service complète	pour 1970	fut	oui	
1965-SDAURP_CE_Oct23_GP.xml	1192	la poussée des constructions	jusqu'à une époque récente	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1218	la zone actuellement construite	actuellement	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1220	peuvent être conservés	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	1220	îlots de verdure sans cesse grignotés	sans cesse			dur
1965-SDAURP_CE_Oct23_GP.xml	1249	Cette industrialisation	date du xixe siècle	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1250	se transforment	Aujourd'hui	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1253	de vastes lotissements créés	entre les deux guerres	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1254	attend sa réalisation	depuis près de quarante ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1271	le futur aérodrome	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	1273	sera à terme, renforcé	à terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1284	doubler	ultérieurement	fut		
1965-SDAURP_CE_Oct23_GP.xml	1303	la future région urbaine de Paris	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	1333	des constructions récentes	récentes	pas		
1965-SDAURP_CE_Oct23_GP.xml	1336	la croissance	des 15 dernières années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1337	les plus grandes opérations de construction de toute la zone ont été réalisées	depuis 1950	pas	oui/non	dur
1965-SDAURP_CE_Oct23_GP.xml	1350	des extensions récentes	récentes	pas		
1965-SDAURP_CE_Oct23_GP.xml	1358	verra sa croissance se stabiliser	dans l'avenir	fut		
1965-SDAURP_CE_Oct23_GP.xml	1363	les développements récents	récents	pas		
1965-SDAURP_CE_Oct23_GP.xml	1364	une phase de mise en ordre et d'équipement	maintenant	pres		
1965-SDAURP_CE_Oct23_GP.xml	1369	le développement actuel extrêmement dynamique mais également désordonné du Sud-Ouest de l'agglomération parisienne	actuel	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1370	Ce dynamisme	depuis ces dernières années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1400	la dispersion	à terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1404	les développements futurs de la rive gauche de Seine en aval de Paris	futurs	fut		
1965-SDAURP_CE_Oct23_GP.xml	1415	un développement rapide	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1422	est actuellement peu urbanisée	actuellement	pres		
1965-SDAURP_CE_Oct23_GP.xml	1441	L'extension de l'agglomération de Mantes	dans les prochaines années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1441	futur ensemble de loisir	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	1444	zones industrielles établies	au fur et à mesure de la disparition progressive des champs d'épandage	fut		
1965-SDAURP_CE_Oct23_GP.xml	1456	les ensembles d'immeubles collectifs construits	depuis dix ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1458	a depuis longtemps accueilli des habitations de qualité	depuis longtemps	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1459	ont été livrés à l'habitat	depuis 15 ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1461	la future région urbaine	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	1479	urbanisation	ancienne	pas		
1965-SDAURP_CE_Oct23_GP.xml	1481	a été peu construit	jusqu'à la dernière guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1482	la construction d'immeubles collectifs s'est développée	depuis quinze ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1485	se sont développées	depuis 1920	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	1487	développement récent	récent	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1507	se constituera	peu à peu	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	1523	disparaissent	peu à peu	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1529	recommencent même à se développer	depuis quelques années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1542	pourront être désaffectés	à terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1567	le dynamisme renaît	depuis 15 ans	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1584	se sont relativement peu développées	jusqu'à ces dernières années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1584	leur expansion	au cours du xixe siècle	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	1586	un renouveau de vitalité	Depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1589	le développement futur de ces villes	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	1594	une nouvelle étape de l'antique Lutèce	pour la fin du xxe siècle	fut	oui	
1965-SDAURP_CE_Oct23_GP.xml	1621	les projets en cours de voies nouvelles	en cours	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1632	est en surface vingt fois plus grande	Trois siècles et demi plus tard	pres		
1965-SDAURP_CE_Oct23_GP.xml	1658	l'opération actuelle de la Défense	actuelle	pres		dur
1965-SDAURP_CE_Oct23_GP.xml	1665	a été doublée	Au xixe siècle	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1665	redoublée	au début du xxe siècle	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	1670	les travaux	jusqu'à leur terme	fut		
1965-SDAURP_CE_Oct23_GP.xml	1687	demain occupera plus de 2.000 km2	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	1708	desserrement	après-demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	1712	ont gardé au cours des siècles beaucoup d'espaces	au cours des siècles	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1721	un "bourrage" d'habitat	depuis la guerre	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1778	l'évolution urbaine	des vingt dernières années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	1780	la future organisation urbaine	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	1953	300 établissements industriels récemment créés	récemment	pas		
1965-SDAURP_CE_Oct23_GP.xml	1957	l'ouverture d'un nouvel aéroport	dans une dizaine d'années	fut		
1965-SDAURP_CE_Oct23_GP.xml	2012	la future organisation urbaine	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	2026	construit	avant la première guerre mondiale	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	2026	n'a guère évolué	jusqu'à une date récente	pas		
1965-SDAURP_CE_Oct23_GP.xml	2073	a vu le jour	avant 1940	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	2074	s'ouvre le premier tronçon de l'autoroute du Sud	1960	pas	oui	
1965-SDAURP_CE_Oct23_GP.xml	2134	une nouvelle transformation radicale	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	2137	remettre en cause, à cette échéance, la forme des villes	à cette échéance	fut		
1965-SDAURP_CE_Oct23_GP.xml	2137	peut aujourd'hui concevoir	aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	2150	les réseaux de transport futurs	futurs	fut		
1965-SDAURP_CE_Oct23_GP.xml	2198	ne pourrait être réalisée d'ici à la fin du siècle	d'ici à la fin du siècle	fut	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	2205	ses futures extensions	futures	fut		
1965-SDAURP_CE_Oct23_GP.xml	2274	Le réseau routier futur	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	2279	des différentes routes futures	futures	fut		
1965-SDAURP_CE_Oct23_GP.xml	2306	ouvrages à réaliser	à moyen terme	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	2306	les élargissements futurs	futurs	fut		
1965-SDAURP_CE_Oct23_GP.xml	2324	la future préfecture d’Évry	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	2349	le futur axe urbain	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	2369	Le réseau routier futur	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	2402	la future région urbaine	future	fut		
1965-SDAURP_CE_Oct23_GP.xml	2407	celle construite récemment	récemment	pas		
1965-SDAURP_CE_Oct23_GP.xml	2658	devrait s'accroître	d'ici à la fin du siècle	fut		
1965-SDAURP_CE_Oct23_GP.xml	2669	les vagues successives d'expansion	depuis près d'un siècle	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2675	le développement	le moins ancien	pas		
1965-SDAURP_CE_Oct23_GP.xml	2683	submergés	maintenant	pres		
1965-SDAURP_CE_Oct23_GP.xml	2687	une évolution continue	depuis le début du siècle	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2689	Les mouvements observés	au cours des dernières années	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2691	l'exode industriel	Entre les deux derniers recensements de population	pas		
1965-SDAURP_CE_Oct23_GP.xml	2693	l'évolution récente	récente	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2715	l'implantation des industries	jusqu'alors	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2753	les futurs centres urbains	futurs	fut		
1965-SDAURP_CE_Oct23_GP.xml	2754	remplir les nouveaux centres	plusieurs années	fut		dur
1965-SDAURP_CE_Oct23_GP.xml	2758	peuvent s'implanter rapidement	rapidement	fut		
1965-SDAURP_CE_Oct23_GP.xml	2791	futures zones urbanisées	futures	fut		
1965-SDAURP_CE_Oct23_GP.xml	2797	quartiers construits successivement	successivement	fut		
1965-SDAURP_CE_Oct23_GP.xml	2797	futur centre de la ville	futur	fut		
1965-SDAURP_CE_Oct23_GP.xml	2803	soient mises en place	dès la naissance des villes nouvelles	fut		
1965-SDAURP_CE_Oct23_GP.xml	2880	ont grandi	Les siècles ont passé	pas		dur
1965-SDAURP_CE_Oct23_GP.xml	2881	construire	presque jusqu'au milieu du xxe siècle	pas	oui	dur
1965-SDAURP_CE_Oct23_GP.xml	2918	des aménagements	dès maintenant	pres		
1965-SDAURP_CE_Oct23_GP.xml	2945	complété par un auditorium de 3.000 places	éventuellement	fut		
1965-SDAURP_CE_Oct23_GP.xml	2967	en pleine évolution	Aujourd'hui	pres		
1965-SDAURP_CE_Oct23_GP.xml	2982	n'a pas été prévue	aux époques - fort anciennes pour certains quartiers, mais parfois très récentes ailleurs - où était possible ce qui ne l'est plus	pas		
1965-SDAURP_CE_Oct23_GP.xml	2987	la région urbaine de demain	demain	fut		
1965-SDAURP_CE_Oct23_GP.xml	3024	ce Paris dessiné	en 1965	pres	oui	
2005-Reichen_CE_Oct23.xml	28	les premières délocalisations de l’industrie textile	Dans le débat des années 1975	pas	oui	dur
2005-Reichen_CE_Oct23.xml	37	la filature Prouvost à Tourcoing, reconvertie	en 1983	pas	oui	
2005-Reichen_CE_Oct23.xml	42	transformer	Vingt ans plus tard	pas		
2005-Reichen_CE_Oct23.xml	43	l’avenir de ce quartier	l’avenir	fut		
2005-Reichen_CE_Oct23.xml	48	l’avenir des villes	l’avenir	fut		
2005-Reichen_CE_Oct23.xml	81	mise en œuvre d’infrastructures « égocentrées »	quelques décennies	pas		dur
2005-Reichen_CE_Oct23.xml	98	une transformation mesurée qui est menée	maintenant	pres		
2005-Reichen_CE_Oct23.xml	121	l’avenir de ce quartier	l’avenir	fut		
2005-Reichen_CE_Oct23.xml	124	L’obsolescence rapide des grands ensembles	rapide			
2005-Reichen_CE_Oct23.xml	130	reconstruire en dix ans les bases d’un grand paysage	en dix ans	fut		dur
2005-Reichen_CE_Oct23.xml	135	était transformé	Dans un même temps			
2005-Reichen_CE_Oct23.xml	139	D’autres grands développements ont été ensuite réalisés	ensuite			
2005-Reichen_CE_Oct23.xml	140	générer ensuite des développements contradictoires	ensuite			
2005-Reichen_CE_Oct23.xml	162	Soixante projets	depuis 1970	pas	oui	dur
2005-Reichen_CE_Oct23.xml	168	un projet urbain	dans l’avenir	fut		
2005-Reichen_CE_Oct23.xml	182	les développements futurs	futurs	fut		
2005-Reichen_CE_Oct23.xml	215	a changé	années 1970	pas	oui	dur
2005-Reichen_CE_Oct23.xml	215	a changé	plus vite que la société			
2005-Reichen_CE_Oct23.xml	260	le chantier urbain	prochaines décennies			
1958-padog_CE_Oct23_GP.xml	2	se sont accrus	Depuis 1880	pas	oui	dur
1958-padog_CE_Oct23_GP.xml	4	l’embellissement de Paris	au cours de notre histoire	pas		dur
