Nom_fichier	Numero_Phrase	Dynamique	Segment_Annoté
1965-SDAURP_CE_Oct23_GP.xml	717	les surfaces réservées	les plans
1965-SDAURP_CE_Oct23_GP.xml	747	l'implantation des activités	La deuxième mesure réglementaire
1965-SDAURP_CE_Oct23_GP.xml	748	toute création	Un décret du 5 janvier 1955
1965-SDAURP_CE_Oct23_GP.xml	748	toute extension	Un décret du 5 janvier 1955
1965-SDAURP_CE_Oct23_GP.xml	748	toute création	un décret du 31 décembre 1958
1965-SDAURP_CE_Oct23_GP.xml	748	toute extension	un décret du 31 décembre 1958
1965-SDAURP_CE_Oct23_GP.xml	749	mètre carré construit	Une loi du 2 août 1960
1965-SDAURP_CE_Oct23_GP.xml	750	l'expansion des activités	>Ces textes
1965-SDAURP_CE_Oct23_GP.xml	750	l'implantation d'activités	>Ces textes
1965-SDAURP_CE_Oct23_GP.xml	751	l'implantation	Une telle réglementation
1965-SDAURP_CE_Oct23_GP.xml	751	le desserrement	Une telle réglementation
1965-SDAURP_CE_Oct23_GP.xml	769	a fait démarrer de grands travaux d'équipement public	un programme triennal
1965-SDAURP_CE_Oct23_GP.xml	843	ces réseaux nouveaux	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	844	une modernisation	le plan des transports
1965-SDAURP_CE_Oct23_GP.xml	844	accentuerait la congestion du centre	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	862	a créé cinq départements nouveaux	la loi du 10 juillet 1964
1965-SDAURP_CE_Oct23_GP.xml	865	constituer des centres urbains nouveaux	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	894	les centres urbains nouveaux	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	900	"noyaux restructurateurs"	P.A.D.O.G.
1965-SDAURP_CE_Oct23_GP.xml	900	"noyaux restructurateurs"	Plan d'aménagement et d'organisation générale de la région parisienne
1965-SDAURP_CE_Oct23_GP.xml	919	restreignant ou interdisant la construction	Trente quatre édits royaux
1965-SDAURP_CE_Oct23_GP.xml	1005	un déplacement de la ceinture verte	La politique exprimée dans ce document
1965-SDAURP_CE_Oct23_GP.xml	1070	axes d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1082	centres urbains nouveaux	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1082	axes préférentiels d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1220	soit mis fin au recul, jusqu'à présent constant, des espaces libres	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1231	la partie agglomérée de la région de Paris, telle qu'elle est prévue	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1282	l'organisation de ces développements	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1284	le passage d'une autoroute	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1311	la localisation de ces activités	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1366	dynamisme du Sud-Ouest	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1368	Le grand axe d'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1385	l'axe d'urbanisation	Le schéma principal de circulation
1965-SDAURP_CE_Oct23_GP.xml	1430	l'organisation de la région de Paris	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1430	développements urbains	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1431	un développement modéré	Le schéma
1965-SDAURP_CE_Oct23_GP.xml	1566	les extensions d'urbanisation prévues	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1583	grands axes d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1589	le développement futur de ces villes	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1594	une nouvelle étape de l'antique Lutèce	ce schéma
1965-SDAURP_CE_Oct23_GP.xml	1682	la reconquête de Paris	une politique urbaine
1965-SDAURP_CE_Oct23_GP.xml	1715	la reconquête d'une partie de son sol	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1775	une trame nouvelle	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	1780	la future organisation urbaine	les principes
1965-SDAURP_CE_Oct23_GP.xml	2005	le développement	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2071	l'adapter au développement de la circulation automobile	des plans
1965-SDAURP_CE_Oct23_GP.xml	2194	l'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2206	prévoit de compléter le réseau ferré régional	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2233	prévoit de multiplier	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2270	la création du réseau express régional (R.E.R.)	Ces principes
1965-SDAURP_CE_Oct23_GP.xml	2271	l'extension	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2329	les axes d'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2367	la création d'une ligne	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2402	préserver	le schéma
1965-SDAURP_CE_Oct23_GP.xml	2584	la décentralisation de l'expansion	une politique
1965-SDAURP_CE_Oct23_GP.xml	2670	a prévu de rénover	le plan directeur d'urbanisme de la ville de Paris
1965-SDAURP_CE_Oct23_GP.xml	2735	leur implantation	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2748	étaient déjà prévus	le Plan d'aménagement et d'organisation générale de la région parisienne (P.A.D.O.G.)
1965-SDAURP_CE_Oct23_GP.xml	2793	réserve les espaces nécessaires	il
1965-SDAURP_CE_Oct23_GP.xml	2808	les zones d'extension	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2812	les grandes lignes de l'organisation	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2889	créer les aménagements de loisir	Le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	2908	aménager	un programme d'ensemble
1965-SDAURP_CE_Oct23_GP.xml	2926	de telles réalisations	la réglementation
1965-SDAURP_CE_Oct23_GP.xml	2927	L'extension du périmètre d'agglomération	le schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	3004	la préparation du proche avenir	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	3007	l'aménagement	schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	3020	cette permanence	plan de Paris
1965-SDAURP_CE_Oct23_GP.xml	3023	ne trace pas une région urbaine fermée sur elle-même	ce schéma directeur
1965-SDAURP_CE_Oct23_GP.xml	3023	projette	ce schéma directeur
1958-padog_CE_Oct23_GP.xml	14	le Devenir de Paris	ce plan
1958-padog_CE_Oct23_GP.xml	14	le Devenir de Paris	un document unique, de conception simple et large
1958-padog_CE_Oct23_GP.xml	48	grands travaux à effectuer	le schéma
1958-padog_CE_Oct23_GP.xml	66	Les tâches multiples de construction et d’équipement	une politique et une volonté d’aménagement et d’organisation
1958-padog_CE_Oct23_GP.xml	87	n’ayant nullement l’ambition de dessiner le PARIS de l’AN 2.000	le présent projet de Plan
1958-padog_CE_Oct23_GP.xml	87	une volonté d’aménagement et d’organisation	le présent projet de Plan
1958-padog_CE_Oct23_GP.xml	87	n’ayant nullement l’ambition de dessiner le PARIS de l’AN 2.000	un document administratif de base
1958-padog_CE_Oct23_GP.xml	87	une volonté d’aménagement et d’organisation	un document administratif de base
1958-padog_CE_Oct23_GP.xml	133	les opérations	Le plan
1958-padog_CE_Oct23_GP.xml	185	La centralisation ferroviaire et routière	une politique de plus en plus affirmée
1958-padog_CE_Oct23_GP.xml	391	conservent ou apportent à cette zone rurale particulièrement sensible une activité propre	des dispositions générales d’aménagement
1958-padog_CE_Oct23_GP.xml	420	mettre en pratique ce plan de décentralisation	ce plan de décentralisation
1958-padog_CE_Oct23_GP.xml	424	toute construction d'immeuble privé	L'un de ces décrets
1958-padog_CE_Oct23_GP.xml	576	Les grandes opérations routières ou de transports ferrés	le Plan
1958-padog_CE_Oct23_GP.xml	650	la sauvegarde	le Plan d’Aménagement
1958-padog_CE_Oct23_GP.xml	722	Une stabilisation de la Région Parisienne	une politique nationale d’aménagement du territoire
1958-padog_CE_Oct23_GP.xml	728	l’évolution future de la Région Parisienne	un plan d’aménagement et d’organisation générale de cette Région
1958-padog_CE_Oct23_GP.xml	728	leurs localisations souhaitables	un plan d’aménagement et d’organisation générale de cette Région
1958-padog_CE_Oct23_GP.xml	744	pourrait être réalisé	un tel programme
1958-padog_CE_Oct23_GP.xml	822	ces opérations	Le Plan d’Aménagement de la Région Parisienne
1958-padog_CE_Oct23_GP.xml	837	poursuivre la réalisation nécessairement fractionnée	un plan d’urbanisme de détail
1958-padog_CE_Oct23_GP.xml	844	les zones à urbaniser	Les textes récents
1958-padog_CE_Oct23_GP.xml	1135	doivent réserver des terrains pour ces établissements	les propositions du Plan
1958-padog_CE_Oct23_GP.xml	1140	la restructuration et la réorganisation de la banlieue parisienne	Les propositions
1958-padog_CE_Oct23_GP.xml	1190	pourra alors être réaménagé	des études de détail, dont le principe figure au Plan Directeur d'Urbanisme de PARIS
1958-padog_CE_Oct23_GP.xml	1253	l’organisation de la région	le présent rapport
1958-padog_CE_Oct23_GP.xml	1291	L’aménagement de ces zones	plans de détail
1958-padog_CE_Oct23_GP.xml	1296	Les zones nouvelles prévues	Plan
1958-padog_CE_Oct23_GP.xml	1319	le réseau routier principal à conserver, à aménager ou à créer	Le plan
1958-padog_CE_Oct23_GP.xml	1335	les opérations	Le schéma général
1958-padog_CE_Oct23_GP.xml	1390	création de 5 cimetières régionaux et de 20 cimetières intercommunaux	Un programme
1958-padog_CE_Oct23_GP.xml	1410	un futur parc olympique	Le P.A.D.O.G.
1958-padog_CE_Oct23_GP.xml	1434	devront réserver un minimum de 10 m2 d’espaces verts publics par habitant	les plans d’urbanisme intercommunaux et de détail
1958-padog_CE_Oct23_GP.xml	1467	une première tranche de réalisations coordonnées	une loi-programme d'équipement de la Région Parisienne
1958-padog_CE_Oct23_GP.xml	1471	une action coordonnée dans les prochaines années des différentes initiatives publiques ou privées	Les propositions faites dans le Plan d’Aménagement et d’Organisation Générale de la Région Parisienne
1958-padog_CE_Oct23_GP.xml	1472	la réalisation de ce plan	ce plan
1958-padog_CE_Oct23_GP.xml	1499	mettre en œuvre, sous l’autorité et par délégation des Ministres intéressés, la politique d’aménagement, d’urbanisme et de construction	la politique d’aménagement, d’urbanisme et de construction
1958-padog_CE_Oct23_GP.xml	1519	La réalisation des opérations	le Plan
1958-padog_CE_Oct23_GP.xml	1840	implantations récentes d’importants groupes d’habitations	Cette carte
1958-padog_CE_Oct23_GP.xml	1910	la construction du logement et les équipements collectifs	loi-cadre
1958-padog_CE_Oct23_GP.xml	2277	des zones devant ou pouvant faire l’objet d’aménagement d’ensemble de caractère régional	le Plan d’Aménagement
1958-padog_CE_Oct23_GP.xml	2322	la restructuration et la revitalisation de la banlieue et les cités satellites de la région	La politique
1958-padog_CE_Oct23_GP.xml	2338	la construction de groupes d’immeubles d’habitation	Le Plan d’Aménagement
2009-Ascher_CE_Oct23.xml	472	l’action d’aménagement	Son plan
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	5	un "nouveau projet d'aménagement global du grand Paris"	une consultation internationale
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	7	l'avenir du Paris métropolitain	Cette consultation internationale
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	7	l'avenir du Paris métropolitain	une consultation de Recherche et Développement (R&D)
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	7	le grand Paris	diagnostic prospectif, urbanistique et paysager
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	17	l’aménagement et à la gouvernance de l'agglomération parisienne	un plan d'actions
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	20	« Le grand pari de l'agglomération parisienne »	La consultation internationale
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	23	l'avenir de la métropole du XXIe siècle	le corpus d'une « pensée territoriale »
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	23	l'avenir de l'agglomération parisienne	le corpus d'une « pensée territoriale »
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	53	mutations de plus en plus rapides et incontrôlées de la ville territoriale	stratégies
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	53	le développement de ce qu'on pourrait appeler une « métropole négociée»	stratégies
2021-TVK_VF_CE_Aout23.xml	26	l’insertion urbaine du Périphérique parisien	l’ouvrage No Limit
2021-TVK_VF_CE_Aout23.xml	26	l’insertion urbaine du Périphérique parisien	Étude prospective
1965-SDAURP_CE_Oct23_GPU.xml	30	l'aménagement et l'équipement de la région de Paris	études générales
1965-SDAURP_CE_Oct23_GPU.xml	40	l'avenirl'avenir de la région parisienne	les premières études
1965-SDAURP_CE_Oct23_GPU.xml	46	"Devenir de Paris"	une politique
1965-SDAURP_CE_Oct23_GPU.xml	66	inscrire sur le sol cette carte de son devenir	cette carte de son devenir
1965-SDAURP_CE_Oct23_GPU.xml	348	expansion des autres régions	la politique
1965-SDAURP_CE_Oct23_GPU.xml	407	l'aménagement	Il
1965-SDAURP_CE_Oct23_GPU.xml	410	zones construites	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	410	zones construites	une carte géographique à l'échelle du 100.000e
1965-SDAURP_CE_Oct23_GPU.xml	410	zones construites	les orientations majeures
1965-SDAURP_CE_Oct23_GPU.xml	438	implanteront les équipements	les grandes orientations
1965-SDAURP_CE_Oct23_GPU.xml	448	La réalisation effective d'une région urbaine	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	479	la croissance d'une ville	idées directrices
1965-SDAURP_CE_Oct23_GPU.xml	479	la croissance d'une ville	des principes
1965-SDAURP_CE_Oct23_GPU.xml	485	l'organisation de la région de Paris dans son ensemble	les principes d'aménagement
1965-SDAURP_CE_Oct23_GPU.xml	485	la croissance de l'agglomération	les principes d'aménagement
1965-SDAURP_CE_Oct23_GPU.xml	647	50.000 logements à détruire	le 4e Plan
1965-SDAURP_CE_Oct23_GPU.xml	686	l'extension	des orientations précises
1965-SDAURP_CE_Oct23_GPU.xml	686	des réserves de terrains	des orientations précises
1965-SDAURP_CE_Oct23_GPU.xml	710	est interdit d'étendre la zone urbaine	un plan d'urbanisme régional
1965-SDAURP_CE_Oct23_GPU.xml	713	les construction urbaines (1) ne sont pas autorisées	Une des dispositions essentielles du P.A.D.O.G.
1965-SDAURP_CE_Oct23_GPU.xml	717	les surfaces réservées	les plans
1965-SDAURP_CE_Oct23_GPU.xml	747	l'implantation des activités	La deuxième mesure réglementaire
1965-SDAURP_CE_Oct23_GPU.xml	748	toute création	Un décret du 5 janvier 1955
1965-SDAURP_CE_Oct23_GPU.xml	748	toute extension	Un décret du 5 janvier 1955
1965-SDAURP_CE_Oct23_GPU.xml	748	toute création	un décret du 31 décembre 1958
1965-SDAURP_CE_Oct23_GPU.xml	748	toute extension	un décret du 31 décembre 1958
1965-SDAURP_CE_Oct23_GPU.xml	749	mètre carré construit	Une loi du 2 août 1960
1965-SDAURP_CE_Oct23_GPU.xml	750	l'expansion des activités	>Ces textes
1965-SDAURP_CE_Oct23_GPU.xml	750	l'implantation d'activités	>Ces textes
1965-SDAURP_CE_Oct23_GPU.xml	751	l'implantation	Une telle réglementation
1965-SDAURP_CE_Oct23_GPU.xml	751	le desserrement	Une telle réglementation
1965-SDAURP_CE_Oct23_GPU.xml	769	a fait démarrer de grands travaux d'équipement public	un programme triennal
1965-SDAURP_CE_Oct23_GPU.xml	843	ces réseaux nouveaux	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	844	une modernisation	le plan des transports
1965-SDAURP_CE_Oct23_GPU.xml	844	accentuerait la congestion du centre	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	862	a créé cinq départements nouveaux	la loi du 10 juillet 1964
1965-SDAURP_CE_Oct23_GPU.xml	865	constituer des centres urbains nouveaux	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	894	les centres urbains nouveaux	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	900	"noyaux restructurateurs"	P.A.D.O.G.
1965-SDAURP_CE_Oct23_GPU.xml	900	"noyaux restructurateurs"	Plan d'aménagement et d'organisation générale de la région parisienne
1965-SDAURP_CE_Oct23_GPU.xml	919	restreignant ou interdisant la construction	Trente quatre édits royaux
1965-SDAURP_CE_Oct23_GPU.xml	1005	un déplacement de la ceinture verte	La politique exprimée dans ce document
1965-SDAURP_CE_Oct23_GPU.xml	1070	axes d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1082	centres urbains nouveaux	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1082	axes préférentiels d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1220	soit mis fin au recul, jusqu'à présent constant, des espaces libres	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1231	la partie agglomérée de la région de Paris, telle qu'elle est prévue	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1283	l'organisation de ces développements	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1285	le passage d'une autoroute	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1312	la localisation de ces activités	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1369	dynamisme du Sud-Ouest	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1371	Le grand axe d'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1388	l'axe d'urbanisation	Le schéma principal de circulation
1965-SDAURP_CE_Oct23_GPU.xml	1433	l'organisation de la région de Paris	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1433	développements urbains	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1434	un développement modéré	Le schéma
1965-SDAURP_CE_Oct23_GPU.xml	1569	les extensions d'urbanisation prévues	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1586	grands axes d'urbanisation	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1592	le développement futur de ces villes	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1597	une nouvelle étape de l'antique Lutèce	ce schéma
1965-SDAURP_CE_Oct23_GPU.xml	1685	la reconquête de Paris	une politique urbaine
1965-SDAURP_CE_Oct23_GPU.xml	1718	la reconquête d'une partie de son sol	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1778	une trame nouvelle	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	1783	la future organisation urbaine	les principes
1965-SDAURP_CE_Oct23_GPU.xml	2008	le développement	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2074	l'adapter au développement de la circulation automobile	des plans
1965-SDAURP_CE_Oct23_GPU.xml	2197	l'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2209	prévoit de compléter le réseau ferré régional	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2236	prévoit de multiplier	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2273	la création du réseau express régional (R.E.R.)	Ces principes
1965-SDAURP_CE_Oct23_GPU.xml	2274	l'extension	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2332	les axes d'urbanisation	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2370	la création d'une ligne	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2406	préserver	le schéma
1965-SDAURP_CE_Oct23_GPU.xml	2588	la décentralisation de l'expansion	une politique
1965-SDAURP_CE_Oct23_GPU.xml	2674	a prévu de rénover	le plan directeur d'urbanisme de la ville de Paris
1965-SDAURP_CE_Oct23_GPU.xml	2739	leur implantation	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2752	étaient déjà prévus	le Plan d'aménagement et d'organisation générale de la région parisienne (P.A.D.O.G.)
1965-SDAURP_CE_Oct23_GPU.xml	2797	réserve les espaces nécessaires	il
1965-SDAURP_CE_Oct23_GPU.xml	2812	les zones d'extension	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2816	les grandes lignes de l'organisation	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2893	créer les aménagements de loisir	Le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	2912	aménager	un programme d'ensemble
1965-SDAURP_CE_Oct23_GPU.xml	2930	de telles réalisations	la réglementation
1965-SDAURP_CE_Oct23_GPU.xml	2931	L'extension du périmètre d'agglomération	le schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	3008	la préparation du proche avenir	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	3011	l'aménagement	schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	3024	cette permanence	plan de Paris
1965-SDAURP_CE_Oct23_GPU.xml	3027	ne trace pas une région urbaine fermée sur elle-même	ce schéma directeur
1965-SDAURP_CE_Oct23_GPU.xml	3027	projette	ce schéma directeur
2014-Peter_CE_Oct23.xml	102	Le projet Ode à la mer	schéma de cohérence territoriale
2014-Peter_CE_Oct23.xml	108	de nouvelles formes urbaines construites	un « plan des bords »
2004-Portzamparc_CE_Oct23.xml	290	plaquer sur elle un plan d’urbanisme	un plan d’urbanisme
2013-Vigano_CE_Oct23.xml	77	projet de territoires diffus	Le plan territorial du Salento
2013-Vigano_CE_Oct23.xml	77	projet de territoires diffus	un manifeste
2013-Vigano_CE_Oct23.xml	193	des transformations spatiales	le seul projet infrastructurel
2013-Vigano_CE_Oct23.xml	252	la nouvelle expansion de la ville de Moscou	le Concept Draft
2013-Vigano_CE_Oct23.xml	252	le développement de la ville	une esquisse
2013-Vigano_CE_Oct23.xml	789	son amélioration	un concours
2013-Vigano_CE_Oct23.xml	796	donner une certaine épaisseur à cette ligne	plan directeur
2013-Vigano_CE_Oct23.xml	796	organiser les espaces verts et les événements ponctuels	plan directeur
2014-Bonnet_CE_Oct23.xml	36	la recomposition du tissu urbain	de grands plans coupés et des axonométries éclatées de Paris
2014-Bonnet_CE_Oct23.xml	48	aménager la colline	une esquisse
2014-Bonnet_CE_Oct23.xml	48	aménager la colline	sans programme ni budget
2014-Bonnet_CE_Oct23.xml	270	une possible transformation de la colline	nos croquis et cartes
2014-Bonnet_CE_Oct23.xml	294	les actions	les « dessins »
2014-Bonnet_CE_Oct23.xml	572	une densification hiérarchisée selon les séquences	Le nouveau zonage
2014-Bonnet_CE_Oct23.xml	572	une densification hiérarchisée selon les séquences	le règlement
2014-Bonnet_CE_Oct23.xml	730	positionner les nouveaux bâtiments	Le plan directeur
2014-Bonnet_CE_Oct23.xml	730	les nouveaux bâtiments	Le plan directeur
2011-Desvigne_CE_Oct23.xml	115	sont fabriqués les rues, les réseaux d’eau et d’énergie, les trottoirs	les livres d’enfants
2011-Desvigne_CE_Oct23.xml	183	sa construction cohérente	une charte
2011-Desvigne_CE_Oct23.xml	341	se construisent des premières tranches	de grands plans précis
2011-Desvigne_CE_Oct23.xml	434	ne s’est jamais traduit dans les faits tel qu’il avait été dessiné	Le plan directeur
2011-Desvigne_CE_Oct23.xml	551	mise en œuvre	La proposition « naturaliste »
2011-Desvigne_CE_Oct23.xml	639	la protection des espaces agricoles et naturels	la loi de 2005
2011-Desvigne_CE_Oct23.xml	657	la requalification des 800 km de lisières de l’agglomération parisienne	la consultation sur le Grand Paris
2011-Desvigne_CE_Oct23.xml	657	la requalification des 800 km de lisières de l’agglomération parisienne	une proposition
2011-Desvigne_CE_Oct23.xml	804	la transformation d’une ancienne zone portuaire	un plan de développement à l’intérieur de la ville de Gand
2018-TER_CE_Oct23.xml	323	s’étendre	son schéma directeur intitulé le « saut au-delà de l’Elbe »
2018-TER_CE_Oct23.xml	327	créer une continuité écologique	le plan directeur
2018-TER_CE_Oct23.xml	327	l’établissement d’un « park system »	le plan directeur
2018-TER_CE_Oct23.xml	334	organiser son avenir	un plan d’aménagement
2018-TER_CE_Oct23.xml	376	une nouvelle planification de maillage du territoire	le « Plan de structure d’Anvers »
2018-TER_CE_Oct23.xml	442	unir les communes de l’agglomération toulousaine	Le plan-guide
2018-TER_CE_Oct23.xml	443	créer des sanctuaires écologiques	Le plan-guide
2018-TER_CE_Oct23.xml	444	aménager un réseau de cheminements doux	Il
2018-TER_CE_Oct23.xml	445	mettre en relation la Garonne, les canaux et la ville	Il
2018-TER_CE_Oct23.xml	536	développer des typologies spécifiques	le cahier des prescriptions urbaines et architecturales
1958-padog_CE_Oct23_GPU.xml	14	le Devenir de Paris	ce plan
1958-padog_CE_Oct23_GPU.xml	14	le Devenir de Paris	un document unique, de conception simple et large
1958-padog_CE_Oct23_GPU.xml	47	grands travaux à effectuer	le schéma
1958-padog_CE_Oct23_GPU.xml	65	Les tâches multiples de construction et d’équipement	une politique et une volonté d’aménagement et d’organisation
1958-padog_CE_Oct23_GPU.xml	86	n’ayant nullement l’ambition de dessiner le PARIS de l’AN 2.000	le présent projet de Plan
