Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type
2022-Boutté_CE_Oct23.xml	746	intégrer sur le quartier d’étude une solution d’approvisionnement énergétique 100 % EnR	l’agence	pers_coll
2022-Boutté_CE_Oct23.xml	750	le projet 1 000 arbres	la Compagnie de Phalsbourg	pers_coll
2022-Boutté_CE_Oct23.xml	750	le projet 1 000 arbres	l’architecte Sou Fujimoto	pers_ind
2022-Boutté_CE_Oct23.xml	751	conçoit une boucle énergétique locale	l’agence	pers_coll
2022-Boutté_CE_Oct23.xml	775	avons déjà fait plusieurs bâtiments	Nous	pers_coll
2022-Boutté_CE_Oct23.xml	887	réfléchir à une ville nouvelle	L’agence	pers_coll
2022-Boutté_CE_Oct23.xml	891	installer ici une ville nouvelle	le Royaume	pers_coll
2022-Boutté_CE_Oct23.xml	906	le développement d’espaces de nature	chaque acteur	pers_ind
2022-Boutté_CE_Oct23.xml	930	la transformation de l’espace urbain	propriétaires de logements	pers_coll
2022-Boutté_CE_Oct23.xml	930	la transformation de l’espace urbain	utilisateurs des bureaux ou commerces de la rue	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	8	percées	Napoléon III	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	8	percées	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	8	des œuvres	des urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	25	la coordination et l'établissement des projets	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	25	coordination du projet d'aménagement de la ville de Paris et du projet régional approuvé	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	25	établissement du projet régional étendu à toute la région parisienne	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	57	chaque stade des travaux préparatoires	Les services du ministère des Travaux publics et du ministère de la Construction	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	77	son aménagement	ceux qui ont la charge	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	194	les prévisions de la C.N.A.T. pour la région de Paris	la C.N.A.T.	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	277	voir rapidement grandir les autres villes de France	Le plus grand Paris	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	281	auront d'ici là préparé leur ville, ou plutôt leur agglomération et dans certains cas leur région urbaine toute entière	les responsables des autres villes de France	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	342	prévoir l'imprévisible	l'urbaniste	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	438	implanteront les équipements	les pouvoirs publics	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	454	des projets réellement élaborés	les urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	479	successivement franchies	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	619	la construction de logements	les pouvoirs publics	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	619	eut été préférable de bâtir	aux promoteurs, publics (2) ou privés	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	667	réserver en temps voulu les parcelles de terrains	les autorités locales	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	723	conduire ses réseaux d'eau, d'égouts, d'électricité	la commune	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	740	mordre sur les espaces réservés	municipalités les plus proches de Paris	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	741	la construction	administrations	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	748	toute création	une commission interministérielle	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	748	toute extension	une commission interministérielle	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	754	une décentralisation lointaine	chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	754	quitter leurs implantations actuelles	chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	755	construire des installations modernes	les chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	755	quitter des installations anciennes	les chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	759	s'implantent	industriels	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	833	fit annexer	Haussmann, Préfet de la Seine	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1001	une extension de la ceinture verte	Le Gouvernement britannique	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1061	ont été réalisées	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1075	a doté Paris intra-muros	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1160	doivent être mis en valeur par l'œuvre	l'urbaniste	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1588	ce mouvement de construction	les habitants de l'agglomération parisienne	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1665	a été doublée	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1665	redoublée	Bienvenüe	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	1678	conserver au cœur de leur ville le cœur des affaires	les édiles	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1694	étudient des "shopping centers" à l'américaine	de grands magasins	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1697	combler le vide des anciennes Halles	les autorités publiques	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1708	desserrement	L'Éducation Nationale	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	1715	la reconquête d'une partie de son sol	la Ville de Paris	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2631	ayant décentralisé au moins un établissement	les entreprises	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2639	crée un nouvel établissement	une usine parisienne	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2696	la décentralisation	les pouvoirs publics	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2699	des projets de succursales	certains grands magasins	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2742	prendrait l'initiative d'ériger un centre commercial	un grand magasin	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2831	l'aménagement d'une région urbaine telle que celle de Paris	responsables	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2879	se sont établis	les hommes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2900	aménagés	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GP.xml	2908	aménager	Le District	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2925	dispersant l'habitat	Les urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2925	regroupant en grappes	Les urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	2925	réaliser une occupation du sol	Les urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GP.xml	3025	va bâtir	notre génération	pers_coll
2005-Reichen_CE_Oct23.xml	46	la gare de Liège, transformée	Santiago Calatrava	pers_ind
2005-Reichen_CE_Oct23.xml	116	conçue	Jean Dubuisson	pers_ind
2005-Reichen_CE_Oct23.xml	145	la tour – construite	Daniel Spoerri	pers_ind
2005-Reichen_CE_Oct23.xml	193	leur propre projet d’agglomération	la confiance	
2005-Reichen_CE_Oct23.xml	197	l’action territoriale	urbanistes	pers_coll
1958-padog_CE_Oct23_GP.xml	13	la prévision	un Pays vivant	pers_coll
1958-padog_CE_Oct23_GP.xml	14	le Devenir de Paris	le Gouvernement	
1958-padog_CE_Oct23_GP.xml	19	la croissance de PARIS	des Gouvernements successifs	pers_coll
1958-padog_CE_Oct23_GP.xml	21	en bâtissant les enceintes successives de Paris	Philippe Auguste	pers_ind
1958-padog_CE_Oct23_GP.xml	21	en bâtissant les enceintes successives de Paris	Charles V	pers_ind
1958-padog_CE_Oct23_GP.xml	21	en bâtissant les enceintes successives de Paris	Louis XIII	pers_ind
1958-padog_CE_Oct23_GP.xml	21	en bâtissant les enceintes successives de Paris	les Fermiers Généraux	pers_coll
1958-padog_CE_Oct23_GP.xml	25	élargir l’enceinte	le Roi	pers_ind
1958-padog_CE_Oct23_GP.xml	25	la création de nouveaux quartiers	le Roi	pers_ind
1958-padog_CE_Oct23_GP.xml	37	l’extension des limites à l’intérieur desquelles on percevait l’impôt	les Fermiers Généraux	pers_coll
1958-padog_CE_Oct23_GP.xml	41	bouleverse les vieux quartiers de Paris	Haussmann	pers_ind
1958-padog_CE_Oct23_GP.xml	41	transforme	Haussmann	pers_ind
1958-padog_CE_Oct23_GP.xml	46	un développement aussi anarchique qu’inesthétique et ruineux	un Comité Supérieur de l’Aménagement et de l’Organisation Générale de la Région Parisienne	pers_coll
1958-padog_CE_Oct23_GP.xml	101	toutes les réalisations nouvelles, tant en matière de construction que d’équipement	les Services Publics	pers_coll
1958-padog_CE_Oct23_GP.xml	101	toutes les réalisations nouvelles, tant en matière de construction que d’équipement	les particuliers	pers_coll
1958-padog_CE_Oct23_GP.xml	133	les opérations	Pouvoirs Publics	pers_coll
1958-padog_CE_Oct23_GP.xml	133	les opérations	particuliers	pers_coll
1958-padog_CE_Oct23_GP.xml	299	les réalisations d’Haussmann	Haussmann	pers_ind
1958-padog_CE_Oct23_GP.xml	420	mettre en pratique ce plan de décentralisation	le Gouvernement	pers_ind
1958-padog_CE_Oct23_GP.xml	478	grouper des programmes de logements importants	les pouvoirs publics	pers_coll
1958-padog_CE_Oct23_GP.xml	534	cherchons à créer	nous	pers_coll
1958-padog_CE_Oct23_GP.xml	609	projettent leurs buildings	De grandes Sociétés	pers_coll
1958-padog_CE_Oct23_GP.xml	609	construire un Palais des Congrès, un Théâtre populaire, un grand hôtel, un nouveau «Vélodrome d’Hiver»	d’autres animateurs	pers_coll
1958-padog_CE_Oct23_GP.xml	635	créer un vaste parc départemental	le département de la Seine	pers_coll
1958-padog_CE_Oct23_GP.xml	655	certains ensembles réalisés	quelques grands organismes constructeurs	pers_coll
1958-padog_CE_Oct23_GP.xml	671	Ces opérations entreprises	Commissaire à la Construction et à l’Urbanisme pour la Région Parisienne	pers_ind
1958-padog_CE_Oct23_GP.xml	671	celles exécutées	de grands constructeurs	pers_coll
1958-padog_CE_Oct23_GP.xml	756	devraient être renouvelés	l’action privée	pers_coll
1958-padog_CE_Oct23_GP.xml	756	le renouvellement exceptionnel du patrimoine immobilier insalubre ou vétuste	l’action publique	pers_coll
1958-padog_CE_Oct23_GP.xml	801	pratiquer des rénovations	les propriétaires privés	pers_coll
1958-padog_CE_Oct23_GP.xml	817	seuls secteurs anciens, insalubres ou vétustes à rénover	l'action publique	pers_coll
1958-padog_CE_Oct23_GP.xml	834	LES OPÉRATIONS PRÉVUES DANS LA PREMIÈRE CATÉGORIE	des sociétés ou des particuliers	pers_coll
1958-padog_CE_Oct23_GP.xml	835	CELLES DE LA DEUXIÈME CATÉGORIE	des sociétés ou organismes plus importants	pers_coll
1958-padog_CE_Oct23_GP.xml	835	CELLES DE LA DEUXIÈME CATÉGORIE	des syndicats groupant les propriétaires d’un ou plusieurs îlots	pers_coll
1958-padog_CE_Oct23_GP.xml	836	l’action continue et persévérante	une ville	pers_coll
1958-padog_CE_Oct23_GP.xml	836	l’action continue et persévérante	une société	pers_coll
1958-padog_CE_Oct23_GP.xml	836	l’action continue et persévérante	un organisme d’H.L.M.	pers_coll
1958-padog_CE_Oct23_GP.xml	836	l’action continue et persévérante	un syndicat d’îlots	pers_coll
1958-padog_CE_Oct23_GP.xml	839	LES GRANDES OPÉRATIONS	une collectivité	pers_coll
1958-padog_CE_Oct23_GP.xml	839	LES GRANDES OPÉRATIONS	un organisme	pers_coll
1958-padog_CE_Oct23_GP.xml	1024	les grandes opérations de voirie réalisée	HAUSSMANN ou ses successeurs	pers_coll
1958-padog_CE_Oct23_GP.xml	1075	de longues études	l’Aéroport de Paris	pers_coll
1958-padog_CE_Oct23_GP.xml	1075	des travaux d’agrandissement et d’aménagement très importants de l’aérodrome d’ORLY	l’Aéroport de Paris	pers_coll
1958-padog_CE_Oct23_GP.xml	1078	un développement important de l’aérodrome du BOURGET	les autorités responsables	pers_coll
1958-padog_CE_Oct23_GP.xml	1083	a étudié la localisation éventuelle d’un aérodrome Nord de Paris	l’Aéroport de Paris	pers_coll
1958-padog_CE_Oct23_GP.xml	1230	regrouper dans un établissement moderne les plus anciens de ces établissements	Le Ministère de la Justice	pers_coll
1958-padog_CE_Oct23_GP.xml	1433	réserver des aires de stationnement	les constructeurs	pers_coll
1958-padog_CE_Oct23_GP.xml	1493	habitations édifiées	des habitants	pers_coll
1958-padog_CE_Oct23_GP.xml	1582	devraient pouvoir être réservés et acquis	les collectivités pratiquant une politique foncière prévoyante	pers_coll
1958-padog_CE_Oct23_GP.xml	1595	ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio	nos architectes	pers_coll
1958-padog_CE_Oct23_GP.xml	1595	ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio	nos ingénieurs	pers_coll
1958-padog_CE_Oct23_GP.xml	1595	ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio	nos ouvriers	pers_coll
1958-padog_CE_Oct23_GP.xml	1595	ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio	nos techniciens	pers_coll
1958-padog_CE_Oct23_GP.xml	1891	la reconstruction des habitations et des industries complètement détruites	Les autorités londoniennes	pers_coll
1958-padog_CE_Oct23_GP.xml	2261	réserver, à l’intérieur même de leurs entreprises, des emplacements suffisants pour le stationnement et le parking de leurs propres véhicules et de ceux de leur clientèle	ces industriels	pers_coll
1958-padog_CE_Oct23_GP.xml	2328	étendre ou de transférer ses installations	L’industriel parisien	pers_coll
1958-padog_CE_Oct23_GP.xml	2332	terrains à vocation industrielle, préalablement achetés et équipés	les collectivités locales	pers_coll
1958-padog_CE_Oct23_GP.xml	2334	transférer leur entreprise	bien des industriels	pers_coll
1958-padog_CE_Oct23_GP.xml	2347	réaliser l’aménagement de ces zones d’activités	Les organismes susceptibles	pers_coll
1958-padog_CE_Oct23_GP.xml	2352	l’installation ou tout au moins le renforcement des réseaux publics	Pouvoirs Publics	pers_coll
1958-padog_CE_Oct23_GP.xml	2364	opérations entreprises	les collectivités	pers_coll
1958-padog_CE_Oct23_GP.xml	2386	réorganisations	beaucoup de chefs d’entreprises	pers_coll
1958-padog_CE_Oct23_GP.xml	2386	extensions	beaucoup de chefs d’entreprises	pers_coll
1958-padog_CE_Oct23_GP.xml	2386	regroupements	beaucoup de chefs d’entreprises	pers_coll
1958-padog_CE_Oct23_GP.xml	2386	une décentralisation ou du maintien	beaucoup de chefs d’entreprises	pers_coll
2009-Ascher_CE_Oct23.xml	57	La production de la ville	des acteurs variés	pers_coll
2009-Ascher_CE_Oct23.xml	457	n’est-il pas obligé d’anticiper le futur	L’urbaniste	pers_ind
2009-Ascher_CE_Oct23.xml	460	dessine une ville	L’urbaniste	pers_ind
2009-Ascher_CE_Oct23.xml	465	la réalisation planifiée	des décideurs	pers_coll
2009-Ascher_CE_Oct23.xml	483	sans la regrouper	Christian de Portzamparc	pers_ind
2009-Ascher_CE_Oct23.xml	484	a créé un quartier universitaire parsemé	Il	pers_ind
2009-Ascher_CE_Oct23.xml	614	un mode de densification	Tokyo	pers_coll
2009-Ascher_CE_Oct23.xml	614	en faisant une sorte de centralité linéaire	Tokyo	pers_coll
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	5	un "nouveau projet d'aménagement global du grand Paris"	une dizaine d'agences d'architecture et d'urbanisme	pers_coll
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	16	Programme « Villes durables »	l'Agence nationale de la recherche	pers_coll
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	16	Programme interdisciplinaire de recherche Ville et Environnement	CNRS	pers_coll
2009-DiscoursNicolasSarkozy_CE_Oct23.xml	52	cette évolution permanente	les acteurs professionnels	pers_coll
2021-TVK_VF_CE_Aout23.xml	41	réaliseront	les architectes Lacaton et Vassal	
2021-TVK_VF_CE_Aout23.xml	42	dessinée	l’agence TER	
2021-TVK_VF_CE_Aout23.xml	70	penser prévoir ni déterminer le futur	un concepteur	
2021-TVK_VF_CE_Aout23.xml	121	agir sur le monde	TVK	
1965-SDAURP_CE_Oct23_GPU.xml	8	percées	Napoléon III	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	8	percées	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	8	des œuvres	des urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	25	la coordination et l'établissement des projets	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	25	coordination du projet d'aménagement de la ville de Paris et du projet régional approuvé	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	25	établissement du projet régional étendu à toute la région parisienne	un service technique qui relève directement du Délégué général à l'équipement national	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	57	chaque stade des travaux préparatoires	Les services du ministère des Travaux publics et du ministère de la Construction	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	77	son aménagement	ceux qui ont la charge	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	194	les prévisions de la C.N.A.T. pour la région de Paris	la C.N.A.T.	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	277	voir rapidement grandir les autres villes de France	Le plus grand Paris	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	281	auront d'ici là préparé leur ville, ou plutôt leur agglomération et dans certains cas leur région urbaine toute entière	les responsables des autres villes de France	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	342	prévoir l'imprévisible	l'urbaniste	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	438	implanteront les équipements	les pouvoirs publics	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	454	des projets réellement élaborés	les urbanistes	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	479	successivement franchies	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	619	la construction de logements	les pouvoirs publics	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	619	eut été préférable de bâtir	aux promoteurs, publics (2) ou privés	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	667	réserver en temps voulu les parcelles de terrains	les autorités locales	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	723	conduire ses réseaux d'eau, d'égouts, d'électricité	la commune	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	740	mordre sur les espaces réservés	municipalités les plus proches de Paris	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	741	la construction	administrations	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	748	toute création	une commission interministérielle	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	748	toute extension	une commission interministérielle	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	754	une décentralisation lointaine	chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	754	quitter leurs implantations actuelles	chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	755	construire des installations modernes	les chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	755	quitter des installations anciennes	les chefs d'entreprises	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	759	s'implantent	industriels	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	833	fit annexer	Haussmann, Préfet de la Seine	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	1001	une extension de la ceinture verte	Le Gouvernement britannique	pers_coll
1965-SDAURP_CE_Oct23_GPU.xml	1061	ont été réalisées	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	1075	a doté Paris intra-muros	Haussmann	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	1160	doivent être mis en valeur par l'œuvre	l'urbaniste	pers_ind
1965-SDAURP_CE_Oct23_GPU.xml	1591	ce mouvement de construction	les habitants de l'agglomération parisienne	pers_coll
