Nom_fichier	Numero_Phrase	Segment_Annoté	Accompli	Nature	Temps	Proces
2005-Siza_CE_Oct23.xml	190	lieux non finis	non			
2005-Siza_CE_Oct23.xml	191	ces lieux commencent à être remplis	non	crea		inch
2005-Siza_CE_Oct23.xml	193	La reconstruction des villes détruites		crea+repr		iter
2005-Siza_CE_Oct23.xml	193	villes détruites				
2005-Siza_CE_Oct23.xml	194	La construction de villes nouvelles ou de quartiers de ville		crea		
2005-Siza_CE_Oct23.xml	194	développement économique et urbain		crea		
2005-Siza_CE_Oct23.xml	198	la tabula rasa	non	destr		
2005-Siza_CE_Oct23.xml	200	des propositions d’intervention nouvelles	non			
2005-Siza_CE_Oct23.xml	200	une sorte de lutte urbaine				
2005-Siza_CE_Oct23.xml	200	la transformation de la ville existante		modif		
2005-Siza_CE_Oct23.xml	200	le processus de destruction-construction	non	destr+crea		dur
2005-Siza_CE_Oct23.xml	200	son développement aux XVIIIe et XIXe siècles		crea		
2005-Siza_CE_Oct23.xml	200	réhabilitation		repr		iter
2005-Siza_CE_Oct23.xml	201	Cet effort rénovateur		repr		iter
2005-Siza_CE_Oct23.xml	202	la rénovation urbaine du quartier de Schilderswick		repr		iter
2005-Siza_CE_Oct23.xml	202	projet d’architecture	non			
2005-Siza_CE_Oct23.xml	205	préserver l’identité particulière de Schilderswick		maint		
2005-Siza_CE_Oct23.xml	205	une transformation irréversible		modif		
2005-Siza_CE_Oct23.xml	206	préserver		maint		
2005-Siza_CE_Oct23.xml	206	changer		modif		
2005-Siza_CE_Oct23.xml	206	la transformation urbaine non répressive et non instrumentale		modif		
2005-Siza_CE_Oct23.xml	207	la transformation urbaine		modif		
2005-Siza_CE_Oct23.xml	208	la planification urbaine et architecturale de La Haye	non			
2005-Siza_CE_Oct23.xml	209	la transformation urbaine de Schilderswick		modif		
2005-Siza_CE_Oct23.xml	210	les profondes modifications de la structure urbaine		modif		
2005-Siza_CE_Oct23.xml	210	la concentration systématique des zones commerciales				
2005-Siza_CE_Oct23.xml	210	une « transformation participative »		modif		
2005-Siza_CE_Oct23.xml	210	la dégradation environnante		modif		
2005-Siza_CE_Oct23.xml	211	La rénovation		repr		iter
2005-Siza_CE_Oct23.xml	217	la transformation de la ville		modif		
2005-Siza_CE_Oct23.xml	220	le grand effort de construction et de transformation	oui	crea+modif		
2005-Siza_CE_Oct23.xml	222	cette transformation		modif		
2005-Siza_CE_Oct23.xml	222	la table rase		destr		
2005-Siza_CE_Oct23.xml	225	a été totalement bouleversée	oui			
2005-Siza_CE_Oct23.xml	226	L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol		crea		
2005-Siza_CE_Oct23.xml	226	se développe démesurément				
2005-Siza_CE_Oct23.xml	227	l’interruption du système de rues et de l’ancienne logique d’occupation du sol				
2005-Siza_CE_Oct23.xml	228	une décadence et une dégradation		modif		
2005-Siza_CE_Oct23.xml	229	ce processus de dégradation et de perte de caractère du centre historique	non	modif		dur
2005-Siza_CE_Oct23.xml	240	les grands bouleversements				
2005-Siza_CE_Oct23.xml	241	les transformations	oui	modif		
2005-Siza_CE_Oct23.xml	241	ces bouleversements				
2005-Siza_CE_Oct23.xml	244	permette de recréer un rapport entre la rue et les tours		repr		iter
2005-Siza_CE_Oct23.xml	246	isoler les tours				
2005-Siza_CE_Oct23.xml	246	libérer des volumes parasites de deux ou trois étages qui s’agrippent à elles				
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	non	crea		
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	non			
2005-Siza_CE_Oct23.xml	249	la division				
2005-Siza_CE_Oct23.xml	252	transformation de l’espace		modif		
2005-Siza_CE_Oct23.xml	252	une transformation plus large		modif		
2005-Siza_CE_Oct23.xml	255	urbanisation outrancière		crea		
2005-Siza_CE_Oct23.xml	255	persistance du rural		maint		
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	non	destr		
2005-Siza_CE_Oct23.xml	258	la démolition		destr		
2005-Siza_CE_Oct23.xml	259	faille les démolir	non	destr		
2005-Siza_CE_Oct23.xml	260	faire disparaître les faits de la transformation antérieure		destr		
2005-Siza_CE_Oct23.xml	260	la transformation antérieure	oui	modif		
2005-Siza_CE_Oct23.xml	261	démolitions de structures existantes		destr		
2005-Siza_CE_Oct23.xml	262	détruit		destr		
2005-Siza_CE_Oct23.xml	263	vouloir tout préserver		maint		
2005-Siza_CE_Oct23.xml	266	quelques œuvres récentes	oui			
2005-Siza_CE_Oct23.xml	268	créer comme une grille		crea		
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	non	modif		dur
2005-Siza_CE_Oct23.xml	271	leur consolidation				
2005-Siza_CE_Oct23.xml	278	le développement des villes		crea		
2005-Siza_CE_Oct23.xml	278	des transformations en cours	non	modif		dur
2005-Siza_CE_Oct23.xml	278	des persistances		abs		
2005-Siza_CE_Oct23.xml	282	quelques belles œuvres exemplaires				
2003-Corajoud_CE_Oct23.xml	2	construire la ville		crea		
2003-Corajoud_CE_Oct23.xml	4	projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité »	non			
2003-Corajoud_CE_Oct23.xml	9	transformait des appartements	oui	modif		
2003-Corajoud_CE_Oct23.xml	9	en ne gardant que l’enveloppe des murs et les structures porteuses	oui	maint		
2003-Corajoud_CE_Oct23.xml	12	le projet de paysage				
2003-Corajoud_CE_Oct23.xml	13	la transformation		modif		
2003-Corajoud_CE_Oct23.xml	13	l’invention		crea		
2003-Corajoud_CE_Oct23.xml	13	la conception		crea		
2003-Corajoud_CE_Oct23.xml	30	se constituer		crea		
2003-Corajoud_CE_Oct23.xml	30	se transformer		modif		
2003-Corajoud_CE_Oct23.xml	34	les projets d’aménagement de nombreux espaces extérieurs	non			
2003-Corajoud_CE_Oct23.xml	47	le projet du quartier de l’Arlequin	oui			
2003-Corajoud_CE_Oct23.xml	48	cette opération	oui			
2003-Corajoud_CE_Oct23.xml	49	devions en étudier la « rue » et le parc au centre du quartier	oui			
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc		crea		
2003-Corajoud_CE_Oct23.xml	55	l’arrivée du grand centre commercial	oui	crea		
2003-Corajoud_CE_Oct23.xml	58	projet du parc de vingt hectares de la Villeneuve				
2003-Corajoud_CE_Oct23.xml	59	la conception du parc de la Villeneuve	non	crea		
2003-Corajoud_CE_Oct23.xml	59	des efforts qui ont façonné la campagne				
2003-Corajoud_CE_Oct23.xml	62	les graver				
2003-Corajoud_CE_Oct23.xml	71	matière œuvrée par l’architecture				
2003-Corajoud_CE_Oct23.xml	76	enveloppant littéralement une rue gigantesque				
2003-Corajoud_CE_Oct23.xml	76	devait requalifier l’Urbain		repr		iter
2003-Corajoud_CE_Oct23.xml	82	Réalisé	oui	crea		
2003-Corajoud_CE_Oct23.xml	82	ce parc, construit	oui	crea		
2003-Corajoud_CE_Oct23.xml	82	quartier à venir	non	crea		
2003-Corajoud_CE_Oct23.xml	93	la création d’un parc forestier	non	crea		
2003-Corajoud_CE_Oct23.xml	93	réactualiser l’imaginaire des grandes forêts de Bondy et de Sevran, en partie disparues	non	repr		iter
2003-Corajoud_CE_Oct23.xml	93	grandes forêts de Bondy et de Sevran, en partie disparues	oui	destr		
2003-Corajoud_CE_Oct23.xml	94	l’extrême lenteur de croissance d’une forêt				
2003-Corajoud_CE_Oct23.xml	95	fallait concevoir un enchaînement d’espaces « capables »	non	crea		
2003-Corajoud_CE_Oct23.xml	96	serait équipée progressivement	non	crea		progr
2003-Corajoud_CE_Oct23.xml	99	Les travaux du parc ont commencé	non			inch
2003-Corajoud_CE_Oct23.xml	99	la plantation de 400 000 très jeunes arbres	oui	crea		
2003-Corajoud_CE_Oct23.xml	100	ne sont toujours pas terminés	non			dur
2003-Corajoud_CE_Oct23.xml	101	Ce projet	non			
2003-Corajoud_CE_Oct23.xml	101	la conception des paysages	non	crea		
2003-Corajoud_CE_Oct23.xml	101	projets urbains				
2003-Corajoud_CE_Oct23.xml	104	ne serait pas bousculée	non	abs		
2003-Corajoud_CE_Oct23.xml	105	ne pas déranger le sol	non	abs		
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace				
2003-Corajoud_CE_Oct23.xml	105	poser des objets		crea		
2003-Corajoud_CE_Oct23.xml	105	s’en abstenir		abs		
2003-Corajoud_CE_Oct23.xml	109	travaux réalisés en plusieurs tranches	non	crea		
2003-Corajoud_CE_Oct23.xml	109	neuf tranches actuellement réalisées	oui	crea		
2003-Corajoud_CE_Oct23.xml	110	agir de manière définitive sur l’espace				
2003-Corajoud_CE_Oct23.xml	110	la réalisation				
2003-Corajoud_CE_Oct23.xml	112	donner leur forme effective aux différents espaces				
2003-Corajoud_CE_Oct23.xml	113	préparer les meilleures conditions				
2003-Corajoud_CE_Oct23.xml	113	génère son propre avènement				
2003-Corajoud_CE_Oct23.xml	119	projet sur le paysage				
2003-Corajoud_CE_Oct23.xml	123	réconcilier les fragments chaotiques d’un territoire de banlieue				
2003-Corajoud_CE_Oct23.xml	125	tisse un « milieu »				
2003-Corajoud_CE_Oct23.xml	129	l’amélioration et à la transformation des lieux	non	modif		
2003-Corajoud_CE_Oct23.xml	133	se développent				
2003-Corajoud_CE_Oct23.xml	136	ne serait donc pas modifiée	non	abs+modif		
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe				
2003-Corajoud_CE_Oct23.xml	149	s’est organisée	oui			
2003-Corajoud_CE_Oct23.xml	150	En valorisant les quelques hectares de pans de murs				
2003-Corajoud_CE_Oct23.xml	150	perdurent	non	maint		
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	non			
2003-Corajoud_CE_Oct23.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	non			
2003-Corajoud_CE_Oct23.xml	152	la sauvegarde des murs	non	maint		
2003-Corajoud_CE_Oct23.xml	152	la préservation des espaces « naturels » du quartier	non	maint		
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	non	crea		
2003-Corajoud_CE_Oct23.xml	155	cette dynamique	non			
2003-Corajoud_CE_Oct23.xml	155	des configurations rurales anciennes sauvées	non	maint		
2003-Corajoud_CE_Oct23.xml	155	des configurations urbaines futures	non			
2003-Corajoud_CE_Oct23.xml	156	protection pour la meilleure partie des murs	non	maint		
2003-Corajoud_CE_Oct23.xml	156	la sauvegarde	non	maint		
2003-Corajoud_CE_Oct23.xml	157	l’avenir des murs	non			
2003-Corajoud_CE_Oct23.xml	159	l’aménagement de la Cité internationale	oui	crea		
2003-Corajoud_CE_Oct23.xml	160	doit être immergé				
2003-Corajoud_CE_Oct23.xml	161	dessiner, avec lui, les espaces publics	non	crea		
2003-Corajoud_CE_Oct23.xml	162	la digue plusieurs fois modifiée	oui	modif		iter
2003-Corajoud_CE_Oct23.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	non	repr+maint		iter
2003-Corajoud_CE_Oct23.xml	171	toute forme nouvelle d’aménagement	non			
2003-Corajoud_CE_Oct23.xml	174	fut dessiné	oui	crea		
2003-Corajoud_CE_Oct23.xml	176	Les aménagements successifs de la digue	oui	modif		iter
2003-Corajoud_CE_Oct23.xml	176	ses diverses constructions	oui	crea		iter
2003-Corajoud_CE_Oct23.xml	177	maintenir, à recréer et renforcer ce système de strates parallèles aux berges		maint+repr		iter
2003-Corajoud_CE_Oct23.xml	179	Toute forme nouvelle d’aménagement	non			
2003-Corajoud_CE_Oct23.xml	180	nature idyllique, horticole et domestiquée				
2003-Corajoud_CE_Oct23.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc	oui	crea		
2003-Corajoud_CE_Oct23.xml	181	recompose les berges de la rive gauche	oui	repr		iter
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	non			inch
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	oui	crea		
2003-Corajoud_CE_Oct23.xml	194	libres tracés des infrastructures	oui	crea		
2003-Corajoud_CE_Oct23.xml	194	la juxtaposition des emprises et des constructions	oui	crea		
2003-Corajoud_CE_Oct23.xml	195	a occupé les rives	oui	crea		
2003-Corajoud_CE_Oct23.xml	200	l’enchevêtrement des constructions et des ouvrages		crea		
2003-Corajoud_CE_Oct23.xml	202	a, depuis toujours, composé les villes				
2003-Corajoud_CE_Oct23.xml	202	en créant des systèmes d’interrelations				
2003-Corajoud_CE_Oct23.xml	203	la renaissance de la Plaine	non	repr		iter
2003-Corajoud_CE_Oct23.xml	204	La prolifération des objets				
2003-Corajoud_CE_Oct23.xml	207	Le projet urbain	non			
2003-Corajoud_CE_Oct23.xml	207	un projet sur le paysage	non			
2003-Corajoud_CE_Oct23.xml	209	un avenir pour la Plaine	non			
2003-Corajoud_CE_Oct23.xml	211	Le projet urbain de la Plaine Saint-Denis	oui			
2003-Corajoud_CE_Oct23.xml	217	Ces voies nouvelles	non	crea		
2003-Corajoud_CE_Oct23.xml	219	renouveler le principe des arbres en ligne		repr		iter
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	oui			
2003-Corajoud_CE_Oct23.xml	225	aménageaient		crea		
2003-Corajoud_CE_Oct23.xml	225	produisait sans cesse des culs-de-sac bornés		crea		iter
2003-Corajoud_CE_Oct23.xml	228	l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé	oui	crea		
2003-Corajoud_CE_Oct23.xml	230	s’orientent				
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	oui	destr		
2003-Corajoud_CE_Oct23.xml	234	est alors coupée en deux	oui			
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	non	crea		
2003-Corajoud_CE_Oct23.xml	236	soit couverte	non	crea		
2003-Corajoud_CE_Oct23.xml	237	Couverte par une dalle	non	crea		
2003-Corajoud_CE_Oct23.xml	237	reconstituer le sol de pratique	non	repr		iter
2003-Corajoud_CE_Oct23.xml	238	La requalification de l’avenue		repr		iter
2003-Corajoud_CE_Oct23.xml	238	le projet urbain de toute la Plaine	non			
2003-Corajoud_CE_Oct23.xml	240	couverture de l’autoroute A1	oui	crea		
2003-Corajoud_CE_Oct23.xml	240	aménagement de l’avenue du Président Wilson	oui			
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	oui			
2003-Corajoud_CE_Oct23.xml	248	s’orientent				
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	oui	crea		
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin		crea		
2003-Corajoud_CE_Oct23.xml	259	son mode de gestion: la tonte fréquente				
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	non	modif		inch
2003-Corajoud_CE_Oct23.xml	270	chantier	non			
2003-Corajoud_CE_Oct23.xml	272	un projet de « second œuvre »	non			
2003-Corajoud_CE_Oct23.xml	274	apportons les ombres et les lumières d’un espace « jardiné »				
2003-Corajoud_CE_Oct23.xml	276	la conception d’un logement	non	crea		
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures		crea		
2003-Corajoud_CE_Oct23.xml	279	jardiner les quais		modif		
2003-Corajoud_CE_Oct23.xml	279	aménager cet espace public		modif		
2003-Corajoud_CE_Oct23.xml	280	restera	non	maint	fut	
2003-Corajoud_CE_Oct23.xml	288	l’urbanisation		crea		
2003-Corajoud_CE_Oct23.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne				
2003-Corajoud_CE_Oct23.xml	290	accueillir une forme urbaine	non			
2003-Corajoud_CE_Oct23.xml	298	sauvegarder cette dernière	non	maint		
2003-Corajoud_CE_Oct23.xml	308	s’est-il tramé	oui			
2003-Corajoud_CE_Oct23.xml	308	se trame	non			
2003-Corajoud_CE_Oct23.xml	309	veut-on faire de lui	non			
2003-Corajoud_CE_Oct23.xml	311	doit-on le transformer	non	modif		
2003-Corajoud_CE_Oct23.xml	318	expérimenter, imaginer l’espace	non			
2003-Corajoud_CE_Oct23.xml	330	Tout projet sur le territoire	non			
2003-Corajoud_CE_Oct23.xml	331	L’aménagement de chaque lieu				
2003-Corajoud_CE_Oct23.xml	356	ont modelé et configuré ce paysage	oui	modif		
2003-Corajoud_CE_Oct23.xml	356	le devenir du site	non			
2003-Corajoud_CE_Oct23.xml	356	telle ou telle transformation	non	modif		
2003-Corajoud_CE_Oct23.xml	359	la conservation	non	maint		
2003-Corajoud_CE_Oct23.xml	359	la tabula rasa	non	destr		
2003-Corajoud_CE_Oct23.xml	362	La préservation de l’espace ouvert	non	maint		
2003-Corajoud_CE_Oct23.xml	362	l’encombrement systématique de l’espace				
2003-Corajoud_CE_Oct23.xml	363	vouloir tout tenir, tout construire, tout recomposer				
2003-Corajoud_CE_Oct23.xml	365	projet sur l’espace	non			
2003-Corajoud_CE_Oct23.xml	365	ordonner des choses				
2003-Corajoud_CE_Oct23.xml	365	se priver de le faire		abs		
2003-Corajoud_CE_Oct23.xml	371	la transformation et l’amélioration des lieux	non	modif		
2003-Corajoud_CE_Oct23.xml	372	la mise en forme proposée				
2003-Corajoud_CE_Oct23.xml	374	sa réalisation				
2022-Boutté_CE_Oct23.xml	14	l’obsolescence accélérée d’un bâtiment mal conçu	non	destr		progr
2022-Boutté_CE_Oct23.xml	14	un bâtiment mal conçu	oui	crea		
2022-Boutté_CE_Oct23.xml	23	la construction de bâtiments hypercompacts donc épais		crea		
2022-Boutté_CE_Oct23.xml	26	impacts des labels sur la qualité urbaine				
2022-Boutté_CE_Oct23.xml	27	projet				
2022-Boutté_CE_Oct23.xml	27	s’inscrit				
2022-Boutté_CE_Oct23.xml	30	le logement de qualité de demain	non			
2022-Boutté_CE_Oct23.xml	33	le projet urbain	non			
2022-Boutté_CE_Oct23.xml	33	démarches prospectives	non			
2022-Boutté_CE_Oct23.xml	33	la planification	non			
2022-Boutté_CE_Oct23.xml	37	chaque bâtiment neuf	non	crea		
2022-Boutté_CE_Oct23.xml	37	doit s’équiper d’un dispositif de production				
2022-Boutté_CE_Oct23.xml	40	réaliser des opérations réussies	non	crea		
2022-Boutté_CE_Oct23.xml	43	la transition des territoires	non	modif		
2022-Boutté_CE_Oct23.xml	45	avons fait émerger le premier projet en structure bois	oui	crea		
2022-Boutté_CE_Oct23.xml	50	sa mise en œuvre				
2022-Boutté_CE_Oct23.xml	54	projets urbains				
2022-Boutté_CE_Oct23.xml	55	une vision de territoire	non			
2022-Boutté_CE_Oct23.xml	55	projet spatial	non			
2022-Boutté_CE_Oct23.xml	55	les projets urbains	non			
2022-Boutté_CE_Oct23.xml	56	densifier certains territoires		crea		
2022-Boutté_CE_Oct23.xml	57	leur projet	non			
2022-Boutté_CE_Oct23.xml	60	la construction durable		crea		
2022-Boutté_CE_Oct23.xml	69	conception d’un bâtiment	non	crea		
2022-Boutté_CE_Oct23.xml	69	l’action territoriale				
2022-Boutté_CE_Oct23.xml	72	un projet urbain	non			
2022-Boutté_CE_Oct23.xml	73	production du territoire				
2022-Boutté_CE_Oct23.xml	76	notre intervention				
2022-Boutté_CE_Oct23.xml	76	des conséquences sur le futur	non			
2022-Boutté_CE_Oct23.xml	83	programmation territoriale et urbaine	non			
2022-Boutté_CE_Oct23.xml	83	la restauration des continuités et des cycles naturels	non	repr		iter
2022-Boutté_CE_Oct23.xml	83	futur projet	non			
2022-Boutté_CE_Oct23.xml	85	la programmation territoriale	non			
2022-Boutté_CE_Oct23.xml	85	les morphologies bâties	oui	crea		
2022-Boutté_CE_Oct23.xml	88	la transformation du territoire	non	modif		
2022-Boutté_CE_Oct23.xml	89	le projet de territoire	non			
2022-Boutté_CE_Oct23.xml	91	une urbanisation		crea		
2022-Boutté_CE_Oct23.xml	97	l’extension du réseau de chaleur		crea		
2022-Boutté_CE_Oct23.xml	101	projet urbain	non			
2022-Boutté_CE_Oct23.xml	109	appauvrit nécessairement la forme urbaine				
2022-Boutté_CE_Oct23.xml	111	la production générique du logement		crea		
2022-Boutté_CE_Oct23.xml	114	aménagement et de développement urbains				
2022-Boutté_CE_Oct23.xml	120	l’épaisseur réduite des bâtiments		modif		
2022-Boutté_CE_Oct23.xml	120	la généralisation des typologies traversantes				
2022-Boutté_CE_Oct23.xml	123	la permanence d’une cohérence globale d’aménagement		maint		
2022-Boutté_CE_Oct23.xml	126	les effets du projet				
2022-Boutté_CE_Oct23.xml	126	nos actes sur les territoires				
2022-Boutté_CE_Oct23.xml	127	intervenez-vous sur les tracés urbains et la forme architecturale				
2022-Boutté_CE_Oct23.xml	129	une conception architecturale	non	crea		
2022-Boutté_CE_Oct23.xml	131	pouvaient largement intervenir dans la qualité spatiale de leurs projets				
2022-Boutté_CE_Oct23.xml	132	des conséquences importantes sur la qualité architecturale				
2022-Boutté_CE_Oct23.xml	139	la morphologie du projet				
2022-Boutté_CE_Oct23.xml	144	projet urbain	non			
2022-Boutté_CE_Oct23.xml	144	adapter les aménagements	non	modif		
2022-Boutté_CE_Oct23.xml	150	la conception des enjeux territoriaux				
2022-Boutté_CE_Oct23.xml	151	la préfiguration du projet Euratlantique	non			
2022-Boutté_CE_Oct23.xml	152	figer lors du concours une forme urbaine et des espaces publics				
2022-Boutté_CE_Oct23.xml	152	des ajustements marginaux		modif		
