Nom_fichier	Numéro_Phrase	Dynamique	Segment_Annoté	Type
2005-Siza_CE_Oct23.xml	226	L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol	au cœur de la ville	loc
2005-Siza_CE_Oct23.xml	226	L’implantation au cœur de la ville d’un grand ensemble qui commence au sous-sol	un grand ensemble qui commence au sous-sol	obj
2005-Siza_CE_Oct23.xml	228	une décadence et une dégradation	Montreuil	loc
2005-Siza_CE_Oct23.xml	229	ce processus de dégradation et de perte de caractère du centre historique	centre historique	obj
2005-Siza_CE_Oct23.xml	240	les grands bouleversements	la ville	obj
2005-Siza_CE_Oct23.xml	244	permette de recréer un rapport entre la rue et les tours	la rue	obj
2005-Siza_CE_Oct23.xml	244	permette de recréer un rapport entre la rue et les tours	les tours	obj
2005-Siza_CE_Oct23.xml	246	isoler les tours	les tours	obj
2005-Siza_CE_Oct23.xml	246	libérer des volumes parasites de deux ou trois étages qui s’agrippent à elles	les tours	obj
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	de l’autre côté de la rue	loc
2005-Siza_CE_Oct23.xml	248	doit s’accompagner, de l’autre côté de la rue, de constructions de deux ou trois étages	constructions de deux ou trois étages	obj
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	la ville ancienne	obj
2005-Siza_CE_Oct23.xml	248	adoucir le rapport à la ville ancienne et les deux tours	les deux tours	obj
2005-Siza_CE_Oct23.xml	252	transformation de l’espace	l’espace	obj
2005-Siza_CE_Oct23.xml	252	transformation de l’espace	auprès des tours	loc
2005-Siza_CE_Oct23.xml	255	urbanisation outrancière	la périphérie	loc
2005-Siza_CE_Oct23.xml	255	persistance du rural	la périphérie	loc
2005-Siza_CE_Oct23.xml	255	persistance du rural	rural	obj
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	tout le centre commercial	obj
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	la station d’autobus	obj
2005-Siza_CE_Oct23.xml	258	démolitions : tout le centre commercial, la station d’autobus, le théâtre	le théâtre	obj
2005-Siza_CE_Oct23.xml	259	faille les démolir	les tours	obj
2005-Siza_CE_Oct23.xml	260	faire disparaître les faits de la transformation antérieure	les faits de la transformation antérieure	obj
2005-Siza_CE_Oct23.xml	261	démolitions de structures existantes	structures existantes	obj
2005-Siza_CE_Oct23.xml	268	créer comme une grille	une grille	obj
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	villes	obj
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	au sud de l’Europe	loc
2005-Siza_CE_Oct23.xml	271	leur consolidation	au sud de l’Europe	loc
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	en Amérique latine	loc
2005-Siza_CE_Oct23.xml	271	leur consolidation	en Amérique latine	loc
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	en Orient	loc
2005-Siza_CE_Oct23.xml	271	leur consolidation	en Orient	loc
2005-Siza_CE_Oct23.xml	271	La perpétuelle transformation des villes	Les villes d’Europe du Nord	obj
2005-Siza_CE_Oct23.xml	271	leur consolidation	Les villes d’Europe du Nord	obj
2005-Siza_CE_Oct23.xml	278	le développement des villes	villes	obj
2003-Corajoud_CE_Oct23.xml	2	construire la ville	la ville	obj
2003-Corajoud_CE_Oct23.xml	4	projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité »	le territoire de la ville contemporaine	obj
2003-Corajoud_CE_Oct23.xml	4	projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité »	la périphérie	obj
2003-Corajoud_CE_Oct23.xml	4	projets sur le territoire de la ville contemporaine, c’est-à-dire sur la périphérie, sur la « suburbanité »	la « suburbanité »	obj
2003-Corajoud_CE_Oct23.xml	9	transformait des appartements	des appartements	obj
2003-Corajoud_CE_Oct23.xml	9	en ne gardant que l’enveloppe des murs et les structures porteuses	l’enveloppe des murs	obj
2003-Corajoud_CE_Oct23.xml	9	en ne gardant que l’enveloppe des murs et les structures porteuses	les structures porteuses	obj
2003-Corajoud_CE_Oct23.xml	12	le projet de paysage	paysage	obj
2003-Corajoud_CE_Oct23.xml	30	se constituer	les choses du milieu	obj
2003-Corajoud_CE_Oct23.xml	30	se transformer	les choses du milieu	obj
2003-Corajoud_CE_Oct23.xml	34	les projets d’aménagement de nombreux espaces extérieurs	nombreux espaces extérieurs	obj
2003-Corajoud_CE_Oct23.xml	47	le projet du quartier de l’Arlequin	quartier de l’Arlequin	obj
2003-Corajoud_CE_Oct23.xml	47	le projet du quartier de l’Arlequin	à la Villeneuve de Grenoble	loc
2003-Corajoud_CE_Oct23.xml	49	devions en étudier la « rue » et le parc au centre du quartier	la « rue »	obj
2003-Corajoud_CE_Oct23.xml	49	devions en étudier la « rue » et le parc au centre du quartier	le parc au centre du quartier	obj
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	de véritables espaces publics	obj
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	la rue	obj
2003-Corajoud_CE_Oct23.xml	51	voulait créer de véritables espaces publics : la rue, le parc	le parc	obj
2003-Corajoud_CE_Oct23.xml	55	l’arrivée du grand centre commercial	grand centre commercial	obj
2003-Corajoud_CE_Oct23.xml	58	projet du parc de vingt hectares de la Villeneuve	parc de vingt hectares de la Villeneuve	obj
2003-Corajoud_CE_Oct23.xml	59	la conception du parc de la Villeneuve	parc de la Villeneuve	obj
2003-Corajoud_CE_Oct23.xml	59	des efforts qui ont façonné la campagne	la campagne	obj
2003-Corajoud_CE_Oct23.xml	62	les graver	sur le sol	loc
2003-Corajoud_CE_Oct23.xml	71	matière œuvrée par l’architecture	le monde	obj
2003-Corajoud_CE_Oct23.xml	76	enveloppant littéralement une rue gigantesque	une rue gigantesque	obj
2003-Corajoud_CE_Oct23.xml	76	devait requalifier l’Urbain	l’Urbain	obj
2003-Corajoud_CE_Oct23.xml	82	Réalisé	le parc d’Élancourt-Maurepas	obj
2003-Corajoud_CE_Oct23.xml	82	ce parc, construit	ce parc	obj
2003-Corajoud_CE_Oct23.xml	82	ce parc, construit	au beau milieu des champs	loc
2003-Corajoud_CE_Oct23.xml	82	quartier à venir	quartier	obj
2003-Corajoud_CE_Oct23.xml	93	la création d’un parc forestier	un parc forestier	obj
2003-Corajoud_CE_Oct23.xml	94	l’extrême lenteur de croissance d’une forêt	une forêt	obj
2003-Corajoud_CE_Oct23.xml	95	fallait concevoir un enchaînement d’espaces « capables »	un enchaînement d’espaces « capables »	obj
2003-Corajoud_CE_Oct23.xml	96	serait équipée progressivement	une sorte de campagne bocagère et boisée	obj
2003-Corajoud_CE_Oct23.xml	99	Les travaux du parc ont commencé	parc	obj
2003-Corajoud_CE_Oct23.xml	99	la plantation de 400 000 très jeunes arbres	400 000 très jeunes arbres	obj
2003-Corajoud_CE_Oct23.xml	101	la conception des paysages	paysages	obj
2003-Corajoud_CE_Oct23.xml	104	ne serait pas bousculée	cette terre	obj
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace	le sol	obj
2003-Corajoud_CE_Oct23.xml	105	un projet sur l’espace	l’espace	obj
2003-Corajoud_CE_Oct23.xml	109	neuf tranches actuellement réalisées	neuf tranches	obj
2003-Corajoud_CE_Oct23.xml	110	agir de manière définitive sur l’espace	sur l’espace	obj
2003-Corajoud_CE_Oct23.xml	112	donner leur forme effective aux différents espaces	aux différents espaces	obj
2003-Corajoud_CE_Oct23.xml	113	génère son propre avènement	le paysage	obj
2003-Corajoud_CE_Oct23.xml	119	projet sur le paysage	le paysage	obj
2003-Corajoud_CE_Oct23.xml	123	réconcilier les fragments chaotiques d’un territoire de banlieue	les fragments chaotiques d’un territoire de banlieue	obj
2003-Corajoud_CE_Oct23.xml	125	tisse un « milieu »	un « milieu »	obj
2003-Corajoud_CE_Oct23.xml	129	l’amélioration et à la transformation des lieux	lieux	obj
2003-Corajoud_CE_Oct23.xml	133	se développent	les différentes scènes végétales : hêtraie, chênaie, frênaie, pinède, aulnaie en lisière ou en plein bois ou encore celles du marais ou du bocage	obj
2003-Corajoud_CE_Oct23.xml	136	ne serait donc pas modifiée	La topographie	obj
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe	ce grand axe	obj
2003-Corajoud_CE_Oct23.xml	139	voulions, en effet, réintroduire ce grand axe	dans le patrimoine des avenues parisiennes	loc
2003-Corajoud_CE_Oct23.xml	149	s’est organisée	la forme urbaine de Montreuil	obj
2003-Corajoud_CE_Oct23.xml	150	perdurent	dans le quartier Saint-Antoine	loc
2003-Corajoud_CE_Oct23.xml	150	pourrait, à nouveau, transposer et singulariser sa forme urbaine	sa forme urbaine	obj
2003-Corajoud_CE_Oct23.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	entre ces murs	loc
2003-Corajoud_CE_Oct23.xml	151	serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole	des activités de type horticole ou agricole	obj
2003-Corajoud_CE_Oct23.xml	152	la sauvegarde des murs	murs	obj
2003-Corajoud_CE_Oct23.xml	152	la préservation des espaces « naturels » du quartier	espaces « naturels » du quartier	obj
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	des maisons individuelles	obj
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	de petites activités artisanales	obj
2003-Corajoud_CE_Oct23.xml	154	trouveraient aisément leur place	dans ce parcellaire	loc
2003-Corajoud_CE_Oct23.xml	155	cette dynamique	dans le quartier Saint-Antoine	loc
2003-Corajoud_CE_Oct23.xml	155	des configurations rurales anciennes sauvées	des configurations rurales anciennes	obj
2003-Corajoud_CE_Oct23.xml	155	des configurations urbaines futures	des configurations urbaines	
2003-Corajoud_CE_Oct23.xml	156	protection pour la meilleure partie des murs	la meilleure partie des murs	obj
2003-Corajoud_CE_Oct23.xml	157	l’avenir des murs	murs	obj
2003-Corajoud_CE_Oct23.xml	159	l’aménagement de la Cité internationale	la Cité internationale	obj
2003-Corajoud_CE_Oct23.xml	160	doit être immergé	L’ensemble urbain de la Cité internationale	obj
2003-Corajoud_CE_Oct23.xml	160	doit être immergé	dans le paysage	loc
2003-Corajoud_CE_Oct23.xml	161	dessiner, avec lui, les espaces publics	les espaces publics	obj
2003-Corajoud_CE_Oct23.xml	162	la digue plusieurs fois modifiée	la digue	obj
2003-Corajoud_CE_Oct23.xml	164	devait, à son tour, restaurer et gérer un maillage d’« allées-jardins »	un maillage d’« allées-jardins »	obj
2003-Corajoud_CE_Oct23.xml	174	fut dessiné	le beau Parc de la Tête d’Or	obj
2003-Corajoud_CE_Oct23.xml	176	Les aménagements successifs de la digue	la digue	obj
2003-Corajoud_CE_Oct23.xml	176	ses diverses constructions	ses diverses constructions	obj
2003-Corajoud_CE_Oct23.xml	177	maintenir, à recréer et renforcer ce système de strates parallèles aux berges	ce système de strates parallèles aux berges	obj
2003-Corajoud_CE_Oct23.xml	180	nature idyllique, horticole et domestiquée	nature	obj
2003-Corajoud_CE_Oct23.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc	sur notre propre emprise	loc
2003-Corajoud_CE_Oct23.xml	180	avons ajouté, sur notre propre emprise, un nouveau parc	un nouveau parc	obj
2003-Corajoud_CE_Oct23.xml	181	recompose les berges de la rive gauche	les berges de la rive gauche	obj
2003-Corajoud_CE_Oct23.xml	187	commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis	huit cents hectares de la Plaine Saint-Denis	obj
2003-Corajoud_CE_Oct23.xml	193	Urbaniser la Plaine	la Plaine	obj
2003-Corajoud_CE_Oct23.xml	194	libres tracés des infrastructures	infrastructures	obj
2003-Corajoud_CE_Oct23.xml	194	la juxtaposition des emprises et des constructions	emprises	obj
2003-Corajoud_CE_Oct23.xml	194	la juxtaposition des emprises et des constructions	constructions	obj
2003-Corajoud_CE_Oct23.xml	195	a occupé les rives	les rives	obj
2003-Corajoud_CE_Oct23.xml	200	l’enchevêtrement des constructions et des ouvrages	constructions	obj
2003-Corajoud_CE_Oct23.xml	200	l’enchevêtrement des constructions et des ouvrages	ouvrages	obj
2003-Corajoud_CE_Oct23.xml	202	a, depuis toujours, composé les villes	les villes	
2003-Corajoud_CE_Oct23.xml	202	en créant des systèmes d’interrelations	des systèmes d’interrelations	obj
2003-Corajoud_CE_Oct23.xml	203	la renaissance de la Plaine	la Plaine	obj
2003-Corajoud_CE_Oct23.xml	204	La prolifération des objets	objets	obj
2003-Corajoud_CE_Oct23.xml	209	un avenir pour la Plaine	la Plaine	obj
2003-Corajoud_CE_Oct23.xml	211	Le projet urbain de la Plaine Saint-Denis	la Plaine Saint-Denis	obj
2003-Corajoud_CE_Oct23.xml	217	Ces voies nouvelles	Ces voies	obj
2003-Corajoud_CE_Oct23.xml	219	renouveler le principe des arbres en ligne	arbres en ligne	obj
2003-Corajoud_CE_Oct23.xml	224	avaient plaqué, sur ce territoire délicat, des plans masse absurdes	sur ce territoire délicat	loc
2003-Corajoud_CE_Oct23.xml	225	aménageaient	Le labyrinthe du réseau des voiries	obj
2003-Corajoud_CE_Oct23.xml	225	produisait sans cesse des culs-de-sac bornés	des culs-de-sac bornés	obj
2003-Corajoud_CE_Oct23.xml	228	l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé	l’un des quartiers de la ville nouvelle	obj
2003-Corajoud_CE_Oct23.xml	228	l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé	« le village de Terre »	obj
2003-Corajoud_CE_Oct23.xml	230	s’orientent	les quartiers	obj
2003-Corajoud_CE_Oct23.xml	230	s’orientent	sur cette belle campagne	loc
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	Au centre de la Plaine Saint-Denis	loc
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	l’ancienne route royale « avenue de Paris »	obj
2003-Corajoud_CE_Oct23.xml	233	fut éventrée	avenue du « Président Wilson »	obj
2003-Corajoud_CE_Oct23.xml	234	est alors coupée en deux	La Plaine	obj
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	le Stade de France	obj
2003-Corajoud_CE_Oct23.xml	235	veut implanter le Stade de France	à Saint-Denis	loc
2003-Corajoud_CE_Oct23.xml	236	soit couverte	l’autoroute	obj
2003-Corajoud_CE_Oct23.xml	237	reconstituer le sol de pratique	le sol de pratique	obj
2003-Corajoud_CE_Oct23.xml	238	La requalification de l’avenue	l’avenue	obj
2003-Corajoud_CE_Oct23.xml	238	le projet urbain de toute la Plaine	toute la Plaine	obj
2003-Corajoud_CE_Oct23.xml	240	couverture de l’autoroute A1	l’autoroute A1	obj
2003-Corajoud_CE_Oct23.xml	240	aménagement de l’avenue du Président Wilson	l’avenue du Président Wilson	obj
2003-Corajoud_CE_Oct23.xml	246	avaient plaqué des plans masse absurdes	sur ce territoire délicat	loc
2003-Corajoud_CE_Oct23.xml	248	s’orientent	les quartiers	obj
2003-Corajoud_CE_Oct23.xml	248	s’orientent	sur cette belle campagne	loc
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	dans le parc de Gerland à Lyon	loc
2003-Corajoud_CE_Oct23.xml	254	avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50	un grand jardin linéaire de 500 mètres par 50	obj
2003-Corajoud_CE_Oct23.xml	255	réaliser un jardin	jardin	obj
2003-Corajoud_CE_Oct23.xml	259	son mode de gestion: la tonte fréquente	ce jardin	obj
2003-Corajoud_CE_Oct23.xml	269	les premiers travaux de la transformation des quais de la rive gauche de Bordeaux	quais de la rive gauche de Bordeaux	obj
2003-Corajoud_CE_Oct23.xml	274	apportons les ombres et les lumières d’un espace « jardiné »	un espace « jardiné »	obj
2003-Corajoud_CE_Oct23.xml	276	la conception d’un logement	un logement	obj
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres formes de toits	obj
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres verticales	obj
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres percements	obj
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres colonnades	obj
2003-Corajoud_CE_Oct23.xml	278	créer d’autres formes de toits, d’autres verticales, d’autres percements, d’autres colonnades, d’autres textures	d’autres textures	obj
2003-Corajoud_CE_Oct23.xml	279	jardiner les quais	les quais	obj
2003-Corajoud_CE_Oct23.xml	279	aménager cet espace public	cet espace public	obj
2003-Corajoud_CE_Oct23.xml	280	restera	l’espace des quais	obj
2003-Corajoud_CE_Oct23.xml	288	l’urbanisation	des terrains agricoles	obj
2003-Corajoud_CE_Oct23.xml	289	peut, à mon sens, polariser, orienter, ordonner, et finalement qualifier les fragments épars de la ville moderne	les fragments épars de la ville moderne	obj
2003-Corajoud_CE_Oct23.xml	290	accueillir une forme urbaine	une forme urbaine	obj
2003-Corajoud_CE_Oct23.xml	298	sauvegarder cette dernière	la campagne	obj
2003-Corajoud_CE_Oct23.xml	298	sauvegarder cette dernière	cette dernière	obj
2003-Corajoud_CE_Oct23.xml	308	s’est-il tramé	sur ce lieu	loc
2003-Corajoud_CE_Oct23.xml	308	se trame	sur ce lieu	loc
2003-Corajoud_CE_Oct23.xml	309	veut-on faire de lui	lui	obj
2003-Corajoud_CE_Oct23.xml	311	doit-on le transformer	le	obj
2003-Corajoud_CE_Oct23.xml	318	expérimenter, imaginer l’espace	l’espace	obj
2003-Corajoud_CE_Oct23.xml	330	Tout projet sur le territoire	le territoire	obj
2003-Corajoud_CE_Oct23.xml	331	L’aménagement de chaque lieu	chaque lieu	obj
2003-Corajoud_CE_Oct23.xml	356	ont modelé et configuré ce paysage	ce paysage	obj
2003-Corajoud_CE_Oct23.xml	356	le devenir du site	site	obj
2003-Corajoud_CE_Oct23.xml	362	La préservation de l’espace ouvert	l’espace ouvert	obj
2003-Corajoud_CE_Oct23.xml	362	l’encombrement systématique de l’espace	l’espace	obj
2003-Corajoud_CE_Oct23.xml	365	projet sur l’espace	l’espace	obj
2003-Corajoud_CE_Oct23.xml	371	la transformation et l’amélioration des lieux	lieux	obj
2003-Corajoud_CE_Oct23.xml	374	sa réalisation	L’espace	obj
2022-Boutté_CE_Oct23.xml	14	l’obsolescence accélérée d’un bâtiment mal conçu	un bâtiment mal conçu	obj
2022-Boutté_CE_Oct23.xml	14	un bâtiment mal conçu	un bâtiment	obj
2022-Boutté_CE_Oct23.xml	23	la construction de bâtiments hypercompacts donc épais	bâtiments hypercompacts donc épais	obj
2022-Boutté_CE_Oct23.xml	27	projet	au milieu urbain	obj
2022-Boutté_CE_Oct23.xml	27	s’inscrit	au milieu urbain	obj
2022-Boutté_CE_Oct23.xml	30	le logement de qualité de demain	le logement de qualité	obj
2022-Boutté_CE_Oct23.xml	37	doit s’équiper d’un dispositif de production	chaque bâtiment	obj
