phrase_id,balise_lieu_obj,balise_lieu_loc,balise_act,balise_doc,balise_perc,balise_tps,balise_dyn,phrase
102,,,,,,, la transformation de l' ancienne gare de marchandises de la Rapée ,"Pour  la transformation de l' ancienne gare de marchandises de la Rapée  à Paris , nous avons considéré les infrastructures ferrées ou fluviales en déshérence comme un vecteur du vivant avec l' appui d' un collectif de scientifiques ( Conservatoire national botanique , Muséum d' histoire naturelle , ehess ...). "
103,,,,,,, réduire drastiquement l' empreinte carbone ,"Pour l' étude , Luxembourg in Transition ,, c'est l' agriculture et la sylviculture qui ont guidé notre proposition pour  réduire drastiquement l' empreinte carbone  de ce petit pays . "
104,,,,,,, régénérer le sol rural .,Nous nous sommes intéressés à la transformation des matières premières – le bois et le lait – pour établir de nouvelles coalitions et  régénérer le sol rural . 
105,,,,,,, réagit aux activités humaines .,"Plus généralement , le livre est une tentative de redéfinition de l' architecture et de l' urbanisme , à l' heure d' un nouveau régime écologique qui montre à quel point la Terre  réagit aux activités humaines . "
107,,,,,,," un décor fixe , immuable , indépassable , une , Nature , ancestrale aussi insensible qu'éternelle ,","La penser comme  un décor fixe , immuable , indépassable , une , Nature , ancestrale aussi insensible qu'éternelle , est erroné . "
108,,,,,,," l' architecture ne doit plus se définir comme extérieure ou posée sur la Terre , mais plutôt comme mise en forme permanente du monde ,","De l' autre côté ,  l' architecture ne doit plus se définir comme extérieure ou posée sur la Terre , mais plutôt comme mise en forme permanente du monde , par toutes forces qui l' animent . "
109,,,,,,, l' architecture et de l' urbanisme ,"Cette vision étend le domaine de  l' architecture et de l' urbanisme  pour intégrer la question du sol , de l' étendue , du vivant ou de l' énergie . "
110,,,,le programme de l' architecture,,, assaillent la Terre ,"Continuer à faire de l' architecture aujourd'hui , dans le contexte des crises multiples qui  assaillent la Terre  et mettent en cause notre capacité à survivre , nécessite quele programme de l' architecturene se limite pas à la seule satisfaction des besoins humains. "
111,,,,,,, les projets de transformation de la Terre ,"Que ce soit pour abriter un individu ou nourrir une société ,  les projets de transformation de la Terre  doivent prendre en compte les mouvements de la foule des vivants , comme ceux des matières terrestres , les craquements du sol , les écoulements des eaux et les remous du ciel , tout en ayant conscience de l' imprévisibilité du monde . "
112,,,,,,, bel et bien des temps nouveaux pour nos métiers .,Ce glissement inaugure  bel et bien des temps nouveaux pour nos métiers . 
113,,,,,,, construire ,"Le collectif et la transmission Enfin , revenons à notre point de départ , le diplôme à treize architectes sur le Périphérique , car cette période initiatique nous a conduits à  construire  une agence structurée par un collectif mais aussi à consacrer une partie importante de notre temps à enseigner et transmettre ; "
114,,,,,,, l' École d' architecture de la ville et des territoires de Marne-la-Vallée .,Pierre Alain a enseigné dans le master d' urbanisme de Sciences Po Paris puis dans le master Métropole de  l' École d' architecture de la ville et des territoires de Marne-la-Vallée . 
116,,,,,,," l'  École   d' architecture de Normandie , est désormais professeur à l'  École   d' architecture de Paris-Val de Seine .","Antoine , après avoir exercé pendant longtemps à  l'  École   d' architecture de Normandie , est désormais professeur à l'  École   d' architecture de Paris-Val de Seine . "
117,,,,,,, urbanistes ancrés simultanément dans la pratique et la théorie ,Nous nous définissons comme architectes et  urbanistes ancrés simultanément dans la pratique et la théorie  ; 
119,,,,,,," Cette démarche , construite patiemment "," Cette démarche , construite patiemment  depuis plus de vingt ans , est rendue possible par la force des liens qui forgent le collectif TVK . "
120,,,,,,," urbanistes , chercheurs en architecture ,","Une équipe d' une cinquantaine de personnes qui regroupe des architectes ,  urbanistes , chercheurs en architecture , un graphiste , une maquettiste et une cheffe cuisinière . "
121,,,,,,, l' architecture .,"Certains sont présents depuis de nombreuses années à nos côtés et nous partageons la conviction que la condition écologique , climatique et sociale appelle à élargir le champ encore trop cloisonné de  l' architecture . "
122,,,,,,, faire durer ce qui a déjà été transformé ,"Pour agir sur le monde , TVK cherche à prendre acte de la complexité du monde et à  faire durer ce qui a déjà été transformé  en le rendant plus terrestre . "
123,,,,,,, Cette extension du domaine de l' architecture ," Cette extension du domaine de l' architecture  est le fruit des collaborations au long cours nouées avec des chercheurs , des experts et des maîtres d' ouvrage parmi lesquels Daniel Béhar , Laurent Davezies , Soline Nivet , Samuel Maillot , Gwenaëlle d' Aboville , Philippe Gasser . "
124,,,,,,, avons pensé le collectif et la transmission ,"Nous  avons pensé le collectif et la transmission  à travers un espace singulier , notre lieu de travail . "
125,,,,,,, accueille sa production .,Ce qu'élabore TVK est indissociable de l' espace qui  accueille sa production . 
126,,,,,,, construisent une culture commune .,"L'agence est conçue comme un lieu pour stimuler la création collective et l' écoute à travers quatre espaces particuliers : un large atelier maquette pour prototyper sans cesse , une grande bibliothèque située au centre , un restaurant où le déjeuner est servi chaque jour , et un amphithéâtre où les conférences et invitations régulières  construisent une culture commune . "
127,,,,,,, édifié ,"L'agence se situe à la porte de La Villette , au premier étage d' un mégalithe de béton  édifié  par Gérard Thurnauer à la fin des années quatre-vingt , en balcon sur les infrastructures de la métropole : le parc de La Villette au sud et , au nord , la profondeur de champ striée par le tramway , les voies ferrées , leurs corridors de nature et ... le Périphérique . "
