Unnamed: 0|sentence|dynamic|annotation
131|Une grande trouée large de 60 mètres de large, dans l’axe de la plus haute tour du centre-ville de Nantes, permet de percevoir l’ensemble à grande échelle, de se l’approprier physiquement.|0|1
73|Mais ces gammes sur l’îlot ouvert ont beaucoup contribué à nourrir ma réflexion théorique.|1|0
141|Mon idée était que les preneurs venaient avec leur programme, leur esquisse architecturale et leur demande de surface.|0|1
7|Il se trouve que Beaudouin portait un grand intérêt à l’urbanisme et à l’histoire de la ville.|0|0
4|J’ai souvenir d’être allé visiter le quartier du Rheu, urbanisé par Gaston Bardet, l’anti-Corbu.|1|0
80|Je ne sépare pas une façon de penser l’architecture pour transformer la ville, d’une vision de la ville sans laquelle je ne peux penser l’architecture d’une manière féconde, y compris pour son organisation interne.|1|1
157|Localement, on retrouve le travail sur l’îlot ouvert, avec une typologie qui varie en fonction des programmes.|0|1
274|Nous nous associons avec le paysagiste Michel Péna, pour une longue étude de définition.|0|0
47|J’avais conçu le projet de La Roquette comme un manifeste pour l’espace, pour le vide comme forme dans la ville, à une époque où on ne voyait que l’objet – qu’il soit bâti ou sorti d’usine.|1|1
170|Il s’agit de transformer des immeubles « à vue », sans déménager leurs habitants, tout en menant un travail sur la forme des espaces du quartier autant que sur les bâtiments, les halls, les façades et les intérieurs.|1|1
21|À ce moment là, il y avait à Paris une effervescence.|0|0
145|[5] Hippodamienne: du nom de l’architecte grec Hippodamos (494-479 avant J.-C.) auquel est attribué le plan en damier de la ville de Milet.|0|0
64|Pendant les Hautes Formes, je commence un concours pour Cergy-Pontoise que je ne rendrai pas mais j’y travaille cette idée de penser, à grande échelle, ces îlots ouverts.|0|1
173|On a donc deux villes antagonistes que le projet va « hybrider ».|1|1
166|Au centre du parc, où se trouve déjà l’immeuble de la Communauté Urbaine, je proposais une « île bâtie », réunissant le centre de congrès demandé et les bureaux de la communauté urbaine.|1|1
299|On peut imaginer une part d’aléatoire et, dans la durée, une évolution facile, car chaque immeuble donne sur une rue.|1|0
118|Son espace est parfaitement sensible en dépit de la discontinuité des façades.|0|0
106|Cet aléatoire tend vers une ville accueillante à la mixité des usages et des fonctions.|0|1
287|Pour que les promoteurs envisagent un autre modèle, je m’emploie à imaginer avec eux l’avenir potentiel des condominiums réalisés récemment.|1|1
66|J’avais pensé, il faut le dire, à la fin des années soixante-dix, faire une sorte de projet de ville utopique, théorique avec ses îlots ouverts.|1|0
148|De la même façon, au XVIII e siècle, le Cours Mirabeau avait permis de déployer un nouveau territoire le long de la ville médiévale.|1|1
78|Ce sont de grands sites, qui induisent de nouveaux espaces publics et des architectures.|1|1
336|Nous avons fait un « parcellaire tridimensionnel », c’est-à-dire un cadre volumétrique constructible plus grand que le volume nécessaire à chaque programme.|1|1
318|Finie, la continuité fermée de sa paroi qui fût son caractère le plus marquant.|0|0
262|Pour prouver que cela n’est pas une sophistication irréaliste sur le plan économique, je montre des îlots dans lesquels on a installé des bâtiments types existant dans Sao Paulo, des basiques « sans qualité ».|1|1
221|Bien sûr, l’habitat que l’on installe va tout changer, mais nous aurons tenté d’urbaniser cette campagne en douceur au lieu de plaquer sur elle un plan d’urbanisme.|1|1
138|Ces îlots construisent les rues, autonomisent les bâtiments et accueillent le plus large aléatoire.|1|1
252|Ces « bolsas » d’Amérique latine, de Chine ou d’ailleurs, ne seront pas évolutives, impossible à revendre en morceau faute d’indépendance des parties alors que dans les villes, tous les îlots sont indéfiniment réappropriés, divisés ou unifiés.|1|1
237|Dans ce projet, les rives forment un front bâti, unifié en une seule paroi dont la silhouette intègre de petites tours et dégage des vues sur la colline de Meudon.|1|1
84|À l’époque, certains disaient qu’il ne fallait plus faire d’urbanisme, au sens où il ne fallait plus encadrer l’architecture ; que c’était académique.|0|0
309|Page de gauche: perspectives sur les rues, étroites mais néanmoins lumineuses; état d’avancement du quartier en 2004.|0|0
108|Je suis très opposé à ce postulat maintes fois répété selon lequel l’architecture représenterait l’évolution, le changement des modes, tandis que la ville, elle, incarnerait la permanence.|1|1
339|L’architecte Philippe Pargade, par exemple, l’a utilisée pour répondre avec deux bâtiments – l’un en verre, l’autre en zinc – entre lesquels passe le jour du Sud.|0|0
30|Ceci m’a conduit à un projet de recherche pour le Corda [1], sur ce que j’appelais « Les unités signifiantes dans la ville ».|0|0
68|J’avais une méfiance profonde de la naïveté planificatrice face à la complexité de la ville.|0|0
0|﻿Adolescent, je ne séparais pas clairement mon intérêt pour la peinture, pour la sculpture de celui que je portais à la ville, les villes, que j’avais habitées, traversées, enfant.|0|1
150|J’ai invité ces tours dans la danse pour imaginer un mini downtown.|1|0
33|J’aimais l’ambition utopique de Candilis, avec ses trames, ses réseaux : une casbah industrialisée.|0|0
297|Je dirais même amusant, car elle nous conduit à faire des îlots ouverts pour réussir à faire des rues Nord-Sud vraiment constituées.|1|1
96|Les îlots peuvent devenir des îles dans la verdure, comme à Montpellier.|1|1
139|Pour cela, à l’atelier, nous avons testé un grand nombre des programmes variés qui avaient été demandés à l’aménageur : écoles de haut niveau, laboratoires, habitat...|0|0
354|Ainsi, l’un des objectifs importants de l’îlot ouvert est de donner plus de plaisir aux architectes, parce que l’architecture sera plus savoureuse.|0|0
273|C’est un véritable puzzle de terrains, pour partie occupés, alors que l’on prévoit d’y construire 500 000 m2 et un parc de 12 hectares...|1|1
278|Ces petits quartiers ménagent des jardins et des rues intérieures, mais aussi des « fenêtres » et des « portes » sur le parc grâce à leurs périmètres ouverts.|1|1
333|Pour assurer des vues dégagées pour tous, les îlots s’ajustaient les uns aux autres au fil des réalisations, notamment selon une règle qui évite « l’effet corridor » dans les rues, en jouant de quinconce.|1|1
153|Nous avons ensuite travaillé, à Toulouse, sur un grand morceau de la ville intramuros, le long du Canal du Midi.|0|1
101|De cette période de la fin des années quatre-vingt, je retiens surtout la prise en compte de l’aléatoire avec risque, plaisir, confiance et méthode.|0|0
24|Il fallait bien s’occuper des villes.|1|0
253|Les îlots ont des accès publics sur tous leurs côtés, et ils sont donc, dans le temps, divisibles, vendables, commercialisables en morceaux reconstructibles.|1|1
246|Le nouveau découpage marchand, connecté directement sur la trame des voies rapides, est délié de la trame urbaine et, souvent, des transports en commun.|0|1
87|Avec Atlanpole, je vais enfin pouvoir dessiner un projet issu de la trame d’îlots ouverts à laquelle j’avais pensé pour Cergy.|1|0
191|Nous avions hérité de cette longue histoire qui s’est toujours identifiée au concept de la rue, et de la ville des « objets bâtis » de la période moderne qui, pendant trente ans, s’était affirmée contre la première.|0|1
107|Il est aussi un moyen d’ouvrir théoriquement un champ de liberté à des architectures qui peuvent se côtoyer, exister chacune dans leur individualité, et pourtant être assemblées par l’unité volumétrique de la rue. Cet accueil calculé de l’inconnu répond à une question moderne, celle de l’entropie, de l’éclatement architectural, de la disparité sans fin des egos des architectes, des propositions individuelles et des « styles », toujours perçue comme la fin de l’unité et de la cohérence de la Ville et, partant de la communauté|1|1
362|Ces ateliers se tiennent régulièrement, souvent en présence des promoteurs et des aménageurs.|0|1
216|Dès le début, j’ai souhaité préserver les vignes, les oliviers, les fermes : si l’on vient habiter là, c’est pour trouver non pas des qualités de centre-ville, mais des qualités propres à la périphérie.|1|1
236|En 1995, à l’invitation de Renault qui organise une consultation pour l’île Seguin, je fais un projet avec la volonté de préserver à l’île son image exceptionnelle d’île-bateau.|1|1
134|Ces structures physiques fondent une compréhension de la ville, en donnent la mesure dans le grand territoire, permettent une perception forte, évidente du site urbain dans sa grande dimension.|0|1
185|Ils semblaient dire : « Le modèle moderne a échoué, oublions cette parenthèse dans l’histoire, revenons à la ville de toujours qui a fait ses preuves ».|1|1
59|Mais sur le plan de la conception et de la perception de l’espace, sur le rôle du temps, j’étais en opposition avec Team X : pour moi, l’îlot, est une partition de vide et de matière bâtie, alors qu’ils amoncelaient plutôt des cellules.|0|1
229|Et en 1994 et 1996, je participe à deux consultations pour des secteurs opérationnels dans Paris : le quartier Masséna à Paris-Rive-Gauche, et la Porte d’Asnières.|0|1
384|Lorsqu’on construit un bâtiment, on maîtrise à quatre-vingt dix pour cent ce que l’on veut faire.|1|0
338|Il autorise une liberté pour jouer avec les volumes, les formes, et les orienter dans la direction choisie.|0|1
164|Pour moi, il s’agissait de profiter de ce vide, non pas pour le remplir de constructions et fusionner tout le territoire urbain – ce qui était l’idée retenue – mais pour offrir là une perception de cette ville duelle, du territoire urbain à grande échelle, tout en faisant une entrée de ville.|1|1
1|Je voyais Rennes se transformer spectaculairement.|1|1
98|À Bordeaux, avec le travail sur le Port de la Lune [4], je m’intéresse à un nouveau centre linéaire, long de quatre kilomètres, et à la lisibilité de la ville, à l’effet de présence des espaces et de l’architecture.|1|1
156|Les allées structurent la ville à grande échelle.|1|1
300|Le quartier est donc maillé de rues publiques dont certaines sont déjà adoptées par les services d’urbanisme de la ville.|0|1
388|Un aspect merveilleux des villes réside dans ce fait qu’elles rassemblent une totalité d’hommes dans leur incroyable diversité, leur singularité, au sein d’une forme, d’une atmosphère.|0|0
57|Sur le plan de la logique, je me trouvais dans une certaine continuité de méthode avec le Team X de Candilis et des Smithson.|0|0
37|À cette occasion, nous nous sommes promenés à travers l’Europe, de Gênes à Amsterdam, pour analyser et étudier des aménagements de lieux publics.|1|1
53|Il s’agit de penser que le lieu comme résultat vécu, comme ambiance totale, compte toujours plus que l’objet bâti, même si je prends en compte la question de l’objet.|0|0
243|La ville se divise en grands camps.|1|1
277|On retrouve dans cette étude, à travers ces plots en damier, l’idée d’archipel.|0|0
379|Je ne suis pas dans un autre sujet lorsque je conçois des îlots ouverts à Montréal ou à Boulogne, ni lorsque je travaille l’intérieur d’un îlot fermé, comme à l’ambassade de Berlin.|1|1
171|On a en effet ici, dans ce quartier, l’urbanisme de barres de l’époque moderne, sans îlot, maladroitement installé sur l’urbanisme de rue de l’histoire classique.|1|1
128|Je mène donc d’abord un travail sur le rapport ville-campagne, la perception à grande échelle, en constituant des « îles » bâties, posées « à bords francs » sur les grands espaces de campagne et de marais écologiquement intéressants, et en préservant les villages existants.|1|1
39|Il s’agit de recomposer en rond-point la rencontre d’une avenue et d’un échangeur routier.|1|1
211|Même si l’urbain signifie maintenant l’incertain, l’instable, l’éclatement et une part accrue d’« immaîtrisable », il faut dégager des scénarios spécifiques et des méthodes récurrentes.|1|1
259|Dans ce projet, je cherche avant tout à assurer la continuité du territoire urbain, à éviter les grandes enclaves.|1|1
13|Les principes de la Charte d’Athènes commençaient alors à me sembler schématiques.|0|0
350|Il est beaucoup plus intéressant et motivant pour un architecte de concevoir des volumes entiers plutôt que de travailler seulement une façade entre deux mitoyens.|1|0
28|Il m’apparaissait que l’essentiel dans la ville, dans la perception de l’architecture et des lieux, ne passe pas par le langage.|0|0
314|Masséna est donc une « expérimentation » sérieuse, qui tente de trouver une réponse au programme, au contexte, à notre époque, à partir de notre héritage historique contradictoires : la rue d’une part, l’immeuble autonome « moderne » de l’autre.|1|1
295|L’enjeu est d’abord de réussir à créer des rues, des îlots, une partition d’espaces privés dans un réseau viaire public, en dépit de la loi d’ensoleillement drastique qui conduit partout en Chine à des immeubles éloignés les uns des autres, suivant les préceptes de la Charte d’Athènes.|1|1
121|Éclairant mieux les rues, on peut donc les tracer plus étroites.|1|1
27|Son application à l’architecture, parfois brillante, me paraissait pourtant abusive : là encore, la dimension centrale de l’espace échappait au discours.|0|0
270|Cette trame viaire est l’élément générateur du projet, elle permet d’introduire la dimension du temps : en elle, le temps s’est déjà inscrit, déposé.|0|0
367|Par principe, dans ce rôle, je n’interviens pas sur le « style » architectural, mais sur des matériaux, des couleurs, les rapports des grilles, des murets, des entrées de parking.|0|1
316|La rue a toujours permis de régler le rapport des individus et des bâtiments spécifiques à la collectivité dans une forme une et continue.|0|0
60|Mais elles refusaient l’histoire, la géographie, l’existant, cette accumulation d’objets supposait des sites vierges.|0|0
92|Dans le domaine de l’urbanisme, le retour du contingent dans l’époque moderne, qui était synonyme de son élimination, devient grandiose.|0|1
293|Voilà pourquoi je suis pour un nouvel îlot, pour la rue, pour une ville ouverte au jeu du temps.|1|1
365|Avec le recul, je pense qu’il aurait fallu être plus directif sur un certain nombre de données concernant les rez-de-chaussée.|0|0
135|Mais la grande nouveauté d’Atlanpole réside dans le fonctionnement des îlots.|0|1
178|Pendant deux ans, j’irais au Japon tous les deux mois : conférences, réunions de chantier, expositions, débats...|0|0
390|Politiquement, économiquement, dans l’imaginaire, le futur est limité au temps du retour sur investissement.|0|0
282|Le processus est toujours le même : pour une opération sur un territoire donné, on met au point un type d’immeuble – barre ou tour – très bien conçu à l’intérieur, puis on le répète, toujours tourné vers le soleil, avec une voirie en boucle et un seul accès au site.|1|1
320|L’idée de la SEMAPA était de sortir de la logique fonctionnaliste ou commerciale qui spécialise les lieux résidentiels, les zones de bureaux ou d’activités.|0|0
238|Sur l’île, un principe de damier permet d’alterner, avec une grande variété, bâtiments et espaces extérieurs privés ou publics, donnant à lire la profondeur de l’île par des lignes de bâti décalées.|0|1
228|Je fais en 1993, une conférence au Pavillon de l’Arsenal, Bernard Rocher, directeur de l’architecture pour la ville, et conseiller de Paris s’intéresse à mes idées.|0|0
63|Paris XIIIe, Les Hautes Formes À l’occasion d’un programme de logements pour la RIVP, première intervention vraiment « urbaine »: répartis autour d’un nouvel espace public, les immeubles forment, déjà, un îlot ouvert, traversé de vues et de lumière. (Avec Georgia Benamo, 1973-1979)|1|1
200|L’idée était que pour être moderne il faut qu’on ignore les rues.|0|0
114|L’îlot ouvert donne une expression forte de la ville comme espace public.|0|1
163|À Strasbourg, il s’agissait vraiment d’un enjeu formidable entre deux villes : réunir le Strasbourg ancien et le Neudorf, cette ville du XIXe siècle, séparés par un large couloir de 500 mètres dans lequel passent un canal et une autoroute.|1|1
43|J’ai choisi le projet, abandonnant à regret ce contrat de recherche théorique.|0|0
125|En 1988, la SEM Atlanpole organise une consultation pour un projet de technopôle sur les bords de l’Erdre, à Nantes.|1|1
10|Au même moment, les premiers écrits de Françoise Choay nous ouvraient les yeux sur le corpus doctrinal de l’urbanisme : elle faisait apparaître le débat progressisme-culturalisme dans une perspective historique.|0|0
373|J’appelle cela « l’effet nature morte »: une tabatière, une bouteille, une coupe, un journal, des choses posées sur une table...|0|0
180|« À quelles conditions Tokyo peut-elle devenir la ville du XXIe siècle ?|1|0
281|À Pékin, en ces années d’une croissance urbaine qu’aucune ville n’a jamais connue à ce rythme effréné et à cette échelle, on compte par centaines les « poches », les camps résidentiels fermés et les condominiums en chantier.|1|1
111|Nous avons connu l’éclatement physique de la ville, et ensuite l’éclatement théorique des règles urbaines.|1|1
310|Ci-contre, deux exemples de la liberté que laisse la règle du jeu de l’îlot ouvert aux architectes; immeubles conçus par Frédéric Borel (à gauche) et Beckmann N’Thepé (à droite). (1994, en cours)|0|1
213|L’Institut français d’architecture, auquel je propose de la reprendre, ne s’y intéresse pas.|0|0
113|Nous devons évidemment faire évoluer nos méthodes, nos idées des espaces urbains, sous peine de « muséographier » les centres-ville et de désespérer les périphéries.|1|0
188|On ne s’interrogeait pas sur le futur de la ville.|1|0
12|Avec Pierre Grandvaud, j’ai écrit l’article « Architecture et idéologie » de l’Encyclopedia Universalis.|0|0
165|Au lieu d’avoir peur de ce vide, je proposais de magnifier la beauté de ce face à face, de lui donner une consistance de centralité formidable, grâce à la création d’un parc et à la présence de l’eau du canal, agrandi pour l’occasion.|1|1
349|Travail avec les architectes Puis le travail pratique est poursuivi au sein d’« ateliers » travail assez fructueux de confrontation, de coordination, d’ajustement, avec les différents architectes.|0|0
389|Et c’est devenu plus difficile, car notre époque est celle du court terme.|0|0
159|L’aménagement est donc régulier, unifié par la teinte brique qui renforce la couleur et la beauté de ce site exceptionnel.|1|0
196|Or toutes les époques précédentes étaient marquées par une vision commune partagée pour faire la ville, que ce soit à l’Âge I ou à l’Âge II.|1|0
51|C’est un projet d’architecture, mais c’est aussi une intervention urbaine, puisque j’ai proposé l’acquisition d’un petit bout de terrain supplémentaire qui permettait de rendre l’îlot traversant.|1|1
312|L’imprévu peut surgir, les acteurs concernés sont nombreux, leurs intérêts contradictoires.|0|0
174|Je sépare clairement les espaces publics (rues, places) et les espaces privés (entrées, jardins).|0|1
11|À partir de 1965, j’ai participé, comme Roland Castro, Antoine Grumbach, et bien d’autres, au mouvement de contestation de l’enseignement des Beaux-Arts.|0|0
42|D’un côté, le texte, de l’autre, le visible et le physique.|0|1
15|Je me suis alors un peu éloigné de l’architecture pour peindre, lire, voyager.|0|0
93|La fin de l’époque du champ de betteraves, de la tabula rasa, marquait pour moi le signe de notre nouvelle modernité : un bouleversement complet, l’empirisme pratique d’Aristote contre la Cité Idéale de Platon.|1|0
41|Et il m’arrive cette chose curieuse : je m’aperçois que je peux travailler sur ce projet du Château d’eau ou sur la recherche, mais pas sur les deux en même temps.|1|0
133|J’installe aussi dans le site ce que nous appelions les « scarifications » : des lignes transversales qui permettaient de viabiliser et d’entretenir la campagne.|1|1
284|Ce sont d’abord la logique économique et l’efficacité opérationnelle qui engendrent ce modèle de condominium fermé.|0|0
122|On offre des vues traversant les îlots en évitant les cours intérieures génératrices de claustrophobie.|0|1
302|Par ailleurs, j’ai proposé un long parc central, rivière verte qui irrigue le site et deviendra le symbole du quartier.|1|1
267|Les nouveaux quartiers du Plateau des Capucins devront s’enchaîner avec les quartiers existants, confirmer l’ensemble.|1|1
45|[1] Corda: Comité de la recherche et du développement en architecture, créé en 1972.|0|0
311|Comme toute opération d’urbanisme, le projet Masséna se déroule dans la durée.|1|1
301|Ce tracé de rues introduit une règle pour le long terme.|1|0
360|Le hasard fait parfois bien les choses, je l’accueille, mais pas toujours.|0|0
280|Croquis à l’appui, ils se sont laissés convaincre de renoncer aux condominiums prévus pour adopter un système d’îlots ouverts maillé par de vraies rues, et des architectures variées plutôt que les traditionnelles barres et tours orientées nord-sud. (2003, en cours)|0|1
366|Il y a au contraire, à Paris-Rive-Gauche, une grande liberté donnée aux architectes, et les projets s’enchaînent bien.|0|0
209|Il est vrai qu’on voit la ville aujourd’hui insaisissable et implanifiable.|1|0
377|Ce survol de mon travail souligne bien sûr tout ce qui a trait à la ville.|0|0
34|Nous étions attirés par « l’architecture sans architectes » : néo-naturalisme de l’époque...|0|0
248|Le problème des condominiums, avant peut-être la question de la fermeture et des gardes, tient dans leur plan masse, leur absence de trames viaires, ou leur réseau intérieur des voies en impasse ou en anneaux.|0|1
137|Ici j’ai formalisé clairement une règle des îlots ouverts sur une grille « Hippodamienne » [5].|0|0
197|Cet Âge III est donc d’abord celui de la confusion et de l’éclatement.|0|0
359|Nous regardons les maquettes et les projets, nous examinons les volumes, les matériaux, évaluons les rapports de coloration et de matière.|0|0
392|Réussir un projet urbain compte bien plus que réussir une architecture, mais il faut ajouter aussitôt que cela ne peut se faire sans une certaine vivacité d’architecture.|1|0
69|Mais bien plus que par l’envie de théoriser une idée de ville, j’étais animé par l’obsession de construire, de faire réellement apparaître les choses, apprendre de la pratique.|1|1
298|À partir de ces immeubles déliés, on peut imaginer des architectures variées.|0|0
179|Ce va et vient entre architecture et urbanisme, entre sites à interpréter et sites à réinventer me plaît, m’est indispensable.|1|0
290|Leur dimension massive, en un seul bloc, leur interdit d’évoluer en souplesse.|1|0
304|Dans un même îlot, nous construisons des bâtiments très différents les uns des autres.|1|1
189|Le refus de la planification était élevé à la dignité de concept.|0|0
387|Je vois l’urbanisme comme le résultat d’une lutte entre deux énergies, deux courants : d’un côté, l’expression désordonnée, anarchique, vivante des besoins et des désirs, des pressions individuelles ; de l’autre, la nécessité de règles pour vivre ensemble, l’action publique ordonnatrice qui défend l’intérêt collectif en garantissant, mais aussi en limitant, les droits individuels.|0|1
182|En matière d’urbanisme, on voyait partout un retour à la ville classique, régressif selon moi.|1|0
240|À Deventer en Hollande, le long d’un canal, il s’agit de créer un quartier linéaire de logements, et à Grenoble, près du nouveau Palais de Justice, je résous la géométrie d’un site en trapèze par deux îlots ouverts de logements sociaux.|1|1
258|L’enjeu est de dégager des idées fortes pour cet immense site, et d’entraîner les architectes brésiliens à cette activité un peu surréaliste là-bas : l’urbanisme.|0|1
168|En 1990, je travaille sur un îlot du XIII e arrondissement que Michel Lombardini, le président de la Régie immobilière de la Ville de Paris, me demande de transformer, tout près des Hautes Formes et de la rue du Château des Rentiers, où j’avais déjà affronté deux situations urbaines très différentes.|1|1
35|Pourtant, depuis mon séjour à New York, et mon travail sur les rêves des habitants, je pensais qu’il s’agissait d’une impasse, qu’il fallait se poser la question de la perception.|0|0
212|Tous ces projets donnent lieu à une exposition à Tokyo, « Urban situations » en 1991.|0|0
351|Mais le risque est encadré par le système de l’îlot ouvert, l’ « esthétique » collective de la rue.|0|0
220|Leur implantation épouse la topographie du territoire de campagne, de ses chemins, de ses champs, pour le densifier ponctuellement en le préservant.|1|1
391|Réussir l’urbanisme d’un morceau de ville paraît l’enjeu le moins maîtrisable, l’ambition la moins naturelle qui soit.|0|0
100|[4] Port de la Lune: appel d’idées lancé par la ville de Bordeaux sous le mandat de Jacques Chaban-Delmas pour l’aménagement des quais de la Garonne|0|1
321|Imaginer un quartier diversifié fut l’un des points de départ de ma réflexion pour la règle du jeu que j’ai imaginée.|1|0
315|À Masséna, il s’agit d’une rue repensée.|1|1
75|Par exemple, j’ai construit à cette époque un foyer de personnes âgées sur une parcelle curieuse, entre deux pignons modernes non alignés, qui donne à la rue du Château des Rentiers (1982, Paris XIIIe) une nouvelle lisibilité.|1|1
71|J’ai participé alors à de nombreux concours, à Paris où ailleurs, dans lesquels j’ouvrais des îlots irréguliers, impossibles, dans les laissés pour compte de la ville classique ou de la « rénovation » planifiée.|1|1
206|On a généralement cru que je prétendais brandir, avec cette notion de l’Âge III, un modèle universel.|0|0
192|Deux âges, deux modes de pensée que tout opposait, qui avaient structuré notre monde, toutes nos villes, mais qui ne pouvaient plus organiser nos projets actuels.|1|0
218|Au lieu d’ajouter encore aux routes existantes et de couvrir ici la campagne, j’ai donc proposé des « îles bâties » sur des socles de parkings.|1|1
334|Très vite, la SEMAPA m’a demandé de réétudier le plan sur la base d’opérations de 40 à 50 logements.|1|1
269|La méthode procède par acquisition progressive, à partir de la trame viaire et parcellaire existante sur la majeure partie du plateau.|0|1
123|Chaque logement dispose de trois orientations et de nombreuses vues, proches et lointaines.|0|0
158|Le long du Canal, nous cherchons l’unité, une certaine régularité aussi.|0|0
382|Je ne fais pas de distinction nette entre ce qui serait architecture et ce qui est urbanisme.|0|0
271|Les Batignolles, Paris (2003) Ce grand territoire du nord de Paris, qui appartient à la SNCF et à R FF (Réseau ferré de France) ou à leurs filiales ou ex-filiales, représente une surface totale de 40 à 50 hectares.|0|1
124|S’il n’y a qu’un programme dans l’îlot, la liberté est grande. S’il y en a plusieurs, on fait des « fiches » d’îlots, qui proposent aux architectes des volumes-enveloppes virtuels, plus grands que les volumes constructibles, à l’intérieur desquels ils installent leurs bâtiments|1|1
307|L’idée de rendre ces rues commerciales dès que possible à été retenue...|0|1
29|Ne se laisse pas comprendre à travers les catégories du langage.|0|0
327|La démarche volumétrique permet cette densité, en donnant à chaque appartement ou bureau beaucoup de lumière et de vues : souvent, il y a trois orientations pour un logement.|0|1
345|La méthode des îlots ouverts s’est montrée très souple pour ces divers programmes.|0|0
76|En 1981 je me souviens d’un jury de quatre jours pour la Lutzow Platz à Berlin, où je me suis opposé au point de vue de l’IBA [3] et au retour de la ville classique d’îlots fermés, qui était leur dogme, défendant les rares projets qui ouvraient ce grand îlot vert et en habitaient l’intérieur avec des immeubles autonomes et des espaces publics.|1|1
251|Ces voiries en boucle sont fermées à l’évolution.|1|1
275|Notre projet vise à apporter la continuité urbaine dont le XVIIe arrondissement a ici un besoin crucial, en créant un grand parc « tentaculaire » qui va chercher la vie urbaine où elle est.|1|1
102|En 1978, lors du projet jamais rendu au concours de Cergy-Pontoise, j’avais encore un plan masse constitué d’îlots ouverts.|0|0
