dynamique_text|dynamique_type|annotation
ayant surélevé la place|modif|destr
créer un espace public|crea|crea
redescendre la place|repr|modif
la restructuration minutieuse de la dalle du parkings|repr|modif
redevient accessible|repr|repr
l’implantation de jardins|crea|crea
créant des espaces de repos et de fraîcheur ainsi qu’une « smart canopy », une pergola avec des vignes|crea|crea
aménagement d’une place|crea|modif
s’étendre|crea|crea
la structuration des espaces publics|modif|modif
créer une continuité écologique|crea|maint
l’établissement d’un « park system »|crea|repr
reliant les rives nord et sud|crea|modif
la création de canaux et de ports de plaisances|crea|crea
structurant l’île actuelle|modif|modif
son urbanisation à venir|crea|crea
a directement réalisé certaines parties (port de plaisance, canaux, place centrale</lieu>)</dyn>|crea|modif
Reconversion de la mine de charbon|repr|modif
révise la nette séparation historique entre la mine et les quartiers d’habitation avoisinants|modif|modif
en installant un « ruban de développement »|crea|modif
les différents sites protégés|maint|repr
nombreux aménagements attractifs futurs|crea|repr
sont réalisés|crea|repr
reliant le musée au parc Rückriem|crea|repr
La couverture du ring|crea|destr
Le projet « Over de Ring Zuid »|crea|repr
couvrir en tout ou partie|crea|destr
créer des connexions, espaces publics et développements futurs|crea|crea
permettre d’établir des continuités de la ville|crea|maint
la coupure infrastructurelle introduite|crea|modif
ces couvertures potentielles|crea|repr
une transformation progressive de la ville-territoire|modif|modif
le déploiement des systèmes hydrologiques et écologiques|crea|repr
nouvelles natures et espaces de partage|crea|repr
le quartier en développement|crea|modif
initier la transformation progressive du secteur|modif|modif
les grandes continuités les plus importantes à recoudre|repr|repr
Couvrir|crea|destr
créer des connexions territoriales|crea|crea
La couverture du Ring|crea|destr
crée un espace public structurant|crea|crea
la conception de l’espace public|crea|repr
créer des territoires écosystémiques|crea|crea
Co-construire des écosystèmes territoriaux|crea|repr
se constituent|crea|crea
la réalisation de projets concrets|crea|repr
une réalisation du parc départemental|crea|repr
le projet de couverture du Ring|crea|repr
urbaniser son environnement|crea|maint
en le transformant|modif|modif
réaliser le viaduc de bouclage nord du Ring|crea|crea
créer un tunnel|crea|crea
la couverture totale du Ring|crea|destr
réappropriation|repr|repr
la nouvelle colonne vertébrale du Grand Toulouse|crea|modif
reliant le centre ville à la campagne|crea|maint
l’urbanisation en cours|crea|modif
le développement de la métropole composite naissante|crea|modif
la création de vastes noues plantées|crea|crea
instituant, en cas de crue, de nouveaux bras du Rhin|crea|repr
générant immédiatement de nouveaux cheminements|crea|repr
remailler le territoire|repr|modif
la mise en place de nouvelles ruralités urbaines et périurbaines|crea|modif
avons installé 3 hectares de jardins cultivés, partagés|crea|maint
la réinvention du rapport entre l’urbain, l’agriculture et la nature|repr|repr
une mutation|modif|modif
la nouvelle ruralité|crea|repr
ne constituera bientôt plus un continuum mais une série de fragments plus ou moins isolés|modif|modif
Cette mutation|modif|modif
l’invention de la « wilderness » en version française|crea|repr
permettrait de redonner des espaces à la nature|repr|maint
transformer en forêts, en zones humides inaccessibles des dizaines de milliers de kilomètres carrés|modif|modif
l’évolution urbaine de Toulouse et de sa périphérie|modif|modif
créer des sanctuaires écologiques|crea|crea
aménager un réseau de cheminements doux|crea|maint
mettre en relation la Garonne, les canaux et la ville|crea|maint
réaménagement du site de l’écluse|repr|modif
transformation des rives du bras supérieur de Garonne|modif|modif
la transformation d’un site inondable d’anciennes sablières comblées partiellement en décharges|modif|modif
les zones urbanisées|crea|modif
doivent évoluer|modif|destr
demeurer de grands paysages ouverts|maint|maint
la création d’une grève alluviale et d’une signalétique mémorielle|crea|crea
aménagement du parc de Carrières-sous-Poissy|crea|modif
se densifier|crea|modif
en préservant le cadre de vie|maint|maint
un espace préservé|maint|maint
faire de la vallée de la Vilaine un paysage structurant|modif|repr
la création de deux voies principales|crea|crea
verra le jour une série de nouveaux espaces publics|crea|crea
l’implantation de nouvelles activités|crea|crea
l’émergence de ces activités|crea|repr
se modifie|modif|modif
développement urbain|crea|modif
transformation du territoire|modif|modif
fabriquer une vision du territoire partagée par les communes|crea|repr
le développement du littoral et de l’arrière-pays|crea|modif
évolue|modif|modif
se transforme|modif|modif
s’adapte|modif|maint
se meut|modif|destr
modifie ses contours|modif|modif
les évolutions de la ville|modif|modif
bâtiments à construire|crea|crea
prendra place|crea|repr
Créer de nouvelles natures|crea|crea
le projet du Campus Condorcet|crea|repr
la plaine alluviale fertile en bord de Seine endommagée par la pollution des sols|modif|modif
développer des typologies spécifiques|crea|crea
sont maintenus au maximum|maint|maint
sont prioritairement implantés|crea|repr
le projet des Deux-Rives|crea|repr
reliera les 80 hectares du quartier des Deux-Rives  aux forêts alluviales|crea|modif
impliquant de nouvelles formes urbaines|crea|repr
le comblement|modif|destr
deviendra parc linéaire|modif|destr
l’évolutivité des rez-de-chaussée|modif|repr
soient reconvertibles|repr|repr
prolongée|crea|modif
une seconde opération|crea|repr
la zone d’aménagement Euralille 2|crea|repr
la création d’un milieu vivant : un bois habité|crea|crea
bâtiments conçus|crea|crea
réalisation et aménagement d’un quartier d’habitat|crea|modif
créer un nouveau quartier de plus de 500 logements et d’équipements, le parc Princesse|crea|crea
la ville-parc du Vésinet initiée au milieu du xixe siècle|crea|repr
futur quartier|crea|crea
Le projet urbain conçu|crea|repr
densifier le site|crea|modif
maintenant les arbres remarquables|maint|repr
sont prioritairement implantées|crea|repr
la création d’un écoquartier|crea|crea
Développé sur 16 hectares|crea|modif
sera connectée à la future gare du Grand Paris Express|crea|destr
est projeté|crea|repr
l’aménagement des espaces publics et des lots bâtis|crea|modif
l’installation d’une agriculture urbaine|crea|crea
Le projet urbain des Deux-Rives|crea|repr
reconquête des espaces du port|repr|repr
le prolongement de la ligne D du tramway|crea|crea
orientent l’urbanisation|crea|modif
installer un maillage végétal continu|crea|maint
concevoir une ville hybride|crea|repr
l’émergence d’un nouveau type d’espace public|crea|repr
Fabriquer des espaces publics bio-climatiques|crea|repr
créons des continuités hydriques|crea|crea
créer ou développer des zones de nature non anthropisée|crea|crea
nos aménagements de parcs, de places et d’espaces publics|crea|maint
vivant réintroduit|repr|repr
projets de construction|crea|crea
de nouveaux espaces productifs|crea|crea
créer des espaces de nature à vivre|crea|maint
la restauration du sol comme espace continu et perméable|repr|repr
l’implantation d’un nouveau bosquet de respiration|crea|crea
en produisant de nouveaux types d’espaces publics|crea|repr
avons mis en place|crea|maint
des jardins temporairement inondables, installés|crea|repr
L’extension nord du périmètre d’Euroméditerranée|crea|modif
créer de multiples puits de fraîcheurs|crea|crea
Le projet d’écoquartier fluvial|crea|repr
construire|crea|crea
sont ainsi devenus une réserve écologique|modif|destr
installe en bords de Seine un poumon vert inondable|crea|repr
Déployer dans la ville des espaces de ressources naturelles|crea|crea
doit relier le canal Saint-Denis au corridor biologique du faisceau ferré nord sur une vingtaine d’hectares|crea|modif
avons rendu inaccessible et réservé aux seules fins de la nature un tiers de l’épaisseur du linéaire|maint|modif
l’implantation d’écosystèmes verticaux ou stratifiés|crea|crea
la constitution de « nodes »|crea|repr
un aménagement|crea|modif
en basculant d’un échangeur routier à une « place-parc »|modif|modif
tentons de l’introduire|crea|destr
le nouveau quartier des docks|crea|modif
la transformation d’un territoire quasi monofonctionnel|modif|modif
zones d’expansion|crea|crea
une serre conçue par l’agence comme une extension programmatique couverte du parc|crea|repr
la création d’un parc public|crea|crea
ce nouveau quartier|crea|modif
un projet urbain d’ensemble reconvertissant les terrains Renault|repr|modif
des transformations continuelles|modif|modif
redéfinit régulièrement la configuration du jardin|repr|modif
sont constitués|crea|repr
la réalisation du parc et des espaces publics attenants|crea|repr
relier l’île de Nantes, le quartier Bas-Chantenay et le secteur Euronantes près de la gare|crea|modif
une succession de projets réalisés ou en cours|crea|repr
ont d’ores et déjà engagé la reconquête d’une partie des rives du fleuve|repr|repr
la relocalisation de l’hôpital|repr|modif
reconversion|repr|modif
Les espaces publics projetés|crea|repr
prolonger le paysage des berges|crea|maint
étendre en longueur|crea|crea
deviendra la « Place-Confluence »|modif|crea
devient une « plage sportive » et festive|modif|modif
mis en place|crea|maint
plusieurs fois remaniée|repr|modif
devenue carrefour stratégique|modif|modif
la réalisation du quartier 22@|crea|modif
inventer un écosystème urbain qui hybride ville et nature|crea|repr
offrir un espace capable de remplir dans un même lieu les fonctions d’une place et celles d’un parc|crea|modif
en déminéralisant et en fertilisant la surface actuelle imperméable et stérile|modif|repr
mettre en place une canopée végétale|crea|crea
la transformation du carrefour routier de Glòries|modif|modif
transformer des quartiers|modif|modif
la création d’espaces publics multifonctionnels|crea|crea
se met en place|crea|repr
toute construction|crea|crea
transformation|modif|modif
transformer les territoires|modif|modif
