dynamique_text|dynamique_type|annotation
noyaux urbains nouveaux|crea|repr
grouper des programmes de logements importants|crea|repr
implanter des hôpitaux généraux ou spécialisés, des facultés ou collèges universitaires, des lycées et écoles, etc. en un mot des services publics indispensables à la vie de cette population</lieu></dyn>|crea|crea
pourront-elles y être implantées|crea|repr
s’y développent|crea|modif
la réussite de ces nouveaux centres urbains|crea|modif
la masse de réalisations|crea|repr
la création de plusieurs de ces noyaux|crea|crea
puissent y trouver place les programmes de logements (à densité assez forte), les services publics prévus et ceux qui peuvent être envisagés, et les installations privées|crea|destr
doivent être non seulement disponibles mais aménagés|crea|destr
créer une véritable ville nouvelle|crea|crea
puissent être aménagées|crea|maint
nouvelles villes anglaises|crea|repr
Villes nouvelles|crea|crea
Extension importante de villes existantes|crea|modif
VILLES CRÉÉES|crea|crea
pourra, le cas échéant, être créé|crea|crea
se sont créés ainsi le long des voies ferrées près des gares, des agglomérations telles que GOUSSAINVILLE, SEVRAN, SAVIGNY-SUR-ORGE, etc|crea|crea
leur création|crea|crea
construire des cités de 20 ou 30.000 habitants|crea|crea
leur apporter des activités indispensables|crea|maint
de telles réalisations|crea|repr
constitueraient ainsi de véritables prolongements tentaculaires|crea|destr
la création de villes satellites échelonnées|crea|crea
l'extension importante de villes existantes|crea|modif
la création de cités nouvelles importantes|crea|crea
la réorganisation de la banlieue|repr|repr
noyaux urbains nouveaux à créer|crea|crea
CRÉATION DE VILLES SATELLITES|crea|crea
Implantations|crea|destr
EXTENSION DES VILLES EXISTANTES|crea|maint
extensions|crea|crea
CITÉS NOUVELLES|crea|crea
RÉORGANISATION DE LA BANLIEUE|repr|repr
EXTENSION IMPORTANTE DE VILLES EXISTANTES|crea|modif
croître|crea|crea
l’amorce|crea|repr
cherchons à créer|crea|crea
ne pourrait pas être adapté aux nouveaux besoins|modif|destr
faudrait en créer un autre|crea|crea
la ville nouvelle|crea|modif
seraient à créer|crea|crea
la création d’une ville entièrement nouvelle|crea|crea
une extension modérée|crea|modif
ne crée pas une ville|crea|destr
créer une ville|crea|crea
la construire|crea|crea
la doter des équipements voulus|crea|crea
une création relativement limitée|crea|crea
placer|crea|maint
pourrait y créer par exemple une Faculté|crea|crea
créer de véritables villes universitaires|crea|crea
construire les logements|crea|crea
créer les services publics|crea|crea
ces villes nouvelles|crea|repr
une telle création|crea|crea
nouveaux noyaux urbains|crea|repr
nouveaux quartiers|crea|modif
pourront s’y créer et s’y développer|crea|repr
le nouveau noyau urbain|crea|modif
s’y développeront|crea|modif
correctement construits et équipés|crea|maint
accueillir certains établissements de caractère un peu exceptionnel|crea|repr
de grands axes actuels ou projetés|crea|modif
les réaliser|crea|repr
Les grandes opérations routières ou de transports ferrés|crea|destr
réorganiser et de restructurer la banlieue|repr|modif
non de l’étendre|crea|destr
nouveaux noyaux urbains principaux et secondaires|crea|modif
pouvoir être réalisés successivement dans le temps|crea|repr
pourront s’y placer|crea|destr
viendront facilement s’installer|crea|maint
peut par contre les prévoir, les étudier, les préparer|crea|destr
une restructuration de l’agglomération|repr|modif
son prolongement éventuel|crea|repr
l’opération dite « de la DÉFENSE »|crea|destr
multiples propositions, concours, projets|crea|repr
prolonger vers l’Ouest le grand axe de PARIS : Louvre, Concorde, Étoile|crea|modif
une réalisation|crea|repr
un premier prolongement|crea|repr
son développement|crea|modif
un étalement très importants|crea|modif
la construction du Centre National des Industries et des Techniques|crea|crea
projettent leurs buildings|crea|repr
construire un Palais des Congrès, un Théâtre populaire, un grand hôtel, un nouveau «Vélodrome d’Hiver»</lieu></dyn>|crea|crea
le commencement des travaux de construction du prolongement du métropolitain|crea|crea
amorçant ainsi la réalisation d’une transversale rapide Est-Ouest de PARIS|crea|modif
le prolongement éventuel de l’opération « DÉFENSE »|crea|destr
recevoir un nouveau noyau urbain important|crea|crea
la réalisation d’un ensemble particulièrement intéressant|crea|repr
la construction d’un noyau important avec des activités secondaires et tertiaires en nombre suffisant|crea|crea
la construction d’une ville universitaire ou d’une cité administrative|crea|crea
la construction d’une ville-parc spécialement aménagée pour les sports et les loisirs|crea|crea
aménager|crea|modif
rapprocher|crea|modif
devant être améliorée|modif|repr
grignotée sans cesse par des lotissements ou des exploitations de carrières|destr|destr
le développement s’est poursuivi de façon anarchique|crea|modif
créer un vaste parc départemental|crea|crea
son développement envisagé|crea|repr
un projet d’extension et de développement de cet aéroport|crea|crea
pouvait être aménagé|crea|modif
la localisation dans cette région d’un nouveau centre urbain relativement important|crea|crea
le futur Parc de La Courneuve|crea|crea
un élément restructurateur de tout l’ensemble indiqué précédemment|repr|repr
Les nouveaux ensembles d’habitations de SARCELLES, de SAINT-DENIS, de GARGES-LES-GONESSE Dame-Blanche, de LA COURNEUVE|crea|modif
formeraient une couronne|crea|repr
les trois noyaux de restructuration|repr|repr
la poussée vers l’Ouest de l’agglomération parisienne|crea|modif
prévoir dans cette région de la banlieue, elle aussi très peuplée, au moins un centre restructurateur|repr|repr
l’opération décidée du grand ensemble de CRÉTEIL|crea|destr
la sauvegarde|maint|maint
la création d’un nouveau noyau|crea|crea
un prolongement tentaculaire de l’agglomération|crea|modif
Une première étape dans la restructuration de la banlieue est amorcée|repr|repr
les constructions nouvelles|crea|crea
certains ensembles réalisés|crea|destr
être implantés|crea|destr
leur réalisation|crea|repr
une restructuration et une régénération de la banlieue|repr|repr
l’effort de rénovation entrepris|repr|repr
la réalisation|crea|repr
une possibilité de construction de quelque 85.000 logements et 200 hectares de zones d’activités|crea|crea
« colmater » les derniers vides de l’agglomération|crea|maint
reconquête des anciens quartiers ou centres urbains vétustes ou insalubres de PARIS ou des communes de banlieue|repr|repr
la création de centres urbains principaux|crea|crea
une réorganisation à grande échelle de la Région Parisienne|repr|modif
demeurer une zone de détente et de loisirs|maint|maint
la rénovation et la restructuration de la banlieue|repr|modif
Les opérations de rénovation et de reconquête de PARIS|repr|repr
des rénovations internes|repr|modif
la construction dans PARIS même de grands édifices publics|crea|crea
le développement de la Région de la Défense|crea|modif
doit donc demeurer|maint|destr
seront implantées simultanément|crea|repr
Un développement plus modeste peut être envisagé pour d’autres villes, comme CHANTILLY, FONTAINEBLEAU, RAMBOUILLET, SENLIS|crea|modif
peuvent constituer une couronne de villes résidentielles et de tourisme, voire universitaires|crea|repr
tous prolongements tentaculaires de la banlieue parisienne|crea|destr
devraient suivre un développement normal|crea|repr
la localisation d’un certain nombre d’activités provenant du centre de l’agglomération parisienne|crea|modif
l’aménagement de la zone rurale de la Région Parisienne|crea|modif
une réorganisation et à une restructuration de la banlieue|repr|repr
sera maintenue|maint|maint
pourront recevoir un accroissement modéré|crea|maint
Les développements importants d’agglomérations|crea|modif
"leurs localisations souhaitables sont des éléments essentiels qu’un plan d’aménagement et d’organisation générale de cette Région doit déterminer.
Ces deux aspects sont évoqués ci-après :
LES BESOINS
Ils doivent tenir compte :
    • d’une part, des besoins actuels qui découlent d’un certain nombre de facteurs tenant à l’insuffisance quantitative et qualitative de l’habitat existant, au renouvellement du patrimoine immobilier"|crea|repr
la rénovation des logements vétustes, insalubres ou surpeuplés|repr|modif
Le remplacement de ces logements|repr|modif
des opérations de cette nature|repr|modif
remplaçant obligatoirement 6.000 logements insalubres à détruire|repr|destr
la cadence actuelle de destruction|destr|destr
pourrait être réalisé|crea|maint
le remplacement|repr|modif
un étalement|crea|crea
les 427.000 logements neufs réalisés|crea|destr
devraient être renouvelés|repr|repr
le renouvellement exceptionnel du patrimoine immobilier insalubre ou vétuste|repr|repr
démolitions|destr|destr
« reconquête »|repr|repr
les îlots à rénover|repr|modif
Remplacement des logements insalubres|repr|modif
Renouvellement exceptionnel du patrimoine immobilier|repr|repr
Renouvellement normal du patrimoine immobilier|repr|maint
devraient être construits|crea|crea
l’effort considérable de construction|crea|crea
69.000 logements terminés|crea|destr
un volume de construction de 60.000 logements par an à soutenir|crea|crea
la rénovation de l’habitat parisien|repr|modif
pratiquer des rénovations|repr|modif
seront accrus les programmes de rénovation publique|repr|modif
pourront être localisés|crea|repr
des grandes opérations|crea|modif
villes nouvelles|crea|crea
peuvent s’implanter|crea|repr
l’équipement|crea|crea
des opérations publiques ou privées de rénovation d’îlots ou de quartiers vétustes, insalubres ou mal occupés|repr|modif
Ces programmes de construction|crea|crea
l’élément moteur de la rénovation de certains quartiers de PARIS et de banlieue|repr|modif
peuvent s’intégrer|crea|repr
sa modernisation|modif|modif
son renouvellement|repr|repr
sa restructuration|repr|repr
sa densification|crea|modif
seuls secteurs anciens, insalubres ou vétustes à rénover|repr|modif
pourront recevoir, suivant les lieux, 60 à 100 logements à l’hectare|crea|modif
des possibilités de construction pour 200.000 logements|crea|crea
une densification|crea|modif
Les chantiers importants de construction|crea|crea
les nouveaux noyaux urbains, principaux ou secondaires|crea|modif
transformation de la Région Parisienne|modif|modif
tous les terrains qui sont ainsi susceptibles d’être urbanisés|crea|crea
les zones à urbaniser|crea|repr
opérations d’urbanisme et de construction|crea|crea
la construction|crea|crea
des implantations|crea|destr
des secteurs spécialement aménagés|crea|maint
peuvent être réalisées|crea|repr
peuvent être réaménagés|repr|modif
création de plans d’eau artificiels|crea|crea
les concentrations réalisées|crea|modif
des zones réservées et aménagées|crea|repr
Cette rénovation|repr|modif
implantations d’activités secondaires|crea|repr
les transformations de cette Région|modif|modif
toute création nouvelle|crea|crea
toute extension importante|crea|crea
l’expansion|crea|crea
secteurs à rénover|repr|modif
extension|crea|crea
création|crea|crea
une des zones d’activités existantes ou projetées|crea|repr
ont été réservés|maint|maint
serait ainsi réservé|maint|maint
L’aménagement de ces zones|crea|modif
désirait s’installer|crea|maint
l’implantation des éléments tertiaires appelés à y demeurer|crea|crea
la restructuration et à la revitalisation de la banlieue et des cités satellites de la Région|repr|repr
Les nouveaux noyaux urbains proposés|crea|repr
élargissements des chaussées|modif|crea
Un réseau ferré prévu|crea|crea
un métropolitain conçu|crea|crea
ne se sont que partiellement adaptés|modif|crea
modifications importantes sont nécessaires dans la structure du réseau des transports en commun|modif|modif
la création de nouveaux noyaux urbains, principaux ou secondaires, entre progressivement en application|crea|crea
cette restructuration |repr|repr
soit repensé|repr|repr
La création d’un réseau « express régional »|crea|crea
l’incorporation d’une ligne de banlieue de la S.N.C.F.|crea|destr
une réorganisation du réseau des transports de surface|repr|modif
l’amorce d’un boulevard périphérique|crea|modif
la création importante de voies nouvelles|crea|crea
l’autoroute de l’Ouest mise en service|crea|destr
sont progressivement transformés|modif|modif
prévoir|crea|repr
voies nouvelles de circulation|crea|crea
voies nouvelles|crea|repr
ces voies nouvelles|crea|modif
devront être conçues et aménagées|crea|maint
leurs abords correctement aménagés et plantés|modif|maint
élargissements|modif|crea
chaque nouveau noyau urbain important|crea|repr
la création simultanée d’une ou de plusieurs artères principales de liaison|crea|crea
une extension des emprises au sol|crea|crea
en voie d’extension|crea|crea
le développement de l’habitation|crea|modif
des implantations au sol|crea|repr
de longues études|crea|maint
un développement important de l’aérodrome du BOURGET|crea|modif
Ce développement|crea|modif
empêcher tout développement urbain de ce secteur|crea|maint
a étudié la localisation éventuelle d’un aérodrome Nord de Paris|crea|repr
développement de la construction est, soit interdit, soit réglementé|crea|modif
sont installés des aéro-clubs d’aviation légère et sportive|crea|crea
doivent être situés|crea|destr
centres d’activité, actuels ou futurs|crea|repr
chaque noyau principal à réaliser|crea|repr
peuvent recevoir indépendamment des entrepôts et magasins généraux, des industries de transformation|crea|modif
Leur maintien|maint|maint
faut les maintenir|maint|maint
les rives déjà trop bâties|crea|destr
le doublement de l’avenue de Versailles|modif|modif
sa couverture|crea|repr
la création d’une traversée Nord-Sud|crea|crea
la couverture du canal de l’Ourcq|crea|repr
l’évolution future de la Région Parisienne|modif|modif
L’implantation des groupes scolaires nouveaux|crea|crea
l’équipement à réaliser|crea|crea
la continuation des travaux en cours pour une nouvelle Faculté des Sciences|crea|repr
la restructuration et la réorganisation de la banlieue parisienne|repr|modif
les Facultés et Collèges scientifiques nouveaux|crea|repr
pourraient trouver leur place|crea|repr
ces agglomérations nouvelles|crea|destr
la voie des réalisations|crea|repr
les établissements d’enseignement nouveaux|crea|crea
devront être localisés|crea|destr
 l’essor des nouveaux noyaux urbains|crea|crea
doivent être créés|crea|crea
en équipant la banlieue de l’agglomération parisienne|crea|modif
la création des nouveaux centres urbains|crea|crea
la modernisation des grands hôpitaux parisiens|modif|modif
la transformation|modif|modif
a été constitué|crea|maint
ont été implantés|crea|repr
ont été construites|crea|crea
La construction de trois autres centrales est en cours ou projetée|crea|crea
installer de nouvelles centrales thermiques|crea|destr
La suppression de certaines usines à gaz anciennes|destr|destr
sont installés les principaux marchés de la grande agglomération parisienne|crea|modif
Les Halles Centrales construites|crea|crea
la modernisation des abattoirs|modif|modif
pourraient être implantés|crea|repr
pourra alors être réaménagé|repr|modif
la création d’un parc de plusieurs centaines d’hectares|crea|crea
concevoir|crea|repr
les installations industrielles nouvelles|crea|crea
la construction de barrages|crea|crea
étudié depuis de longues années|crea|repr
sont actuellement exécutés|crea|repr
la création de nouveaux cimetières|crea|crea
Ces nouveaux cimetières|crea|destr
en cours de réalisation|crea|repr
en projet|crea|repr
constituer quelques cimetières régionaux ou de district|crea|repr
ont été implantés progressivement|crea|destr
ont été installées|crea|destr
des transformations importantes|modif|modif
"la réalisation de nombreux bâtiments administratifs, culturels ou sociaux, d’écoles, de crèches, de dispensaires</lieu>, de <lieu type=""obj""><res>foyers de jeunes travailleurs</res></lieu></dyn>"|crea|crea
la création d’un réseau express régional|crea|crea
le développement tentaculaire et désordonné des agglomérations et notamment de l'agglomération parisienne|crea|modif
pouvant ou devant faire l’objet d’aménagement d’ensemble de caractère régional|crea|repr
3 noyaux principaux de restructuration|repr|modif
peuvent faire l’objet d’opérations de grands ensembles d’habitations , avec services publics et espaces verts|crea|modif
des possibilités de construction pour 200.000 logements environ|crea|crea
devant faire l’objet de rénovation|repr|modif
les zones d’activités industrielles projetées|crea|crea
Les zones nouvelles prévues|crea|crea
les espaces verts à protéger|maint|maint
les parcs de sports, bassins nautiques à réaliser|crea|crea
les nouvelles constructions|crea|crea
les sites importants à protéger|maint|maint
LA CRÉATION DE 30 PARCS PUBLICS intercommunaux|crea|crea
pourra être aménagée|modif|modif
un futur stade de 100.000 places|crea|crea
la sauvegarde du Bois de Vincennes|maint|maint
la conception|crea|crea
un futur parc olympique|crea|crea
 son prolongement|crea|repr
noyaux prévus|crea|crea
la restructuration de la banlieue|repr|repr
devront faire l’objet d’aménagement |modif|modif
possibilités concrètes de réalisation|crea|destr
l’aménagement d’une voie de liaison Nord-Sud, de la rocade des Fermiers Généraux et de certaines radiales|crea|modif
L’ouverture de 1.140 km de voies nouvelles|crea|crea
L’élargissement et l’aménagement de 2.500 km de routes nationales|modif|crea
l’aménagement de 200 carrefours à niveaux différents|crea|modif
la création de nombreux parcs de stationnement|crea|crea
les voies conçues|crea|crea
des carrefours aménagés|crea|maint
La réorganisation de ce réseau pouvant se faire progressivement|repr|repr
transformations progressives du réseau ferré|modif|modif
la construction de tronçons de lignes nouvelles|crea|crea
L’implantation de 4 nouvelles facultés|crea|crea
extension de l’Université|crea|crea
la poursuite des travaux en cours|crea|maint
son extension|crea|destr
21 hôpitaux nouveaux à créer|crea|crea
6 extensions importantes|crea|destr
la création de 5 hôpitaux nouveaux|crea|crea
l’extension de 2 établissements existants|crea|modif
les agrandissements prévus pour l’aéroport d’Orly|crea|destr
la construction sera soit interdite, soit réglementée|crea|destr
premières études de l’aéroport de Paris|crea|repr
la future localisation de cet aéroport|crea|destr
grands secteurs d’aménagement|crea|maint
la création de ports nouveaux|crea|crea
pourraient opportunément être supprimés|destr|destr
L’aménagement de la Haute-Seine et de la Basse-Seine|crea|modif
projets de barrages|crea|destr
le maintien ou la suppression de ces aéroports|maint|destr
Les centrales thermiques et les couloirs de lignes à très hautes tension, existants ou projetés|crea|modif
des améliorations et des extensions éventuelles des autres centrales existantes|crea|crea
la création de nouveaux couloirs de lignes de transport d’énergie électrique|crea|crea
la disparition de certaines usines à gaz|destr|destr
l’implantation d’un grand marché-gare|crea|crea
recevoir notamment le marché des fruits et légumes des Halles|crea|repr
devait être implanté|crea|repr
pourrait être localisé|crea|repr
sont prévues|crea|repr
création de 5 cimetières régionaux et de 20 cimetières intercommunaux|crea|crea
la prévision d’un établissement pénitentiaire|crea|destr
l’aménagement de réserves|crea|maint
l’extension du système de l’épuration|crea|destr
le maintien des champs d’épandages|maint|maint
zones d’activités industrielles projetées|crea|crea
les constructions industrielles|crea|crea
devront réserver un minimum de 10 m2 d’espaces verts publics par habitant|crea|maint
Les secteurs susceptibles d’être urbanisés|crea|crea
les secteurs à rénover|repr|modif
les zones pouvant ou devant faire l’objet d’un aménagement d’ensemble de caractère régional|crea|modif
relogement des activités|repr|repr
implantations industrielles nouvelles|crea|crea
doivent être aménagées|crea|maint
espaces boisés à conserver|maint|maint
interdiction de défricher ou de déboiser|destr|destr
la protection des sites et monuments historiques|maint|maint
la protection des sources, cours d’eau et voies navigables|maint|maint
les logements nouveaux|crea|crea
habitations édifiées|crea|crea
créant le district de la Région de Paris|crea|crea
croissance particulièrement rapide qu’a connu l’agglomération parisienne|crea|modif
la réalisation des équipements indispensables|crea|crea
la réalisation d’un réseau de transports régional|crea|crea
la création d’un nouvel aérodrome Nord de PARIS|crea|crea
amélioration du réseau routier existant|modif|modif
création de voies nouvelles|crea|crea
la mise en place des grands noyaux urbains, principaux ou secondaires|crea|modif
des zones à urbaniser|crea|crea
des opérations importantes de rénovation|repr|modif
le développement et le rayonnement des grandes villes|crea|modif
en évitant toute extension inutile|crea|maint
seront des créations|crea|crea
Cette réorganisation|repr|modif
L'installation de lieux de travail (secondaire et tertiaire)|crea|crea
l’équipement en services publics d’intérêt général|crea|repr
construction de logements|crea|crea
ces logements nouveaux|crea|crea
le remplacement des taudis et des îlots vétustes|repr|modif
le renouvellement normal du patrimoine immobilier|repr|maint
les équipements nouveaux|crea|crea
l’amorce d’une transformation progressive du caractère de la vie de certains secteurs de banlieue ou de certaines villes à 50-70 km de PARIS|modif|modif
une restructuration et d’une organisation de l’agglomération et de la Région|repr|repr
la création de nouveaux noyaux ou centres urbains|crea|crea
la réalisation rapide d’un métro régional express|crea|crea
l’aménagement de grandes voies routières de dégagement|crea|modif
des extensions périphériques faciles et incohérentes de l’agglomération|crea|modif
seront à localiser|crea|repr
faut, de plus, sauvegarder toutes les pénétrations de zones vertes et de campagne|maint|maint
en créer de nouvelles|crea|crea
dessiner sur le sol PARIS et sa Région de demain|crea|repr
des œuvres nouvelles|crea|repr
ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio</lieu></dyn>|crea|repr
l’aménagement du quartier Maine-Montparnasse|modif|modif
la prolifération des « lotissements »|crea|modif
l’extension tentaculaire limitée volontairement par les «périmètres d’agglomération», approuvés en 1939, a été effectivement arrêtée|crea|modif
des modifications sensibles de l’aspect et du mode de vie de ces banlieues|modif|modif
l’extension d’industries (RENAULT à FLINS, SIMCA à POISSY)|crea|crea
villes en développement|crea|repr
l’expansion industrielle des activités|crea|crea
implantations récentes d’importants groupes d’habitations|crea|crea
un regroupement et une densification de la partie périphérique de l’agglomération|crea|modif
la reconstruction des habitations et des industries complètement détruites|repr|destr
le développement des villes satellites (new-towns)|crea|modif
la construction du logement et les équipements collectifs|crea|crea
toute création ou extension|crea|crea
des bâtiments à construire|crea|crea
créations ou extensions d’installations industrielles|crea|crea
la construction dans la Région Parisienne d’immeubles privés à usage principal de bureaux commerciaux ou professionnels|crea|modif
limiter l’extension des locaux à usage de bureaux et à usage industriel|crea|modif
la construction de tels locaux|crea|crea
leur suppression|destr|destr
démolition|destr|destr
transformation en locaux d’habitation ou en locaux scolaires|modif|modif
destruction aussi de bâtiments industriels vétustes|destr|destr
doivent être spécialement défendus|maint|repr
une remise en ordre théorique des activités mal placées|repr|repr
des possibilités de relogement d’usines ou d’ateliers|repr|repr
seront donc appelées à se transformer ou à se déplacer|modif|destr
se réinstaller|repr|repr
moderniser leurs installations|modif|modif
seront autorisées à se reconstituer|repr|repr
regroupement et à la réinstallation d’activités|repr|repr
pourront être adaptées suivant l’évolution générale du problème des activités dans les prochaines années et étendues|modif|destr
remise en ordre progressive des activités du secteur secondaire|repr|repr
une opération de rénovation parisienne|repr|modif
remplacement de bâtiments vétustes|repr|modif
la transformation de locaux d’habitation|modif|modif
le maintien de certains services au grand complet|maint|maint
la restructuration et la revitalisation de la banlieue et les cités satellites de la région|repr|repr
la réorganisation de l’agglomération parisienne|repr|modif
la démolition de locaux industriels ou de bureaux|destr|destr
la réinstallation des établissements visés|repr|destr
la restructuration de la banlieue parisienne|repr|repr
doivent enfin revitaliser certaines « communes-dortoirs »|repr|repr
réorganisations|repr|modif
une décentralisation ou du maintien|maint|maint
des quartiers vétustes ou insalubres qui sont à rénover|repr|modif
en accentuant de plus en plus l’action de rénovation des quartiers insalubres et vétustes|repr|modif
renouvellement du patrimoine immobilier|repr|repr
RESTRUCTURER ET ORGANISER LA BANLIEUE|repr|repr
une action de rénovation et de reconquête|repr|repr
amorceront une restructuration et un meilleur équipement de l’agglomération parisienne|repr|repr
la rénovation de quartiers vétustes ou insalubres de PARIS et de sa banlieue|repr|modif
rénovation des quartiers insalubres et vétustes|repr|modif
la suppression d’une centrale existante (ISSY-LES-MOULINEAUX)|destr|destr
