dynamique_text|dynamique_type|annotation
un territoire aménagé|crea|maint
produire un nouvel espace collectif|crea|crea
des territoires arrachés à la mer|modif|destr
la plaine asséchée de la Vénétie|modif|destr
les habitats à protéger ou à relocaliser|maint|repr
dessinera de nouvelles géographies|crea|repr
ne subissent pas de déformations excessives|modif|repr
leur donner des dimensions généreuses|crea|destr
transformations survenues|modif|modif
le processus de sélection et d’adaptation|modif|repr
un projet étendu de requalification des territoires de la dispersion et de la diffusion|repr|modif
Les interventions en cours et envisagées sur le réseau routier|modif|modif
transforment la relation osmotique entre bâti et réseau|modif|modif
réaliser de nouvelles lignes de tramways|crea|crea
400 kilomètres de lignes nouvelles|crea|crea
la modernisation et du cadencement du réseau ferroviaire|modif|modif
un projet de requalification de l’ensemble du territoire|repr|repr
produire de nouveaux paysages de l’habitat|crea|crea
est, comme toute autre forme urbaine, en train de changer|modif|modif
substitution d’activités textiles par d’autres|modif|modif
démolition|destr|destr
substitution|modif|repr
éventuelle nouvelle construction|crea|crea
sont démolis|destr|destr
sont remplacés|modif|repr
implantés|crea|destr
cette forme d’urbanisation|crea|modif
le recyclage de la ville diffuse|repr|repr
entrepôts à réhabiliter|repr|repr
carrières abandonnées à renaturaliser|repr|repr
centres commerciaux vieillis et surfaces asphaltées à réenvisager|repr|modif
Un projet 100 % recycling|repr|repr
pourrait être renouvelée|repr|repr
Une grande occasion de recyclages légers et lourds|repr|repr
le futur changement|modif|repr
les grandes opérations de déviation des rivières|modif|destr
les travaux de remise en état des terres basses et humides|repr|repr
des procédures de poldérisation|modif|destr
a produit son propre paysage|crea|repr
réinventer cet espace|repr|repr
Réemploi des gravières|repr|repr
renaturalisation des canaux de section variable|repr|repr
construction d’un nouvel espace habitable|crea|crea
reforestation|repr|crea
projet pilote de transformation de la gravière Merotto|modif|modif
Requalification du quartier des Ardoines|repr|modif
aménagement du passe à poisson|crea|repr
création d’une digue|crea|destr
création d’une digue végétalisée|crea|crea
urbanisation acceptée collectivement|crea|repr
doit être redonné à la crue|repr|destr
retrouve sa place de colonne vertébrale|repr|destr
connecter transversalement avec les différents tissus|crea|repr
redonner de l’espace, de vastes surfaces|repr|modif
une extension de l’espace urbain|crea|modif
un nouvel espace public|crea|repr
concevoir la ville|crea|crea
la modification de la ville|modif|modif
dessiner un parcours|crea|repr
nouveau cimetière|crea|destr
une ville en transformation|modif|modif
une nouvelle forme de ville|crea|repr
produisent, peut-être, de nouvelles configurations spatiales, de nouveaux habitats|crea|repr
l’aménagement de parcs|crea|maint
la construction de la ville contemporaine|crea|crea
un nouvel habitat|crea|crea
l’expérience réalisée|crea|repr
la création d’espaces|crea|crea
L’action modificatrice de l’eau|modif|modif
tout aménagement l’impliquant|crea|maint
rétablissent la dimension mythique de la ville|repr|repr
l’imperméabilisation croissante des sols|modif|modif
localisation des activités économiques|crea|repr
artificialisation des berges|modif|destr
agrandissements des ports|crea|crea
la reconstruction de l’image territoriale|repr|modif
redessine la relation de la ville avec l’eau|repr|repr
l’aménagement|crea|modif
en augmentant les digues actuelles (1,20 m) d’environ un mètre|modif|destr
la régénération de grands espaces portuaires en friche|repr|modif
réaménagement de la zone d’expansion du fleuve, actuellement en cours|repr|modif
dessine la ville|crea|destr
chaque modification|modif|modif
en transformation continue|modif|modif
sa restructuration et de son renforcement|repr|repr
densifier la ville linéaire de la vallée|crea|modif
resteraient en marge du développement|maint|maint
seraient, de fait, protégées|maint|repr
destinés à accueillir tout le reste : centres commerciaux, lotissements de « Parisiens » qui fuient le Nord et la grande métropole, plaques industrielles|crea|destr
en réutilisant les lieux déjà habités dans le passé|repr|repr
la restructuration|repr|repr
l’adaptation|modif|modif
remettre en culture des zones abandonnées|repr|repr
les travaux d’aménagement de la Durance|crea|modif
la construction du bassin de Serre-Ponçon|crea|crea
un réseau, sinon disparu|destr|repr
la formation d’un espace public territorial|crea|modif
connecter centres urbains, villages, noyaux traditionnels et contemporains|crea|repr
en réinvestissant les versants et les espaces de transition|repr|repr
la réalisation de l’Appalachian Trail|crea|repr
en conservant au moins en partie le réseau gravitaire d’irrigation|maint|maint
ne pas perdre la végétation qui y est associée|maint|maint
la restructuration des zones industrielles|repr|modif
dessine le territoire|crea|destr
la construction d’un espace public territorial|crea|crea
a été de relier des espaces séparés, ségrégués|crea|modif
Le projet mené par Studio avec Kromwijk pour ce nouveau parc|crea|repr
L’intense développement de la «tête» ouest du site (une zone de 6 ha réservée à un usage mixte, commercial et résidentiel)|crea|modif
fallait conserver sans l’augmenter|maint|maint
ne doit pas être nécessairement rempli et bâti|crea|destr
devient une zone d’infiltration des eaux pluviales|modif|crea
devient un espace multifonctionnel|modif|maint
est réutilisé|repr|repr
sont conservés|maint|maint
sont réorganisés|repr|modif
est revêtue d’une couverture soutenue par de très fines colonnes en acier|crea|repr
est alors rendu confortable|modif|maint
pourra-t-il innover les formes d’habitat, d’économie, de biodiversité, de production d’énergie renouvelable|crea|repr
requalifier les différentes formes d’habitat caractérisant la vallée et les nouvelles formes attendant d’être intégrées dans un processus de stratification|repr|modif
pouvant être repensés|repr|repr
la restructuration des aires autour des gares|repr|modif
introduire des nouveaux dispositifs pour sa rétention|crea|repr
les transformations et structurer l’espace de la vallée|modif|modif
les dispositifs de rehaussement et de requalification des quais|repr|modif
fasse passer la hauteur des quais de 7,25 m au-dessus du niveau de la mer à 9,25 m|modif|modif
la transformation des quais et la façade fluviale de la ville|modif|modif
la qualification de ces berges|modif|repr
permettent de conserver des parties de quais en pavé|maint|maint
sa conception et réalisation|crea|repr
peut être recyclée|repr|repr
les métamorphoses|modif|repr
ne suit pas un parcours biologique non modifiable|modif|repr
a la capacité de se régénérer de l’intérieur|repr|repr
en se réinterprétant elle-même|repr|repr
des processus d’autodestruction de la diversité fonctionnelle|destr|destr
Recycler|repr|repr
ne veut donc pas simplement dire réutiliser|repr|crea
recyclage|repr|modif
Les vastes programmes de renouvellement urbain|repr|modif
en se faisant et se défaisant|crea|destr
sont des « ressources renouvelables »|repr|repr
Ce qui reste|maint|destr
produit son propre espace|crea|repr
construction territoriale|crea|crea
la production de l’espace|crea|repr
la modernisation de l’espace urbain|modif|modif
recycler|repr|repr
restaurer|repr|repr
restructurer|repr|repr
la tabula rasa|destr|destr
des ressources recyclables|repr|destr
la ville comme ressource renouvelable|repr|repr
est construit d’abris, de remblais et de bassins de protection|crea|crea
la forêt plantée|crea|crea
a été transformé|modif|modif
son amélioration|modif|destr
des installations ponctuelles|crea|destr
l’agrandissement des abris|modif|crea
la restauration du théâtre|repr|repr
la construction d’une auberge, d’un lieu polyvalent|crea|crea
des aménagements inhérents à l’environnement naturel|crea|maint
en cours de réalisation|crea|repr
Le projet de l’auberge de jeunesse|crea|repr
peuvent devenir des jardins protégés|modif|repr
les transformations futures du domaine|modif|modif
la construction d’environ 5000 logements, 100000 m2 de tertiaire et tous les équipements nécessaires|crea|crea
dessiner toute une nouvelle partie de ville|crea|crea
La construction d’une nouvelle nature|crea|crea
en recyclant les sols stériles du site|repr|repr
renouveler l’image de l’espace des Zac|repr|modif
peut devenir une ressource renouvelable|repr|repr
