dynamique_text|dynamique_type|annotation
bâtiments neufs hyper-vertueux|crea|crea
une ancienne tour démolie|destr|destr
n’édifier désormais pour ses installations que des bâtiments à énergie positive|crea|maint
ne construit pas un bâtiment Bepos mais le premier bâtiment à énergie positive partagée|crea|repr
rétroagir de façon positive sur un territoire d’accueil|repr|repr
intégrer sur le quartier d’étude une solution d’approvisionnement énergétique 100 % EnR|crea|repr
le bâtiment pensé|crea|repr
proposer un artefact de forêt|crea|repr
est conçue comme une expérimentation|crea|repr
installer en toiture les compensations techniques permettant de viser la positivité énergétique attendue|crea|maint
la rénovation énergétique de copropriétés alentour|repr|modif
mutations potentielles|modif|repr
cette forme de conception|crea|repr
être capable de se transformer|modif|repr
ne plus détruire, ou a minima détruire moins|destr|destr
n’ont pas été pensés pour être réversibles|repr|repr
la transformation|modif|modif
S’adapter|modif|maint
Le projet Saussure, érigé en 2014|crea|destr
la nouvelle Zac Clichy-Batignolles|crea|modif
cette opération de 40 logements|crea|modif
la capacité de réversibilité totale des bâtiments haussmanniens|repr|repr
avons déjà fait plusieurs bâtiments|crea|repr
offre une flexibilité, une capacité d’évolutivité et de flexibilité inégalée|modif|repr
des reprogrammations incessantes|repr|repr
un immeuble totalement mutable|modif|repr
de logement à logement reconfiguré|modif|modif
de logement à bureau|modif|modif
sa capacité de transformation|modif|repr
les réalisations pionnières parisiennes|crea|repr
un renouvellement de l’identité parisienne|repr|repr
la capacité de réversibilité|repr|repr
la transformation des immeubles|modif|modif
l’évolution et de la durabilité d’une ville|modif|modif
des réalisations hyper-déterministes incapables d’évoluer|crea|destr
la finesse des éléments bâtis|crea|repr
la réversibilité|repr|repr
processus de conception|crea|repr
l’opération projetée|crea|repr
leur potentiel de développement urbain|crea|repr
concevoir la ville « sous contraintes »|crea|repr
le processus de conception|crea|repr
l’optimisation des morphologies urbaines|modif|modif
l’optimisation des morphologies et de la matérialité des espaces urbains|modif|modif
l’adaptation des territoires au réchauffement climatique|modif|modif
l’optimisation des formes urbaines|modif|modif
restauration des cours d’eau, des piémonts et des ressources hybrides|repr|repr
altérations des cycles naturels|modif|destr
résorber|modif|destr
leur restauration|repr|repr
un projet collectif et responsable de construction d’un territoire comme bien commun partagé|crea|repr
son développement futur|crea|repr
artificialisation des terres|modif|destr
imperméabilisation|modif|destr
restaurer|repr|repr
organisation spatiale des zones d’urbanisation|crea|modif
le projet de développement|crea|repr
le contre-projet pour la ville nouvelle de Neom|crea|repr
permet de penser les implantations territoriales et urbaines|crea|repr
Anfa, quartier dessiné par la géométrie de l’ombre|crea|repr
Zenata, ville dessinée par l’arborescence aéraulique|crea|repr
Montpellier, métropole organisée par la restauration des cycles écologiques naturels|repr|repr
la création de la ville nouvelle de Neom|crea|crea
le contre-projet imaginé|crea|repr
réfléchir à une ville nouvelle|crea|repr
installer ici une ville nouvelle|crea|crea
l’installation d’activités humaines|crea|crea
en préservant et en rehaussant la valeur écologique des écosystèmes naturels|maint|maint
ce qu’il peut devenir|modif|destr
se constitue la trame écologique|crea|repr
en préservant les espaces naturels|maint|maint
la croissance urbaine|crea|modif
le développement métropolitain|crea|modif
les projets de transformation de l’agglomération bordelaise|modif|modif
pas de projet de bâtiment|crea|repr
pas de projet d’îlot|crea|repr
pas de projet d’aménagement urbain ou d’espace public|crea|destr
le développement d’espaces de nature|crea|maint
une vision renouvelée de la nature métropolitaine|repr|repr
le développement de la ville|crea|modif
la restauration des cycles écologiques altérés|repr|repr
la création et le fonctionnement des espaces aménagés, anthropisés|crea|crea
leur préservation|maint|maint
la programmation globale d’une opération d’aménagement urbain|crea|modif
peut être amélioréel’évolution des pratiques professionnelles des acteurs de la fabrique de la ville|modif|crea
sa transformation|modif|modif
la transformation urbaine|modif|modif
la fabrique de la ville|crea|repr
Transformer les sols|modif|modif
végétaliser la rue|modif|crea
transformer les bâtiments|modif|modif
transformer les rues ordinaires en rues communes apaisées, écologiques, désirables|modif|modif
transformer les rues métropolitaines ordinaires|modif|modif
fabriquer la ville post-Covid, post-voiture et post-carbone|crea|crea
la transformation de la voirie|modif|modif
modifications à apporter sur l’environnement|modif|modif
la transformation de l’espace urbain|modif|modif
la transformation d’une rue|modif|modif
