|sentence|dynamic
48|On peut critiquer, aujourd’hui, ce « grand ensemble » l’échec relatif de la rue désactivée par l’arrivée du grand centre commercial, l’enfermement sur elle-même de cette forme urbaine singulière, coupée des quartiers voisins.|1
49|Coupure qui, aujourd’hui, renforce les effets de ghetto que l’homogénéité sociale a progressivement initiée.|0
50|Mais je n’ai plus jamais connu une telle intensité, une telle complémentarité de réflexions.|0
51|Quant au projet du parc de vingt hectares de la Villeneuve, il témoigne, le premier, de mon attachement à la campagne.|1
52|J’écrivais alors : « Le choc entre géométrie et géographie préside bien à la conception du parc de la Villeneuve mais dans un ordre inversé des efforts qui ont façonné la campagne.|1
53|La géométrie n’est pas, ici, la figure qui se déploie sur un fond, elle est le fond lui-même, le substrat, le site d’origine.|0
54|Sur ces terrains, rigoureusement plans, enclos par l’architecture, dans l’espace de cette sorte de clairière se tissaient déjà les lignes qui vont et viennent de l’ombre épaisse des bâtiments.|0
55|L’espace est chargé des traits de la ville et je n’ai eu qu’à les graver sur le sol.|1
56|Grenoble, parc de la Villeneuve « Pour bien exprimer que l’ordre qui préside à ces lieux est celui de la ville, les chemins et les arbres traversent l’espace en gardant leur alignement.|0
57|Ils franchissent la forme des buttes soit pour la blesser, soit pour s’y soumettre, car c’est la campagne qu’ils doivent, à leur tour, évoquer ».|0
58|Maîtrise d’ouvrage: agence d’urbanisme de la région Grenobloise Programme: parc urbain du quartier de l’Arlequin|0
59|Mais, à l’endroit du parc où s’épuisent leurs influences, au-delà des ombres portées, le sol allégé se gonfle, se soulève ; il déforme la résille par des bombements qui en intéressent chaque ligne.|0
60|C’est donc la géographie qui est ici importée, mais une géographie qui ne peut être “nature”, parce que tendue par le champ urbain ».|0
61|Le paysage naît de la tension de tous ces mondes d’évocation, et le parc exprime une volonté d’assumer le monde comme matière œuvrée par l’architecture.|1
62|En dépit de la présence de Ricardo Bofill, appelé par Paul Chemetov, Henri Ciriani garde, jusqu’au bout, l’initiative du projet.|0
63|Tout était exagéré dans ce concours, la taille de l’opération, la nature du programme qui, en plus enflé, ressemblait à celui de la Villeneuve de Grenoble et, enfin, la réponse que nous avons faite.|0
64|C’était une méga-forme urbaine enveloppant littéralement une rue gigantesque qui, me semble-t-il, pouvait contenir une forme égale à celle de l’Arc de Triomphe : « Le monumental devait requalifier l’Urbain » disait Ciriani.|1
65|En relisant, aujourd’hui, ma participation au texte du mémoire explicatif, je décèle sans peine, sous mes propos confus et mon style ampoulé, la faiblesse de mon engagement pour ce projet et l’écart que j’étais en train de faire.|0
66|Je décide, peu après, un voyage en Afrique et quitte ainsi, sans le savoir, Ciriani et l’AUA définitivement.|0
67|Suit une longue période, aussi inactive qu’intense: lecture, écriture, beaucoup d’enseignement..., une analyse...|0
68|« Réalisé dans les mêmes années, le parc d’Élancourt-Maurepas confirme le travail formel du parc de Grenoble, avec la particularité suivante: la ville nouvelle avait décidé que ce parc, construit au beau milieu des champs, devait être à l’origine de la forme urbaine du quartier à venir.|1
69|On nous a donc confié, en plus du parc, le plan d’urbanisme de cette partie de la ville nouvelle. »|0
70|En tant qu’enseignant et théoricien d’une nouvelle pensée sur l’histoire et la nature du site, il est le vrai créateur de l’école française du paysage.|0
71|Au milieu de l’année 1980, je m’associe avec Claire, devenue ma femme, qui est aussi paysagiste.|0
72|Nous gagnons le concours d’un très grand parc de deux cents hectares, au Nord-Est de Paris.|0
73|Il portait sur la création d’un parc forestier, destiné à réactualiser l’imaginaire des grandes forêts de Bondy et de Sevran, en partie disparues.|1
74|Nul n’ignorant l’extrême lenteur de croissance d’une forêt, on destinait donc à des populations futures un parc pour lequel il était prématuré d’imaginer les usages.|1
75|Il nous fallait concevoir un enchaînement d’espaces « capables », très divers en tailles, en configurations et en qualités...|1
76|une sorte de campagne bocagère et boisée qui serait équipée progressivement, à la demande.|1
77|Dans cet extrême Ouest de la grande plaine céréalière de France, la présence de parcelles cultivées de blé ou de maïs, cadrée par d’énormes infrastructures, était considérable.|0
78|Sous l’étendue céréalière, apparemment nue et plate, on pouvait cependant distinguer une topographie pleine de ressources et de puissance, qui a pris de l’amplitude et du corps dès les premiers dessins de notre projet.|0
79|Les travaux du parc ont commencé en 1982 par la plantation de 400 000 très jeunes arbres.|1
80|Après vingt ans, ils ne sont toujours pas terminés !|1
81|Ce projet a joué un rôle considérable dans l’évolution de mon point de vue sur la conception des paysages puis, plus tard, sur l’élaboration des projets urbains.|1
82|Dès les premiers instants, l’immensité du site nous priva de nos moyens ordinaires de conception.|0
83|« Nous avons décidé que cette terre, très riche, travaillée depuis si longtemps, ne serait pas bousculée.|1
84|Elle était prête pour la pousse des arbres et, sur ce paysage calme, puissant, nous nous sommes déterminés à ne pas introduire le tumulte, à ne pas déranger le sol. L’art de conduire un projet sur l’espace n’est pas tant d’y poser des objets, mais de s’en abstenir »|1
85|Maîtrise d’œuvre: Claire et Michel Corajoud, paysagistes (avec Jacques Coulon pour l’APS des deux premières tranches); Édith Girard, Pierre Gangnet, architectes; Pascal Mourgue, Patrick Hardy, designers; Tristan Pauly, ingénieur forestier; Marc Rumelhart, écologue; Claude Guinaudeau, ingénieur horticole.|0
86|Calendrier: 1980 (concours), travaux réalisés en plusieurs tranches à partir de 1983, neuf tranches actuellement réalisées.|1
87|Jusque-là, je pensais que l’on pouvait « tenir » toute l’étendue d’un projet et agir de manière définitive sur l’espace, que la réalisation restait, en tous points, conforme à son projet.|1
88|Mais nous avons compris ici que nous devions entrer, avec notre création, dans l’ensemble des dynamiques à l’œuvre sur le site.|0
89|Proposant un parc où plantes et arbres vont, à terme, donner leur forme effective aux différents espaces, nous acceptions le partage et la délégation de notre projet avec d’autres opérateurs que sont le climat, les conditions du sol, les règles d’association, de concurrence et de pousse des plantes, les gestionnaires et bien d’autres encore.|1
90|Notre rôle se limitait donc à préparer les meilleures conditions pour que le paysage génère son propre avènement.|1
91|Dans cette action partagée, le travail du paysagiste trouve sa pérennité.|0
92|« Nous nous sommes imposés un travail sur la géométrie, sur le tracé extrêmement élaboré.|0
93|Nous avons mêlé intimement les anciens chemins et les limites de champs avec les lignes que nous jugions nécessaires pour distribuer les lieux à partir d’un quadrillage initié par la Ville d’Aulnay ». (Plan page ci-contre)|0
94|Autre difficulté du projet sur le paysage : tout ce qu’il considère est fuyant, gauche, indiscipliné, circonstanciel.|1
95|La géométrie est, à cet égard, un outil intéressant par la possibilité qu’elle donne de rapporter l’indécision des formes paysagères à la règle simple de certains tracés.|0
96|On ne peut appréhender, ni représenter, la complexité morphologique d’un site dans un premier élan.|0
97|Nous devons la reconstruire patiemment en utilisant les éléments de rationalité et de mesure que nous offre la géométrie.|0
98|Au Sausset, elle était utile pour réconcilier les fragments chaotiques d’un territoire de banlieue.|1
99|La familiarité acquise en travaillant sur le milieu vivant nous incline à penser le paysage comme le lieu où tous les éléments s’entredéterminent.|0
100|Le paysage, par ses alliances nombreuses, tisse un « milieu » qui intègre, sans mélange, des localités diversifiées.|1
101|Ce n’est donc pas par idéologie que nous nous tenons éloignés de la pensée actuelle qui fait l’apologie de la juxtaposition, du chaos.|0
102|Nous sommes tenus par nos expériences à considérer l’espace du paysage ou de la ville comme un véritable « milieu » dont les éléments, existants ou rapportés, tissent une multiplicité d’échanges.|0
103|Un tel projet vise, évidemment, à l’amélioration et à la transformation des lieux.|1
104|Mais il est, avant tout, une méthode permettant d’interroger l’histoire et la géographie.|0
105|« L’organisation des plantes exige de belles connaissances pour que se développent, à terme, les différentes scènes végétales : hêtraie, chênaie, frênaie, pinède, aulnaie en lisière ou en plein bois ou encore celles du marais ou du bocage.|1
106|Connaissance de leur mode d’association, des conditions qui leur sont favorables, de leur vitesse de croissance, des règles qui déterminent leur sélection naturelle ou volontaire et enfin, de la patience nécessaire pour attendre leur maturité ».|0
107|« La topographie ne serait donc pas modifiée, seules quelques nervures ou incisions viendront en surligner la morphologie au moment où elle amorce ses grands mouvements de pente »|1
108|« Je retiens de ce projet le mode de conception en « second œuvre », que j’affectionne désormais.|0
109|Nous voulions, en effet, réintroduire ce grand axe dans le patrimoine des avenues parisiennes.|1
110|Nous avons repris à notre compte tous les matériaux, tous les savoir-faire acquis depuis longtemps par les services de la voirie.|0
111|Après eux, nous nous sommes attachés à parfaire l’ensemble des distributions, l’ensemble des usages. Nous avons revu tous les détails de sols, de plantations et porté, avec Laurent Fachard, une attention plus particulière à l’éclairage »|0
112|Maîtrise d’œuvre: Michel Corajoud, paysagiste; Pierre Gangnet, architecte; Laurent Fachard, éclairagiste; Omnium Général Ingénierie, b.e.t.|0
113|Habiter le parcellaire agricole : les murs à pêches de Montreuil|0
114|Témoins d’un système horticole très élaboré, les « murs à pêches » couvraient, au début du XXe siècle, plus de cinq cents hectares sur les communes de Montreuil et de Bagnolet.|0
115|Jusqu’à la dernière guerre, la forme urbaine de Montreuil s’est organisée selon le strict maillage formé par ces murs, dont beaucoup servent encore de limites pour les parcelles bâties, offrant ainsi aux hommes qui les habitent les qualités autrefois requises pour les pêches.|1
116|En valorisant les quelques hectares de pans de murs qui perdurent dans le quartier Saint-Antoine, la ville de Montreuil peut se constituer une mémoire à partir de laquelle, elle pourrait, à nouveau, transposer et singulariser sa forme urbaine.|1
117|Lors de notre étude de 1993, je pensais qu’un bon moyen de prolonger l’histoire de ce territoire serait de maintenir ou d’attirer, entre ces murs, des activités de type horticole ou agricole.|1
118|Elles auraient non seulement contribué à la sauvegarde des murs, mais aussi à la préservation des espaces « naturels » du quartier.|1
119|Or les conditions de production offertes en région parisienne à ce type d’activités ne sont guère favorables.|0
120|Avec Edouardo Souto De Moura, nous avons alors imaginé que des maisons individuelles, ou de petites activités artisanales, trouveraient aisément leur place dans ce parcellaire.|1
121|C’est cette dynamique que nous proposions d’instaurer dans le quartier Saint-Antoine : des configurations rurales anciennes sauvées par des configurations urbaines futures.|1
122|Mais l’étude à peine terminée, la Ministre de l’Environnement (de l’époque) décide de prendre une stricte mesure de protection pour la meilleure partie des murs, alors qu’elle n’ignore pas l’indigence des moyens de l’État pour la sauvegarde.|1
123|Le projet s’arrête là... et l’avenir des murs aussi !|1
124|L’évidence du « déjà là » : la Cité internationale de Lyon|0
125|Lorsque, en 1986, Renzo Piano est déclaré lauréat du concours d’idées pour l’aménagement de la Cité internationale, il en désigne pour concept fondateur le Rhône et l’ancien Parc de la Tête d’Or, c’est-à-dire les deux entités paysagères riveraines.|1
126|Pour lui, « L’ensemble urbain de la Cité internationale doit être immergé dans le paysage » et il décide donc d’inscrire son architecture dans la valeur patrimoniale des lieux, avec la « Nature » comme cadre.|1
127|Il choisit notre équipe pour conforter ses premières intuitions et dessiner, avec lui, les espaces publics.|1
128|Dès l’origine du projet, nous avions la certitude que tous les éléments existants sur le site – la digue plusieurs fois modifiée, les quais hauts et bas, les anciennes constructions du Palais de la Foire datant de 1926, celle du palais des Congrès de 1960, les deux lignes de platanes, le parc de la Tête d’Or lui-même – étaient issus d’une même dynamique : celle que le fleuve suscite et impose.|1
129|« En alternance régulière avec les parcelles privées, la collectivité publique devait, à son tour, restaurer et gérer un maillage d’« allées-jardins », constituées de plusieurs parcelles, avec leur cloisonnement de maçonneries.|1
130|L’ensemble de ces jardins et espaces publics aurait alors, constitué un véritable milieu ».|0
131|Maîtrise d’ouvrage: Mairie de Montreuil, Programme: études de paysage et d’urbanisme,|0
132|Maîtrise d’œuvre: Michel Corajoud, paysagiste (étude de 1993); Michel Corajoud, paysagiste, Eduardo Souto de Moura, architecte, Alphaville, économiste (étude de 1998),|0
133|Nous pensions donc que toute forme nouvelle d’aménagement, architecture comprise, devait se soumettre à cette évidence géographique qu’il nous fallait poursuivre et fortifier.|1
134|Pour élargir notre point de vue, nous avons remonté maintes fois les rives sur plusieurs kilomètres en amont pour regarder comment le fleuve, libre encore du dessin de la ville, occupe plusieurs lits sur un vaste territoire où s’entremêlent des îles, des bras vifs ou morts, des « lônes » bordées d’une végétation hygrophile.|0
135|Pour regarder comment il se resserre progressivement vers l’aval ; comment, juste avant son entrée en ville, il détermine, en sous-œuvre, les ouvrages de la digue et du parc de la Tête d’Or ; comment, enfin, il se concentre entre les perrés et les murs de quais, surlignés par le double mail de platanes qui traverse et caractérise la ville de Lyon.|0
136|Transversalement, il nous fallait aussi comprendre comment le beau Parc de la Tête d’Or fut dessiné par les frères Bühler.|1
137|À cette occasion, je montrai que la dynamique du fleuve induit une occupation de l’espace par strates longitudinales : longs bancs de gravier en bourrelets, basses rives en cordons de sable fin, diverses levées de terre formant un système laminaire engraissé par différents étages de végétation.|0
138|Les aménagements successifs de la digue elle-même et de ses diverses constructions ont, à leur tour, surligné ce milieu écologique par des ouvrages linéaires (perrés, petites digues, quais, bâtiments en forme de peigne), par un mail de platanes et, enfin, par la grille et le contre-talus du parc.|1
139|Dès lors, notre travail nous a conduits à maintenir, à recréer et renforcer ce système de strates parallèles aux berges.|1
140|De cette attention portée au contexte géographique et historique émane une sorte d’évidence : celle du « déjà là » dont parle Antoine Grumbach.|0
141|Toute forme nouvelle d’aménagement, architecture comprise, devait se soumettre à cette évidence géographique qu’il nous fallait poursuivre et fortifier.|1
142|Lyon, Cité internationale « À cette image de nature idyllique, horticole et domestiquée qu’offrait le parc de la Tête d’Or, nous avons ajouté, sur notre propre emprise, un nouveau parc qui s’adresse davantage à la naturalité du fleuve, qui met en scène le régime changeant de ses eaux et les divers paysages qu’il détermine.|1
143|Un parc plus ouvert sur ses horizons naturels ou urbains et qui recompose les berges de la rive gauche pour les rendre à la fréquentation ».|1
144|Maîtrise d’ouvrage: Communauté urbaine de Lyon Programme : aménagement des abords de la Cité internationale, à l’entrée Est de Lyon, au bord du Rhône|0
145|En 1993 le GIE « Hippodamos 93 », constitué par Yves Lion, Pierre Riboulet, Philippe Robert et moi-même, commence, pour six ans, le projet urbain des huit cents hectares de la Plaine Saint-Denis.|1
146|Son nom le dit : toute l’histoire de l’installation et de l’activité des hommes sur ce territoire est fondée sur la géographie.|0
147|La plaine commence au « Pas de la Chapelle », entre les deux buttes Chaumont et Montmartre – le seuil qui ouvre sur la grande Plaine de France – et le point précis où le méandre de Gennevilliers, en se retournant, fut à l’origine de la ville de Saint-Denis.|0
148|Ici, depuis longtemps convergent tous les grands axes de communication, et là se rencontrent la Seine et le canal Saint-Denis, son raccourci.|0
149|Cette vaste plaine bornée sur l’horizon par la douce silhouette des Buttes d’Orgemont, de Montmorency, et de la toute petite butte Pinson qui met en perspective celle d’Ecouen, plus lointaine.|0
150|Urbaniser la Plaine fut au XIXe siècle, une entreprise facile.|1
151|L’horizontalité, la disponibilité des sols n’opposèrent aucune résistance aux libres tracés des infrastructures, à la juxtaposition des emprises et des constructions.|1
152|La Seine puis, plus tard, le canal, furent des voies d’eau commodes dont on a occupé les rives sans restriction.|1
153|Les nuisances du trafic de transit s’ajoutèrent enfin à l’encombrement et au tumulte des berges.|0
154|où l’accumulation des choses est telle que tous les horizons se ferment.|0
155|La géographie est prisonnière de l’enchevêtrement des constructions et des ouvrages ou repoussée au-delà des limites sensibles de la ville.|1
156|Il n’y a plus de lointain, plus de paysage ou, du moins, il n’y a plus cette forme de paysage que crée le rapport intelligible entre le territoire-support et les divers agencements des hommes qui l’habitent.|0
157|Pour prévenir cet effet d’obstruction, on a, depuis toujours, composé les villes en créant des systèmes d’interrelations capables de mettre en perspective les composantes urbaines, d’associer les divers lieux où s’exprime la vie publique ; d’assurer les respirations, les points de vue, les axes qui, par effet d’enchaînement, maintiennent et démultiplient les horizons du site d’origine.|1
158|Nous sommes persuadés que la renaissance de la Plaine se fera au prix d’une redécouverte du paysage.|1
159|La prolifération des objets, la contiguïté et l’étau des emprises devront faire place...|1
160|Place à la mise en perspective, aux interrelations, place aux espaces ouverts et publics.|0
161|Place enfin, à ce que nous avons appelé les « horizons-paysages ».|0
162|Le projet urbain inaugure cette ambition par la manière dont s’organisent les études, que l’on pourrait comparer à un projet sur le paysage.|1
163|Elles ont été très profondément soucieuses du contexte, elles se sont adaptées quotidiennement aux circonstances, elles proposaient et reformulaient, sans cesse, les conditions spatiales qui traduisent le mieux les exigences sociales des collectivités qui les initient.|0
164|Elles rendaient compte de l’existant en préfigurant un avenir pour la Plaine.|1
165|« Le projet urbain de la Plaine Saint-Denis donne beaucoup d’importance aux relations transversales Est-Ouest pour associer les communes riveraines, Saint-Ouen et Aubervilliers, à ce territoire.|1
166|Pour rompre aussi avec la logique radioconcentrique de Paris, et connecter entre elles les villes au Nord de la première couronne ».|0
167|Maîtrise d’ouvrage: villes de Saint-Denis et d’Aubervilliers, SEM Plaine-Développement. Programme: étude de projet urbain|0
168|Maîtrise d’œuvre: Groupe Hippodamos 93 (Michel Corajoud, paysagiste; Yves Lion, Pierre Riboulet, Philippe Robert, architectes).|0
169|« Ces voies nouvelles seront des lieux de fertilité.|1
170|Des conditions optimales seront données à la végétation arborée par un système de gestion qui maintient en surface et utilise les eaux pluviales avant d’en rejeter le trop-plein dans les canalisations ».|0
171|« L’occasion est ainsi donnée de renouveler le principe des arbres en ligne qui accompagnent généralement les rues, en trouvant plus de souplesse et de diversité ».|1
172|Campagne et ville diffuse: un plan de paysage pour l’Isle d’Abeau|0
173|En 1995, à l’initiative de Jean Frébault, directeur général de l’EPIDA, est lancée une démarche « plan de paysage » sur le territoire de la ville nouvelle.|0
174|Je suis associé aux CAUE de l’Ain, de l’Isère et du Rhône pour conduire ce travail.|0
175|Les paysages de l’Isle d’Abeau sont d’une qualité d’exception et d’une grande singularité, car ils enchaînent trois échelles successives : à proximité, le drapé des collines et des petits vallons, joliment surligné par le travail des agriculteurs ; au second plan, la vallée, fédératrice potentielle des unités urbaines de la ville nouvelle ; enfin, les grands lointains de la chaîne des Alpes, symboles d’un rapport exceptionnel à la grande nature qui associe les habitants de cette ville au pays tout entier.|0
176|Le premier temps de mon travail fut une critique très vive de l’incroyable aveuglement avec lequel certains constructeurs avaient plaqué, sur ce territoire délicat, des plans masse absurdes aux formes contournées et préconçues.|1
177|Le labyrinthe du réseau des voiries qu’ils aménageaient produisait sans cesse des culs-de-sac bornés ; l’assiette des routes était engluée, sans audace, dans la pente et les maisons amarrées au beau milieu de jardinets ridicules.|1
178|Le paysage originel, qui aurait pu donner du sens à cette forme urbaine, était encombré des scories de la ville.|0
179|En contre-exemple, l’un des quartiers de la ville nouvelle, « le village de Terre », réalisé par un collectif d’architectes, est exemplaire pour la manière dont la distribution des immeubles met en perspective toutes les échelles du territoire.|1
180|Ces ouvertures sur le paysage sont mises à disposition en presque tous les points du quartier.|0
181|J’ai ensuite utilisé une méthode de sites tests pour développer une critique plus positive : bien montrer la hiérarchie des divers plans de lecture de chaque entité paysagère, et suggérer les moyens à mettre en œuvre pour que les quartiers s’orientent, notamment par le biais des espaces publics, sur cette belle campagne.|1
182|C’est à l’Isle d’Abeau que je me suis attaché profondément à l’idée que le paysage, la campagne, pouvaient conférer du sens à la ville « diffuse » et qu’à l’inverse, cette même ville pouvait, à son tour, donner du sens à la campagne qui, aujourd’hui, se désagrège.|0
183|« Au centre de la Plaine Saint-Denis, l’ancienne route royale « avenue de Paris », puis avenue du « Président Wilson », fut éventrée en 1960 pour le passage en tranchée de l’autoroute A1.|1
184|La Plaine est alors coupée en deux, dévastée par le bruit et la pollution.|1
185|En 1987, l’État veut implanter le Stade de France à Saint-Denis.|1
186|Les élus de cette ville exigent, avant toute négociation, que l’autoroute soit couverte.|1
187|Couverte par une dalle, suffisamment lourde pour porter à la fois des hommes et des plantes, une dalle capable de reconstituer le sol de pratique qui lui avait été volé.|1
188|La requalification de l’avenue joue un rôle décisif pour le projet urbain de toute la Plaine ».|1
189|Programme: couverture de l’autoroute A1 et aménagement de l’avenue du Président Wilson|1
190|Maîtrise d’œuvre: Michel Corajoud et l’Atelier Corajoud, paysagistes; Yves Lion, architecte; Laurent Fachard, éclairagiste; Algoe Management, coordination; AEP, b.e.t.|0
191|Échelle: 5 hectares, dont 3 hectares de dalle longue de 1350 mètres et large de 38 mètres|0
192|L’Isle d’Abeau, plan de paysage « Le premier temps de mon travail fut celui d’une critique très vive face à l’incroyable aveuglement avec lequel certains constructeurs avaient plaqué des plans masse absurdes sur ce territoire délicat.|1
193|En revanche, le “village terre” est exemplaire pour la manière dont la distribution des immeubles met en perspective toutes les échelles du territoire.|0
194|J’ai ensuite utilisé une méthode de sites tests pour développer une critique plus positive: bien montrer la hiérarchie des divers plans de lecture de chaque entité paysagère, et les moyens à mettre en œuvre pour que les quartiers s’orientent, par le biais de l’espace public notamment, sur cette belle campagne ».|1
195|Maîtrise d’ouvrage: Établissement public d’aménagement de la ville nouvelle de l’Isle d’Abeau Programme: Élaboration du Plan Paysage|0
196|Maîtrise d’œuvre: Michel Corajoud, paysagiste; CAUE de l’Ain, de l’Isère et du Rhône|0
197|Échelle: une vallée longue de 25 km et les plateaux et collines adjacents|0
198|Nous avons réalisé, avec Claire Corajoud et Gabriel Chauvel, dans le parc de Gerland à Lyon – l’un des plus accomplis de nos derniers projets – un grand jardin linéaire de 500 mètres par 50.|1
199|Nous voulions, depuis longtemps, concevoir et réaliser un jardin qui fasse référence à la maîtrise des plantes par le travail de l’homme : agriculteurs, horticulteurs, maraîchers.|1
200|Un jardin dans la ville qui évoque moins la « nature » que la « campagne ».|0
201|En ce sens, notre jardin est le contrepoint du « jardin en mouvement » de Gilles Clément au parc Citroën Cévennes qui fait référence aux cycles et associations naturelles des plantes.|0
202|« Un facteur essentiel d’étonnement de ce jardin est son mode de gestion: la tonte fréquente, la fauche des associations végétales, qui exacerbent les facteurs saisonniers et accélèrent le processus de croissance (vigueur des pousses de l’année).|1
203|Ce mode de gestion met en scène labours, semis, bouturages et fauches.|0
204|C’est lui qui décide de la structure en bandes très simples, très rationnelles sur lesquelles va s’épanouir la diversité des plantes associées.|0
