|sentence|dynamic
21|Agir à long terme dans un monde incertain nécessite donc de distinguer, d’une part, les objectifs majeurs qui s’imposent tout au long de l’action, qui sont de l’ordre du projet d’ensemble et de la stratégie, d’autre part, les objectifs particuliers et plus ou moins circonstanciels, qui sont de l’ordre de la réactivité et de la tactique.|0
22|Articuler des tactiques et des réactions à une stratégie nécessite une forte réflexivité, c’est-à-dire de faire retour en permanence sur l’analyse des résultats des actions précédentes.|0
23|On peut qualifier ce type d’urbanisme de « management stratégique urbain ».|0
24|La réflexivité, nécessaire dans des opérations urbaines longues et complexes, remet en partie en cause la chronologie ancienne qui allait des études préalables à la réception des travaux, en passant par le diagnostic, les scénarios, le choix d’un programme, le projet, le montage financier et la réalisation.|1
25|Aujourd’hui, l’urbanisme est fait de multiples itérations qui bouleversent partiellement certains découpages professionnels.|0
26|L’urbanisme ne peut donc plus être limité à la planification et à la conception de la ville, mais doit intégrer sa réalisation voire sa gestion.|1
27|Les villes étant complexes et singulières, et l’urbanisme étant constitué de multiples itérations, le projet n’est pas seulement projet, il est aussi un analyseur des situations urbaines et un révélateur de leurs potentialités.|0
28|L’urbanisme doit donc s’appuyer sur une culture du projet chez l’ensemble de ses intervenants.|0
29|Les sciences sociales urbaines elles-mêmes doivent se confronter à la logique du projet et de la conception.|0
30|L’espace urbain n’existe pas indépendamment des pratiques sociales qui y prennent place et qui le co-construisent.|1
31|Les formes urbaines ne peuvent donc être abordées ni comme un réceptacle passif ou strictement fonctionnel dont les détails seraient sans implications, ni comme un outil qui pourrait en tant que tel servir à manipuler le social.|0
32|Il ne peut donc y avoir d’urbanisme qui soit seulement spatial ou seulement programmatique.|0
33|Mais le fait que le projet informe le programme, comme le programme informe le projet ne signifie pas pour autant que leurs temporalités, leurs modalités et leurs savoirs fusionnent.|0
34|Ce qu’il faut donc organiser tout spécifiquement, ce sont les modalités d’échange, d’interface, entre les « projecteurs » et les « programmateurs ». Il faut noter que les spécialistes des sciences sociales comme les architectes peuvent être d’un côté ou de l’autre…|0
35|La production de la ville mobilise des acteurs variés, aux intérêts et aux modes de fonctionnement différents voire divergents.|1
36|Les dispositifs urbanistiques, leurs responsables et leurs donneurs d’ordre doivent donc accorder une place particulière à l’analyse des jeux des acteurs et à leurs logiques spécifiques, pour pouvoir les associer à la conception des actions urbaines et les faire converger sur des projets communs.|1
37|L’intérêt général qu’il s’agit de faire émerger est de plus en plus « procédural », c’est-à-dire qu’il se définit et se dessine de plus en plus tout au long d’un processus créatif, sociopolitique et technico-économique complexe.|0
38|L’urbanisation continue — y compris dans les pays déjà presque totalement urbanisés — sous la forme de la « métropolisation », c’est-à-dire de la concentration des richesses humaines et matérielles dans et autour des grandes agglomérations.|1
39|La maîtrise du développement urbain, l’urbanisme à grande échelle, mais également les choix urbains de proximité nécessitent donc la prise en compte du fonctionnement des villes à cette nouvelle échelle métropolitaine élargie.|1
40|Une métropole comme une ville n’est ni une addition de villages ni une mosaïque de quartiers.|0
41|Elle est système et doit être pensée comme articulation dynamique entre le tout et les parties.|1
42|L’urbanisme est donc fait d’actions simultanées à diverses échelles.|1
43|Aussi nécessite-t-il aujourd’hui à la fois des pouvoirs d’agglomération forts et démocratiques, et une prise en compte des intérêts locaux au plus près des habitants et des usagers.|0
44|Les métropoles se développent par croissance interne, en se densifiant, en s’étendant à leur immédiate périphérie et en se recomposant, et par croissance externe, en absorbant dans leur aire de fonctionnement des villes et des bourgs, des villages et des zones rurales.|1
45|Elles forment ainsi un nouveau type de ville, les métapoles, distendues, discontinues, hétérogènes et multipolarisées.|1
46|L’urbanisme métapolitain est donc nécessairement varié et non doctrinal, car il doit faire la ville dans des contextes diversifiés, utiliser un vocabulaire riche et répondre à des demandes sociales disparates.|1
47|Tous les habitants et toutes les activités n’ont ni les mêmes besoins ou envies vis-à-vis de la ville ni les mêmes moyens.|0
48|Certains ont un grand usage quotidien du potentiel d’interactions qu’offrent les villes et en particulier de la centralité, d’autres beaucoup moins.|0
49|Les arbitrages qu’ils font entre espace appropriable et intensité urbaine, entre vitesse et densité, entre intimité et urbanité, dépendent donc de la diversité de leurs activités, de leurs aspirations et de leurs imaginaires.|0
50|Les innovations peuvent certes contribuer à modifier les choix, mais elles doivent s’inscrire dans le respect de cette diversité et de la démocratie.|0
51|De ce point de vue, la demande de maison individuelle avec jardin doit être prise plus au sérieux qu’elle ne l’est généralement par les urbanistes.|0
52|On sait aujourd’hui assez bien faire les villes denses, beaucoup moins bien les ensembles pavillonnaires durables.|1
53|La métropolisation, la division du travail et la complexité croissante de la société redéfinissent les échelles de la ville.|0
54|Tandis que le « chez-soi » a tendance à s’élargir au quartier, se déplacer devient nécessaire pour accéder à la plupart des activités et fonctions de la ville.|0
55|Le droit à la mobilité devient ainsi un droit générique car il conditionne l’effectivité de la plupart des autres droits — au logement, au travail, à l’éducation, à la santé, aux loisirs, etc.|0
56|L’urbanisme contemporain doit donc attacher une importance accrue aux modes, lieux et temps des déplacements.|0
57|Le développement des technologies de l’information et de la communication (TIC) ne substitue pas simplement des télécommunications aux déplacements physiques, mais il suscite de nouvelles mobilités et provoque diverses recompositions spatiales.|1
58|Il contribue notamment à modifier le contenu, les localisations et les formes des « polarisations » fonctionnelles et sociales.|0
59|Le développement des TIC a aussi des effets paradoxaux : tout ce qui se médiatise audiovisuellement tend à se banaliser grâce au développement accéléré des performances dans ce secteur.|0
60|Cela donne une valeur économique et symbolique accrue à tout ce qui ne se télécommunique pas : à ce qui se touche, se sent, se goûte, se vit dans le face-à-face, en direct.|0
61|Il en résulte deux conséquences majeures du point de vue de l’urbanisme : d’une part, la qualité sensible des lieux importe de plus en plus, la notion d’ambiance multisensorielle revêtant une importance accrue ; d’autre part, l’urbanisme doit être capable de jouer avec les événements et avec « l’être-ensemble » pour donner du sens aux lieux.|0
62|Le développement d’une ville dépend pour une bonne part du dynamisme des acteurs.|1
63|Son potentiel dépend aussi de toutes sortes de richesses immatérielles, de l’intensité des réseaux sociaux locaux à l’image de marque de la ville.|0
64|L’urbanisme doit donc être capable de jouer non seulement sur le hard de la ville, mais également sur le soft, que ce soit dans les tâches de développement, dans l’invention programmatique liée à la conception de projets urbains, dans la production d’événements susceptibles de laisser des traces urbaines, dans la cristallisation spatiale des potentiels culturels et sociaux.|1
65|Dans une société où la très grande majorité de la population vit ou travaille dans des villes, l’urbanisme a des responsabilités accrues en matière économique (le développement dépend pour une bonne part de la qualité des villes), en matière sociale (les différenciations spatiales menacent toujours d’accroître les inégalités sociales), en matière environnementale (les villes constituent aujourd’hui des éléments clefs des écosystèmes).|0
66|L’urbanisme doit donc s’inscrire dans la problématique du développement durable, qui implique de rendre aussi conciliables que possible les exigences de développement économique qui sont de l’ordre de la « performance », les exigences d’équité sociale qui sont de l’ordre de la « justice », et les exigences environnementales qui sont de l’ordre de l’« éthique ».|0
67|Il s’agit d’« axiomatiques » différentes, irréductibles les unes aux autres.|0
68|L’urbanisme nécessite donc inévitablement des compromis, mais il est aussi potentiellement un outil possible pour concevoir ces compromis.|0
69|Il est à ce titre un instrument clef dans la gouvernance locale.|0
70|L’enseignement de l’urbanisme doit s’adresser autant que possible à des étudiants ayant déjà une formation dans un domaine scientifique ou artistique, ou disposant déjà d’un savoir-faire professionnel spécifique.|0
71|Toutefois, des licences d’études urbaines (sciences sociales appliquées à la ville) peuvent également — à certaines conditions — constituer des préparations aux études d’urbanisme.|0
72|L’enseignement de l’urbanisme doit viser à « urbaniser » ces connaissances ou ces expériences, c’est-à-dire les adapter au champ de l’urbanisme, et à développer des compétences pointues en économie urbaine, sociologie urbaine, architecture urbaine, géographie urbaine, écologie urbaine, etc.|0
73|Il doit apprendre parallèlement à ces divers spécialistes à travailler ensemble sur des thématiques communes (logement, transports, planification, environnement, etc.) et sur des projets communs, pour développer une connaissance réciproque des modes de raisonnement et des référentiels des uns et des autres.|0
74|Il doit initier à une culture urbaine commune internationale, par des enseignements, par une pratique intense de la lecture, par des visites et par des voyages d’études.|0
75|La formation des urbanistes nécessite une formation à la pratique du projet et de la représentation, au management de projet, à l’organisation, à l’analyse et à la connaissance des jeux d’acteurs.|0
76|La formation des urbanistes est plus efficace si les étudiants font l’expérience du débat, de la vie associative, de diverses formes de participation.|0
77|Ce type de formation nécessite des instituts universitaires spécialisés, composés d’équipes permanentes pluridisciplinaires, mais mobilisant en réseau d’autres organismes « disciplinaires ».|0
78|Pour cela, ils doivent associer des professionnels à la formation, et développer une activité de recherche.|0
79|Leur implication dans la formation continue est nécessaire et leur sera utile en retour comme lien avec la pratique.|0
80|D’une part, il y a des recherches sur les villes et l’urbanisme, d’autre part des recherches pour l’urbanisme ou « en » urbanisme.|0
81|La frontière entre ces deux types de recherches doit être aussi peu étanche que possible, même si elles s’inscrivent dans des perspectives sensiblement différentes et relèvent de critères d’évaluation distincts.|0
82|Ces recherches peuvent être disciplinaires (économie urbaine par exemple) ou pluridisciplinaires et thématiques (sur l’habitat ou le projet urbain par exemple).|1
83|Les recherches tant sur l’urbanisme que pour l’urbanisme (sur les outils des projets urbains par exemple) sont aujourd’hui insuffisamment nombreuses et mériteraient d’être développées.|1
84|Il importe donc d’offrir des alternatives universitaires attractives pour les chercheurs qui souhaitent travailler sur des thématiques urbaines ou urbanistiques.|0
85|Les relations entre les acteurs — professionnels, politiques et sociaux — du champ de l’urbanisme et les chercheurs gagnent à être médiatisées (travaillées par des intermédiaires) parce qu’a priori ni les questionnements, ni les langages, ni les temporalités, ni les critères de validité ne sont communs.|0
86|Il est donc utile de mettre sur pied des interfaces qui transforment les problèmes qui se posent aux acteurs en questions aux chercheurs, et qui réciproquement transforment les résultats des recherches en informations utilisables par les acteurs.|0
87|Les organismes de recherche incitative, la presse, les institutions de formation initiale et continue peuvent aider à ce rôle d’interface.|0
88|La recherche peut contribuer aux progrès des pratiques professionnelles en participant à des expérimentations.|0
89|Mais les expérimentations sont souvent assez difficiles dans le domaine de l’urbanisme, vu l’ampleur des opérations, leur complexité et leur durée. Il est en partie possible de pallier cette difficulté en associant des chercheurs au suivi d’opérations innovantes et en développant des évaluations concomitantes et a posteriori […]|1
90|Les investissements urbains sont très coûteux et engagent l’avenir à long terme.|0
91|Il serait utile que l’on y consacre des moyens d’étude et de recherche bien plus importants qu’aujourd’hui...|0
92|Il y a aujourd’hui un véritable déficit du côté de l’urbanisme de haut niveau, notamment par manque de concepts nouveaux répondant aux enjeux urbains contemporains (mixité, durabilité, mobilité, attractivité...).|0
93|De leur côté, les chercheurs ont tendance à se replier sur leurs disciplines.|0
94|Il faut donc les ramener sur le terrain de l’urbanisme, en les valorisant.|0
95|Car il y a un besoin de concepts scientifiques permettant à l’intervention urbaine de faire face au défi de la maîtrise des grandes métropoles.|1
96|La consultation sur le Grand Paris a démontré cette nécessité, à défaut d’apporter de nouvelles façons de penser et d’agir.|0
97|Il faut donc relancer la recherche urbaine autour des grands enjeux sociétaux.|0
98|Mais le monde de la recherche est un « monde » avec ses paradigmes, ses temporalités, son vocabulaire, ses règles.|0
99|Pour pouvoir utiliser le mobiliser, il faut donc des « traducteurs » et des « médiateurs » avec les « mondes de l’action ».|0
100|Il faut se donner les moyens de transformer les résultats (et les questions) de la recherche en informations et connaissances utilisables par les mondes de l’action.|0
101|Et réciproquement, il faut se donner les moyens de transformer les problèmes de l’action en questions compréhensibles par le monde de la recherche, susceptibles de l’intéresser (intellectuellement et...|0
102|Les questionnements, les temporalités, les langages des deux mondes sont très différents.|0
103|De plus, bien des acteurs n’ont à résoudre des problèmes « qu’une fois », c’est-à-dire qu’ils n’ont pas le sentiment qu’un investissement (nécessairement à moyen et long terme) puisse les aider.|0
104|Il faut donc des dispositifs de médiation et de traduction dans les deux sens.|0
105|D’abord des dispositifs capables de faire se croiser les politiques scientifiques avec les problèmes rencontrés par les acteurs et avec les politiques thématiques (urbanisme, aménagement, logement, transports, etc.).|0
106|Pour cela, il faudrait créer des organismes comme le Plan construction et architecture ancienne manière, avec les ministères, les collectivités locales (une coopérative des communautés urbaines par exemple, un style de DIFU allemand [Deutsches Institut für Urbanistik]), des acteurs professionnels innovants, voire des organisations professionnelles, des universitaires et des chercheurs.|0
107|Ce dispositif aurait ses propres moyens de financement : cotisations des collectivités locales, sponsoring des acteurs privés, subventions de l’État.|0
108|Par ailleurs, il est utile que les organismes sans enjeux immédiats, ni académiques, ni professionnels, jouent un rôle dynamiseur en étant capables d’identifier des thèmes émergents à mettre à l’agenda de la recherche.|0
109|L’Institut pour la ville en mouvement (IVM) est un bon exemple de ce type de démarche indépendante des jeux d’acteurs de l’université et de l’aménagement.|0
110|Un deuxième type de dispositif devrait permettre de structurer la recherche sur les villes, sur l’urbanisme et pour l’urbanisme.|0
111|Il faut faire face en effet à une double exigence : l’ancrage disciplinaire des équipes (leur excellence et leur reconnaissance dans leur propre discipline) et la pluridisciplinarité (qui s’organise sur des thèmes : logement, transport, etc.).|0
112|Pour cela, il faut des équipes ayant une certaine consistance, travaillant dans des laboratoires bien identifiés.|0
113|La pluridisciplinarité ne doit pas affaiblir la qualité scientifique dans une sorte de culture générale.|0
114|Il faut que l’ancrage disciplinaire serve aussi à féconder les recherches thématiques, notamment en favorisant les transferts théoriques, méthodologiques des recherches qui avancent sur d’autres thèmes que l’urbain.|0
115|Le financement devrait être assuré principalement par des organismes légitimes scientifiquement du type Agence nationale de la recherche, et par les universités elles-mêmes.|0
116|Enfin, un troisième type de dispositif assurerait le lien entre les chercheurs et les acteurs professionnels.|0
117|Je pense au modèle des centres hospitaliers universitaires (CHU), où des cliniciens de haut niveau travaillent aux côtés de chercheurs ou bien sont eux-mêmes impliqués dans la recherche.|0
118|Des centres urbanistiques universitaires (CUU) pourraient alors traiter des problèmes urbanistiques complexes, un peu comme ce qui s’est passé avec certaines équipes du concours sur le Grand Paris, mais en travaillant sur la durée.|0
119|Certains gros instituts d’urbanisme pourraient devenir des CUU et assurer ainsi simultanément la formation de jeunes urbanistes, mais aussi traiter des problèmes trop lourds et trop complexes pour une équipe classique d’urbanistes privés ou publics.|0
120|Ces CUU seraient financés en partie par les contrats liés à chaque projet opérationnel.|0
121|De manière générale, il faut favoriser la mobilisation des chercheurs comme experts, ce qui ne passe pas forcément par une commande de recherche.|0
122|Mais il faut pouvoir utiliser leurs méthodologies et leurs savoirs pour faire avancer des projets.|0
123|D’après un entretien avec François Ascher par Ariella Masboungi, le 1er mai 2009; publié dans Urbanisme, no 367, juillet-août 2009|0
124|Entretien avec François Ascher par Ariella Masboungi les 30 avril, 7 mai, 14 mai, 19 mai, 27 mai et 3 juin 2009, avec la collaboration d’Olivia Barbet-Massin.|0
125|L’unanimité du choix du jury souligne la reconnaissance de ma fonction de passeur et renforce la valeur que j’attache à ce prix qui m’émeut beaucoup.|0
126|Cette reconnaissance dépasse celle de mes pairs qu’il me semble avoir déjà obtenue (d’où mon refus, l’année dernière, d’un prix spécial).|0
127|Le fait que, cette année, le jury ait choisi quelqu’un de différent des lauréats précédents, généralement concepteurs urbains, me paraît crédibiliser encore plus le Grand Prix de l’urbanisme en montrant l’ouverture de son champ.|0
128|Je me sens un peu dans la même position que Francis Cuillier, directeur de l’agence de l’agglomération bordelaise (Grand Prix de l’urbanisme 2006), lui-même également très différent des autres détenteurs du prix.|0
129|Francis Cuillier a essayé de laisser des traces tant dans ses activités en agence d’urbanisme qu’à la Datar ou encore au Predit, donc dans des activités multiples et originales.|0
130|Qu’un jury hétérogène ait voté à l’unanimité constitue, en outre, un signe de portage fort de la recherche et souligne la nécessité, accrue par la conjoncture actuelle, de la recherche urbaine.|0
131|Les notions que nous utilisons datent et nous n’avons que peu investi sur les questions actuelles, celles de l’après-crise, celles d’un nouveau cycle économique qui serait à fonder sur des technologies environnementales, sur la modification des modes de vie...|0
132|À l’Institut pour la ville en mouvement, je lance une commission d’audition qui interrogera les praticiens sur les cleantechs (clean technologies) aux États-Unis, l’importance qu’elles prennent et leur impact sur la ville.|0
133|Qu’un chercheur puisse avoir le Grand Prix de l’urbanisme est utile — c’est un précédent qui ouvrira de nouvelles perspectives à des collaborations entre praticiens et chercheurs.|0
134|L’excellent accueil que reçoit mon prix et les nombreux témoignages qui me sont faits vont au-delà de ma personne.|0
135|Je pense que ce prix a salué la rencontre entre la recherche urbaine et la pratique professionnelle et ouvre des voies d’avenir pour mes successeurs.|0
136|Je n’ai pas beaucoup d’idées personnelles, mais je sais utiliser les idées des autres dans un autre contexte.»|0
137|Ma mère m’a toujours dit que j’étais le plus intelligent et le plus paresseux de ses enfants.|0
138|J’ai donc toujours gardé en réserve une capacité de travail pour prouver aux autres que j’étais intelligent.|0
139|Je ne pouvais pas entrer en compétition avec mon frère aîné qui avait deux fois réussi le concours général.|0
140|Mon moyen était de laisser entendre que je serais très fort si je travaillais un peu plus.|0
141|Puisque j’avais un gros potentiel non exploité, je n’avais pas besoin de frimer.|0
142|À ce propos, j’ai souvent observé la hargne de certains contre l’« élite » des Ponts et Chaussées.|0
143|Car à mon sens, si j’avais davantage travaillé, j’aurais pu en faire partie, et cela m’offrait un confort mental inappréciable.|0
144|Et puis, j’ai une grande capacité d’admiration, car j’ai toujours considéré que j’étais le meilleur, en tout cas dans ce que je faisais.|0
145|Il est très prétentieux de tenir de tels propos, mais cela m’a aidé à vivre.|0
146|Je n’ai pas eu de chance et j’essaie de m’en tirer avec une galipette et un peu d’esbroufe.|0
147|J’ai toujours essayé de maîtriser mon temps, mon espace, mes relations.|0
148|Le plus difficile avec la paralysie, c’est qu’on ne maîtrise pas grand-chose.|0
149|Malgré tout, je continue à faire des choix, des choix éditoriaux : Métapolis sort en poche chez Odile Jacob.|0
150|Et La Société évolue, la politique aussi devrait sortir en poche aux Éditions de l’Aube.|0
151|Je suis au cœur de ma famille et de mes amis.|0
152|Je n’ai pas beaucoup d’idées personnelles, mais je sais utiliser les idées des autres dans un autre contexte.|0
153|Très superficiel et très généraliste, je ne m’intéresse pas longtemps au même sujet.|0
154|Quand, progressivement, l’intérêt marginal faiblit, je passe à autre chose — par souci d’efficacité.|0
155|Je sais que je suis meilleur au défrichage qu’au labourage (travail profond et sérieux).|0
156|Quand j’arrive dans un domaine, j’y fais passer des idées issues d’un autre domaine scientifique ou thématique.|0
157|L’apport est, à ce stade, significatif, car il s’agit de féconder un domaine par un autre.|0
158|Quand cette fécondation est effectuée, labourer le domaine nouveau n’apporte, à mon sens, plus une grande valeur ajoutée.|0
159|Pour apporter quelque chose dans un domaine, il y a deux solutions : travailler plus ou apporter des idées de l’extérieur.|0
160|Mes domaines de recherche révèlent donc un grand éclectisme : — l’industrie du bâtiment ; — le foncier ; — les grands aménagements touristiques ; — l’économie du tourisme ; — le loisir (l’histoire des loisirs) ; — la sociologie ; — la socio-économie des transports ; — la planification urbaine ; — le management stratégique et concept du management ; — l’évolution des modes de vie ; — les mobilités.|1
161|Et puis, j’ai dû faire de la prospective pour diriger stratégiquement l’Institut français d’urbanisme.|0
162|J’ai ainsi décroché un contrat sur les jeux (le rôle du jeu dans la vie sociale) avec Francis Godard, un autre sur le développement des pratiques sportives nouvelles.|0
163|Le contrat de recherche qui m’a le plus amusé a porté sur les hôtels de luxe (« Luxe, habitat, confort : les références hôtelières », 1988).|0
164|Nous avons démontré que le luxe permettait des innovations tels l’ascenseur, le gaz à l’étage, la télévision dans la chambre à coucher.|0
165|Un des sujets sur lequel j’aurais aimé travailler, c’est celui du luxe de masse, ce luxe développé par la consommation de masse.|0
166|Il s’agit là d’une consommation a priori inutile, mais qui a un rôle marquant pour les différentes classes sociales qui y ont toutes accès, chacune à leur manière.|0
167|À propos du luxe de masse, les marques sont un capital extraordinaire et recèlent un potentiel de déploiement industriel pour la France qui a peu exploité cet atout.|0
168|On sait fabriquer des marques de luxe mais rarement effectuer des transferts sur des domaines variés comme celui de l’automobile, renforçant l’attractivité des produits français à l’export, jouant sur le capital « marque » ; je pense à LVMH et autres.|0
169|Il serait intéressant de réfléchir à ce que pourrait être la marque en architecture par exemple.|0
170|Le développement local pourrait prendre appui sur les logiques de marques.|1
171|Le Luberon pourrait devenir une marque, en appui sur l’imaginaire qu’il porte, et développer sous sa marque des produits de consommation haut de gamme.|0
172|Il y a là quelque chose à saisir dans le domaine alimentaire et agricole.|0
173|D’ailleurs, il ne faut pas confondre marque et image de marque.|0
174|Saint-Denis, par exemple, a une mauvaise image de marque, mais celle-ci pourrait être améliorée en utilisant l’image du stade de France.|0
175|Patrick Braouezec devrait mettre en valeur la nouvelle image de Saint-Denis et cesser de jouer du patriotisme local et protéger l’image ouvrière du territoire.|0
176|«Je sais que je suis meilleur au défrichage qu’au labourage (travail profond et sérieux).»|0
177|Ayant été un militant, j’ai la passion de transmettre et de convaincre — toujours dans le prosélytisme.»|0
178|J’ai adhéré aux Étudiants communistes en 1965 pour faire la campagne de François Mitterrand.|0
179|Je suis sorti du Parti communiste quand celui-ci a rompu l’Union de la gauche.|0
180|J’ai fait ensuite un bref passage au Parti socialiste, dont je me suis fait exclure.|0
181|La vie des appareils politiques est très pesante et peu compatible avec les intérêts des intellectuels.|0
182|Par la suite, j’ai collaboré au Parti socialiste en qualité d’expert sur le thème de la refonte de la social-démocratie.|0
183|Mon livre qui traite de cette question — La Société évolue, la politique aussi — me semble toujours d’actualité.|0
184|Il est difficile de remettre en cause la régulation du temps de travail.|0
185|On voit bien que, pour les enjeux écologiques, la régulation est efficace au niveau local et au niveau international.|0
186|Aujourd’hui, la régulation des émissions de gaz à effet de serre a des orientations sur le capitalisme.|0
187|C’est rendre service au capitalisme lui-même que de développer ces régulations pour lui éviter des crises permanentes.|0
188|(Les hommes politiques m’appellent « Monsieur le professeur ».) Un professeur d’université est forcément un chercheur.|0
189|Ayant été un militant, j’ai la passion de transmettre et de convaincre — toujours dans le prosélytisme.|0
190|Cela a marqué mes formes d’enseignement, mais cette passion a faibli ces derniers temps, car, quels que soient mes efforts, ils étaient toujours répétitifs. Il est un peu sinistre de se demander : ai-je déjà dit cela ?|0
191|Les étudiants ne s’ennuyaient pas, mais mes cours n’étaient pas suffisamment structurés.|0
192|Il est vrai qu’ils n’étaient pas écrits ; au mieux, ils étaient des plans détaillés, et je renvoyais mes étudiants sur des livres — ce qui était plus difficile pour eux.|0
193|Ce que je propose à mes étudiants, ce sont des interprétations.|0
194|Dans ce contexte-là, le but est de donner une structure de pensée.|0
195|Dans le cadre d’une conférence, par ailleurs, je prépare un plan détaillé, mais je n’utilise pas beaucoup le Power Point, car cela me piège dans un schéma.|0
196|En fonction des réactions, je développe tel ou tel point, je prends tel ou tel exemple.|0
197|«J’ai toujours cru que mon travail devait servir une action que j’avais à cœur.|0
198|Europan n’est pas seulement un concours d’architecture, c’est aussi un outil de capitalisation d’expérimentations architecturales et urbaines.|1
199|Expérimenter et transmettre : tel est l’objectif du Club ville-aménagement (ci-dessus les livres émanant des travaux du club publiés aux Éditions du Moniteur).|0
200|Certains — journalistes, enseignants, ou organismes professionnels — tentent d’assurer des passages entre le monde de la recherche et celui de l’action, mais un déficit sérieux perdure en la matière, notamment en comparaison avec le domaine médical.|0
201|Il serait important de développer une presse scientifique en matière d’urbanisme, qui ne soit pas gérée par le monde scientifique — un magazine type Science et vie qui rende accessible la recherche à tout à chacun.|0
202|Cela existe dans la grande presse dans les domaines de l’économie et de la médecine, sujets jugés prioritaires.|0
203|Les médecins ont une réelle utilisation des avancées de la recherche.|0
204|Sans doute parce que la presse n’en voit pas l’utilité ni le lectorat potentiels.|0
205|Pour ma part, entre recherche et médiation, je me considère comme un métis.|0
206|Mes premières recherches au sein du Parti communiste visaient déjà à alimenter les discours de Georges Marchais.|0
207|J’ai toujours cru que mon travail devait servir une action que j’avais à cœur.|0
208|Je me souviens qu’au Parti communiste, avec Christian Topalov, j’avais œuvré en faveur de la création d’intercommunalités, mais la proposition a beaucoup choqué les élus et nous n’avons pas su nous faire comprendre.|1
209|Grande leçon quand il s’agit d’assurer les passages entre recherche et action !|0
210|Nous étions des intellectuels, c’est-à-dire des hommes respectables, mais nous étions considérés comme inutiles pour l’action, et donc rejetés.|0
211|Depuis lors, je n’ai pas hésité à agir en faveur de l’action au plan politique.|0
212|J’ai essayé à titre individuel de créer des dispositifs qui favorisent l’échange entre les chercheurs et les praticiens.|0
213|Au Plan construction et architecture, j’ai créé le réseau socio-économie de l’habitat avec Anne-Marie Fribourg et Henri Coing.|0
214|Ensuite, avec Danièle Valabrègue, Didier Rebois et Mireille Apel-Muller, nous avons inventé Europan, défendant très vite l’idée d’une échelle européenne.|0
215|À l’époque, personne ne disposait d’un réseau européen qu’il a fallu fabriquer de toutes pièces.|0
216|Et avec Georges Mercadal, qui a présidé le Plan construction et architecture, nous avons inventé Eurorex pour réaliser des expériences innovantes à l’échelle européenne.|1
217|Enfin, le Club ville-aménagement — anciennement Club des maîtres d’ouvrage d’opérations complexes — est un autre dispositif créé avec la complicité de Jean Frébault et l’aide de Marie-Line Meaux et de Geneviève Dubois-Taine.|0
