dynamique_text|dynamique_type
être capable de se transformer|modif
Transformer la ville|modif
ne plus détruire, ou a minima détruire moins|destr
n’ont pas été pensés pour être réversibles|repr
la transformation|modif
S’adapter|modif
Le projet Saussure, érigé en 2014|crea
la nouvelle Zac Clichy-Batignolles|crea
cette opération de 40 logements|crea
la capacité de réversibilité totale des bâtiments haussmanniens|repr
avons déjà fait plusieurs bâtiments|crea
offre une flexibilité, une capacité d’évolutivité et de flexibilité inégalée|modif
des reprogrammations incessantes|repr
un immeuble totalement mutable|modif
de logement à logement reconfiguré|modif
de logement à bureau|modif
sa capacité de transformation|modif
les réalisations pionnières parisiennes|crea
un renouvellement de l’identité parisienne|repr
la capacité de réversibilité|repr
la transformation des immeubles|modif
l’évolution et de la durabilité d’une ville|modif
des réalisations hyper-déterministes incapables d’évoluer|crea
la finesse des éléments bâtis|crea
la réversibilité|repr
processus de conception|crea
l’opération projetée|crea
leur potentiel de développement urbain|crea
concevoir la ville « sous contraintes »|crea
le processus de conception|crea
l’optimisation des morphologies urbaines|modif
l’optimisation des morphologies et de la matérialité des espaces urbains|modif
faire évoluer la performance des formes urbaines|modif
optimiser les formes urbaines|modif
l’adaptation des territoires au réchauffement climatique|modif
l’optimisation des formes urbaines|modif
restauration des cours d’eau, des piémonts et des ressources hybrides|repr
altérations des cycles naturels|modif
résorber|modif
reconstituer les fonctionnements écologiques originels|repr
leur restauration|repr
un projet collectif et responsable de construction d’un territoire comme bien commun partagé|crea
son développement futur|crea
artificialisation des terres|modif
imperméabilisation|modif
restaurer|repr
organisation spatiale des zones d’urbanisation|crea
le projet de développement|crea
le contre-projet pour la ville nouvelle de Neom|crea
permet de penser les implantations territoriales et urbaines|crea
Anfa, quartier dessiné par la géométrie de l’ombre|crea
Zenata, ville dessinée par l’arborescence aéraulique|crea
Montpellier, métropole organisée par la restauration des cycles écologiques naturels|repr
la création de la ville nouvelle de Neom|crea
le contre-projet imaginé|crea
réfléchir à une ville nouvelle|crea
installer ici une ville nouvelle|crea
l’installation d’activités humaines|crea
en préservant et en rehaussant la valeur écologique des écosystèmes naturels|maint
ce qu’il peut devenir|modif
se constitue la trame écologique|crea
en préservant les espaces naturels|maint
la croissance urbaine|crea
une démarche de préservation active des espaces naturels|maint
le développement métropolitain|crea
les projets de transformation de l’agglomération bordelaise|modif
pas de projet de bâtiment|crea
pas de projet d’îlot|crea
pas de projet d’aménagement urbain ou d’espace public|crea
le développement d’espaces de nature|crea
une vision renouvelée de la nature métropolitaine|repr
le développement de la ville|crea
la restauration des cycles écologiques altérés|repr
la création et le fonctionnement des espaces aménagés, anthropisés|crea
leur préservation|maint
la programmation globale d’une opération d’aménagement urbain|crea
peut être amélioréel’évolution des pratiques professionnelles des acteurs de la fabrique de la ville|modif
sa transformation|modif
la transformation urbaine|modif
la fabrique de la ville|crea
Transformer les sols|modif
végétaliser la rue|modif
transformer les bâtiments|modif
transformer les rues ordinaires en rues communes apaisées, écologiques, désirables|modif
adapter la ville aux enjeux du xxie siècle|modif
transformer les rues métropolitaines ordinaires|modif
fabriquer la ville post-Covid, post-voiture et post-carbone|crea
la transformation de la voirie|modif
modifications à apporter sur l’environnement|modif
la transformation de l’espace urbain|modif
la transformation d’une rue|modif
