dynamique_text|dynamique_type
équipées en réseaux d'eau, d'assainissement et d'électricité|crea
le rythme de construction à soutenir|crea
seraient rapidement construits|crea
un nouvel anneau continu de constructions|crea
les espaces libres disparus|destr
ont été presqu'exclusivement édifiés|crea
leur construction|crea
placer|crea
ont été mis|crea
demeurer en l'état|maint
n'est guère possible de conserver longtemps des terres agricoles presqu'enclavées dans la ville|maint
être aménagés|modif
"recevoir des stades, des lycées, des facultés, des hôpitaux</lieu>, <lieu type=""obj"" n=2><res n=2>des zones d'emploi assez vastes</res></lieu></dyn>"|crea
la construction de logements|crea
l'aménagement des 5.000 hectares de Z.U.P.|crea
eut été préférable de bâtir|crea
des zones d'extension|crea
implanter des équipements pleinement satisfaisants|crea
sont demeurés concentrés|maint
la rénovation du tissu urbain existant|repr
l'extension de l'agglomération|crea
cette extension|crea
logements détruits|destr
cette rénovation|repr
50.000 logements à détruire|destr
la destruction de 36.000 logements anciens|destr
à remplacer|repr
55.000 logements nouveaux|crea
sont détruits|destr
sont construits|crea
la rénovation du secteur de la Défense|repr
rénovation|repr
la substitution à quelques maisons particulières de quelques dizaines d'appartements|modif
densification|crea
la réalisation ultérieure de ces équipements|crea
La rénovation|repr
la forme de rénovation|repr
la substitution de logements modernes|modif
"la mise en place des équipements absents - écoles, centres médicaux et sociaux, commerces</lieu>, <lieu type=""obj"" n=1><res n=1>terrains de jeux</res></lieu></dyn>"|crea
la reprise de la trame des rues|repr
les opérations de rénovation|repr
doit être préservée|maint
la réhabilitation|repr
la modernisation d'immeubles anciens|modif
des immeubles réhabilités|repr
une rénovation|repr
la rénovation nécessaire|repr
subsistera la pénurie de logements|maint
la réhabilitation et de la modernisation des vieux quartiers de Paris comme de ses banlieues|repr
dévore les espaces libres|crea
ne se rénovent qu'avec trop de lenteur|repr
allaient transformer les villes|modif
l'extension|crea
implantations d'activités|crea
Les grands ensembles construits|crea
ont été - à raison de 20 logements à l'hectare en moyenne - couverts de pavillons|crea
la zone construite|crea
subsistaient|maint
fallait empêcher de grandir|crea
la réduction progressive des espaces demeurés libres|modif
"un ""bourrage du terrain"|crea
conduire ses réseaux d'eau, d'égouts, d'électricité|crea
GROUPES DE LOGEMENTS CONSTRUITS|crea
la construction|crea
les constructions nouvelles|crea
l'implantation des activités|crea
toute création|crea
toute extension|crea
mètre carré construit|crea
les démolitions de locaux|destr
l'expansion des activités|crea
l'implantation d'activités|crea
l'implantation|crea
ont été créées|crea
leur mise en place|crea
s'implantent|crea
construire des installations modernes|crea
se remplisse la zone industrielle|crea
doivent y demeurer|maint
une stagnation|maint
a fait démarrer de grands travaux d'équipement public|crea
chantiers|crea
les mises en service|crea
allongement des quais|crea
ponts nouveaux|crea
nouveaux grands magasins|crea
refonte des réseaux de distribution d'électricité et de gaz|repr
extension des installations d'épuration|crea
constructions|crea
IMPLANTATION RÉCENTE D'ACTIVITÉS ET DE GRANDS ÉQUIPEMENTS|crea
sont à localiser|crea
plus de 1.200.000 logements en dix ans, soit l'équivalent d'une autre ville de Paris à construire|crea
la croissance inéluctable|crea
une agglomération, demain plus grande|crea
la croissance|crea
toute extension spatiale|crea
Conserver toutes les frontières|maint
conserver tous les gabarits|maint
conserver toutes les campagnes|maint
n'admettre la construction que parcimonieusement|crea
créer des centres urbains nouveaux|crea
villes nouvelles|crea
les zones d'extension|crea
centres urbains renforcés, diversifiés et rénovés|repr
mettre fin à la pénurie de terrains à bâtir|crea
la disparition des espaces libres|destr
l'extension spatiale|crea
la croissance progressive des villes nouvelles|crea
ses extensions|crea
les espaces construits|crea
des centres urbains nouveaux|crea
les grands ensembles récents|crea
se subdivise|modif
la naissance d'un centre|crea
s'accroît|crea
l'enceinte dite des Fermiers Généraux construite|crea
se constituent progressivement|crea
ces réseaux nouveaux|crea
leur réalisation|crea
La construction en dehors de l'agglomération d'un autre centre|crea
120.000 logements à construire|crea
seraient localisés|crea
quelle ville, même neuve|crea
ce centre urbain nouveau|crea
la création de tels centres intermédiaires|crea
a créé cinq départements nouveaux|crea
la restructuration des banlieues (Nanterre, Bobigny, Créteil)|repr
la création des centres urbains nouveaux|crea
les centres nouveaux|crea
constituer des centres urbains nouveaux|crea
seront implantés|crea
ne doivent pas être multipliés|crea
pourront se situer|crea
ne peuvent plus, faute de place, être localisés|crea
ces centres urbains nouveaux|crea
s’inséreront|crea
accueillera|crea
se localiser|crea
demeurera donc des quartiers-dortoirs|maint
les centres urbains nouveaux|crea
Implanter ces services publics et privés|crea
les nouvelles extensions de l'agglomération|crea
l'implantation d'équipements complémentaires|crea
la création du centre|crea
s'installe plus facilement|crea
zones d'extension|crea
ne se réaliseront pas de la même manière|crea
implantation|crea
une réalisation isolée, de logements|crea
la création progressive du centre urbain|crea
l'émiettement des banlieues|modif
"""restructurer"" la banlieue"|repr
Les centres urbains nouveaux|crea
sont maintenant prévues|crea
réalisations françaises|crea
projets français|crea
ces villes nouvelles|crea
"ces ""villes nouvelles"""|crea
"les ""villes nouvelles"""|crea
centres urbains nouveaux à créer|crea
certaines villes nouvelles|crea
80.000 à 100.000 logements construits|crea
étaient localisés|crea
être dispersés|crea
formeraient chaque année une ville de plus de 300.000 habitants, aussi grande que Toulouse et son agglomération|crea
substituer à un tissu urbain trop uniforme, à caractère dominant de dortoir et sous-équipé, des centres urbains aptes à assumer ce que les citadins d'aujourd'hui attendent de la ville|modif
Regroupés en petit nombre|crea
bien reliés à l'ensemble de l'agglomération|crea
a été entrepris récemment une opération de rénovation totale|repr
implanter des équipements exceptionnels - grands musées d'art ou de techniques|crea
pourront y être placés|crea
se multiplient|crea
vont passer de trois à huit|crea
les villes nouvelles|crea
l'implantation systématique de villes|crea
axes d'urbanisation|crea
se sont créés|crea
"ont littéralement ""formé"" l'agglomération"|crea
donnant la forme qui apparaît sur la carte|crea
axes de transport nouveaux|crea
centres urbains nouveaux|crea
se construiront|crea
implantation des villes nouvelles|crea
l'urbanisation|crea
l'urbanisation consciente|crea
l'urbanisation spontanée|crea
lieux d'implantation|crea
L'implantation systématique des villes nouvelles|crea
se développer|crea
la croissance passée|crea
serait encore élargie|crea
ce processus|crea
L'extension en tache d'huile|crea
La disposition des villes nouvelles|crea
mettre fin à cette croissance indéfinie de l'agglomération|crea
plusieurs villes nouvelles puissantes|crea
l'allongement ou l'agrandissement de l'agglomération actuelle|crea
concentrer en plusieurs points les zones d'extension|crea
VILLES NOUVELLES CONÇUES|crea
recueillir les activités desserrées de l'agglomération parisienne|crea
le ralentissement de la croissance de Paris|crea
leur croissance|crea
leur extension rapide|crea
se localiseront|crea
s'installent|crea
des villes nouvelles|crea
localiser les zones d'extension et les villes nouvelles|crea
urbanisation|crea
la ville nouvelle|crea
pousser des pédoncules|crea
se rejoindraient|crea
la création de villes en couronne|crea
une extension de la tache d'huile|crea
des artères à créer|crea
la poursuite de l'expansion spatiale en tache d'huile|crea
la croissance des villes du bassin parisien|crea
l'implantation d'une couronne de villes intermédiaires|crea
une extension|crea
Les new-towns réalisées|crea
une extension de la ceinture verte|crea
un déplacement de la ceinture verte|modif
une extension de sa superficie totale|crea
nouvelles lignes ferrées ou de voies autoroutières|crea
un seul axe radial d'urbanisation|crea
les désirs d'agrandissement|crea
l'expansion|crea
la formation de doigts de gant|crea
comblement progressif des espaces intercalaires|crea
l'expansion de l'agglomération|crea
l'extension de Paris et de ses banlieues|crea
quelques axes d'urbanisation|crea
toute construction|crea
l'essentiel de l'urbanisation|crea
réordonner|repr
se matérialiser|crea
le dessin des zones|crea
seront urbanisées|crea
ces axes d'urbanisation|crea
doit par conséquent s'inscrire|crea
une véritable mutation|modif
la création de centres urbains nouveaux|crea
l'orientation de son développement|crea
une mutation égale|modif
canaliser l'extension de l'agglomération|crea
aménager de vastes espaces de campagne ou de zones faiblement urbanisées|crea
la naissance et la vitalité des centres urbains nouveaux|crea
en les reliant les uns aux autres, et au centre de Paris|crea
établir enfin des liaisons efficaces|crea
aient été créées|crea
ont été réalisées|crea
relier Paris aux principales villes de France|crea
doublera le boulevard périphérique|crea
doit conduire à réaliser progressivement un réseau de transport|crea
constituer un réseau adapté à cette agglomération telle qu'elle est|crea
s’insérera|crea
a doté Paris intra-muros|crea
les extensions|crea
axes nouveaux, conçus|crea
l'extension de la zone agglomérée|crea
axes préférentiels d'urbanisation|crea
serait possible, et d'aucuns n'y ont pas manqué, de concevoir une grande agglomération telle que celle de Paris|crea
le maintien de son unité|maint
n'a cessé de grandir|crea
l'extension de la ville|crea
la création de villes nouvelles ou de centres urbains rénovés|crea
développer les métropoles d'équilibre|crea
L'implantation d'activités de bureau, de commerce et d'industrie|crea
édifiés|crea
La création de villes nouvelles|crea
pourront s'ordonner|crea
doivent s'étendre|crea
une image vivante et constamment renouvelée|repr
l'extension de ses transports|crea
se forme|crea
l'organisation et l'aménagement projetés|crea
la croissance de Paris|crea
Le développement en tache d'huile|crea
submergés par la marée désordonnée des constructions|crea
"restaurer la ""valeur de site"""|repr
préserver ceux qui doivent rester vierges de constructions|maint
implanter les villes nouvelles et leurs zones d'accompagnement|crea
les développements|crea
non pas annihilés|destr
ont-ils été construits|crea
commence à atteindre|crea
le futur aéroport Nord|crea
le développement de la région|crea
devra aller|crea
l'implantation de la ville|crea
l'extension de l'agglomération parisienne|crea
en faisant avancer l'agglomération|crea
toute urbanisation|crea
les axes préférentiels d'urbanisation|crea
des poussées spontanées|crea
en expansion|crea
axe principal de développement de la région urbaine|crea
la mise en service complète|crea
axe d'urbanisation|crea
la poussée des constructions|crea
construire un ruban continu de logements et d'usines|crea
s'étend en largeur|crea
peut être conçue|crea
des poussées d'urbanisation|crea
un axe secondaire d'urbanisation|crea
tous les développements|crea
les poussées|crea
un développement linéaire de centres intermédiaires|crea
futur aéroport Nord|crea
le centre urbain nouveau de Beauchamp|crea
une ville nouvelle|crea
est également constitué|crea
une autre ville nouvelle|crea
deux villes nouvelles|crea
l'expansion de l'agglomération actuelle|crea
tous les centres urbains nouveaux|crea
toutes les villes nouvelles|crea
créer, dans l'ensemble de la région urbaine, ce niveau intermédiaire de centres qui manque aujourd'hui|crea
la poussée de l'agglomération présente|crea
la zone actuellement construite|crea
cette poussée naturelle|crea
les banlieues actuelles, enfin reliées entre elles, progressivement rénovées, restructurées|repr
la constitution de quelques centres urbains dignes de ce nom - Nanterre, Saint-Denis, Bobigny, Créteil, Rungis-Choisy-le-Roi|crea
soit mis fin au recul, jusqu'à présent constant, des espaces libres|modif
peuvent être conservés|maint
les développements prévus|crea
îlots de verdure sans cesse grignotés|destr
pourront croître|crea
Cette industrialisation|crea
s'étant localisées|crea
se transforment|modif
se substituant aux unités de production|modif
se développent|crea
de vastes lotissements créés|crea
attend sa réalisation|crea
des ensembles de construction récents|crea
ont transformé le caractère de la banlieue|modif
subsistent|maint
ont pris place|crea
Le développement de cette banlieue|crea
un axe principal d'urbanisation|crea
la ville nouvelle de Pontoise-Cergy|crea
"La ""restructuration"" de l'ensemble de cette zone"|repr
"la constitution de centres secondaires : Saint-Denis, Stains, Villetaneuse</lieu>, <lieu type=""obj"" n=2><res n=2>Beauchamp</res></lieu></dyn>"|crea
L'axe d'urbanisation|crea
le futur aérodrome|crea
la création d'une deuxième ligne R.E.R.|crea
doublant la voie ferrée de Pontoise|crea
"l'aménagement des différentes parties de la zone Nord : l'agglomération actuelle et la ""vallée de Montmorency"", la ville nouvelle"|crea
L'urbanisation|crea
développement urbain|crea
l'organisation de ces développements|crea
constituera l'axe urbain|crea
doubler|crea
Le doublement de la ligne de Pontoise|crea
une nouvelle ligne ferrée|crea
l'amorce d'une deuxième transversale du R.E.R.|crea
"la ""ville nouvelle"" de Pontoise - Cergy"|crea
aura atteint un niveau de développement important|crea
doit se transformer|modif
une rénovation mesurée|repr
une restauration|repr
permettra, en respectant le cadre de la cité, d'y accueillir les établissements surtout culturels|crea
doit être créé|crea
la création de ces trois pôles urbains|crea
"doit accueillir le principal des centres urbains de la ""vallée de Montmorency"""|crea
une agglomération nouvelle|crea
pourra s'établir|crea
accueillera une ville|crea
se trouvera placée|crea
l'un des principaux éléments du développement de cette vallée|crea
"la ""ville nouvelle"""|crea
permet de réaliser un ensemble urbain de grande qualité|crea
peut être aménagée|crea
création d'un vaste plan d'eau|crea
la création de la préfecture du nouveau département du Val d'Oise|crea
se prolonger linéairement|crea
les développements industriels prévus|crea
remplacera l'aérodrome actuel du Bourget|modif
est destiné à devenir le premier aéroport de France|modif
Sa création|crea
l'aménagement du secteur Nord-Est de l'agglomération de Paris|crea
crée|crea
constitue|crea
en maintenant en zone agricole la Plaine de France|maint
la limitation du développement de la banlieue|crea
la localisation de ces activités|crea
pourra être créé|crea
la localisation sur un terrain libre de 40 hectares environ de la préfecture du nouveau département de Seine-Saint-Denis|crea
permettra de créer à Bobigny un centre secondaire d'emplois et de commerces|crea
restructuration de l'ensemble du secteur|repr
un développement industriel|crea
l'aménagement de la partie de la vallée de l'Oise située en région de Paris|crea
un développement important|crea
crée la voie routière souhaitable|crea
peut encore, si cette orientation générale est en définitive retenue, devenir, par l'amélioration des conditions de navigation, une voie fluviale beaucoup plus importante qu'aujourd'hui|modif
relier la région de Paris et la vallée de la Seine d'abord au Nord de la France, puis, par l'Aisne, à l'Est du pays|crea
l'expansion urbaine et industrielle|crea
sont entièrement urbanisées|crea
a pu être préservé|maint
est demeuré affecté aux activités agricoles|maint
L'évolution des communes proches du boulevard périphérique|modif
des actions de rénovation|repr
la transformation de la route nationale 186|modif
la reprise simultanée du réseau secondaire|repr
préserver une coulée verte|maint
la préservation des prolongements du site historique|maint
doit être impérativement sauvegardée|maint
cette sauvegarde|maint
seront de leur côté préservés|maint
l'amélioration du tracé de la R.N. 306|modif
ne doivent pas pour autant perdre leur caractère rural|modif
sera sauvegardé|maint
la préservation des sites existants|maint
la sauvegarde des sites|maint
La préservation de ces sites|maint
doivent conserver leur caractère propre de réserves naturelles|maint
la préservation de la vallée|maint
la résorption progressive des champs d'épandage d'Achères|modif
la disparition progressive des champs d'épandage|destr
devront être protégés et aménagés|maint
conserve encore de nombreuses exploitations maraîchères et surtout fruitières|maint
disparaissent|destr
subsistent encore|maint
recommencent même à se développer|repr
tendent à devenir des banlieues-dortoir|modif
sa restructuration|repr
pourront être désaffectés|modif
restructuration de cette banlieue|repr
doit être préservé et exploité|maint
sera préservé de toute urbanisation importante|maint
de nombreux bois à préserver|maint
des transformations importantes|modif
la mutation de l'agglomération parisienne|modif
le maintien de la vocation agricole de 60 % de la superficie de la région|maint
sauvegarder le cœur de ville|maint
la destruction|destr
mérite d'être conservé|maint
la démolition de ce centre|destr
reconstruire à une échelle plus grande|repr
la mise en place de centres urbains rénovés|repr
une transformation profonde|modif
déplacer Notre-Dame ni la Sorbonne|modif
en décentrant la capitale|modif
rééquilibrer Paris|repr
a été doublée|modif
redoublée|modif
"quartiers historiques ""réhabilités"""|repr
la reconquête de Paris|repr
"""noyaux restructurants"""|repr
le départ des Halles centrales|modif
la rénovation de tout l'environnement|repr
ont gardé au cours des siècles beaucoup d'espaces|maint
la reconquête d'une partie de son sol|repr
doivent être rénovés|repr
la sauvegarde des quartiers existants|maint
aménager la voirie existante|modif
restaurant la beauté de ses quartiers historiques|repr
les quartiers à rénover|repr
conservant dans l'ensemble le volume modéré de ses bâtiments|maint
une transformation semblable|modif
La rénovation des vieux quartiers denses|repr
n'a guère évolué|maint
l'adapter au développement de la circulation automobile|modif
a commencé de transformer les villes|modif
ont laissé subsister|maint
une nouvelle transformation radicale|modif
remettre en cause, à cette échéance, la forme des villes|repr
les aménagements éventuels|modif
leur adaptation|modif
des démolitions à prévoir|destr
la préservation des sites|maint
les élargissements futurs|modif
quelques aménagements des voies|modif
préserver|maint
la rénovation de quartiers anciens|repr
leur nécessaire modernisation|modif
leur réorganisation|repr
conserve une multitude de petits établissements|maint
a prévu de rénover|repr
transformations de leur environnement|modif
de profondes modifications|modif
La rénovation des usines|repr
conserver les terres à blé ou à betterave|maint
les destructions|destr
soient reboisées|repr
aménager|modif
doit permettre, hors de ce périmètre, d'éviter que la campagne ne perde l'aspect naturel qui fait son charme|maint
gâchent définitivement le paysage rural|modif
doit demeurer|maint
la même mutation|modif
reconstituer un musée des Travaux publics|repr
en pleine évolution|modif
ne feront pas l'objet de rénovation|repr
les banlieues actuelles évoluant|modif
un renouveau de beauté|repr
une permanence de Paris|maint
cette permanence|maint
