dynamique_text|dynamique_type
son processus de fabrication|crea
censés résorber les friches urbaines|crea
se réalisent ces projets réchauffés|crea
transformation urbaine|modif
se fabrique|crea
la croissance des villes|crea
étalements urbains contemporains|crea
cette reconquête|repr
les lieux de l’industrie en mutation|modif
redonner une fertilité au sol|repr
décontaminer|modif
sa transformation|modif
la transformation du territoire|modif
cette transformation|modif
leurs transformations individuelles|modif
transformations spectaculaires|modif
aménagement des quais|modif
la transformation de ce paysage|modif
sa construction cohérente|crea
transformation envisageables|modif
leur transformation possible|modif
les « paysages en gestation »|modif
leur capacité à transformer|modif
les forêts plantées artificiellement|crea
la mutation agricole|modif
se dessine nécessairement une forme d’archipel aux polarités multiples|crea
une immensité construite|crea
en boisant les vallons qui relient le plateau et les vallées|crea
transformation des paysages et des territoires|modif
Le désir de construction|crea
Ces maigres mais réjouissantes réalisations|crea
des vastes transformations annoncées|modif
ne dessine pas une ville|crea
la recomposition de nos territoires urbains|repr
la construction des espaces publics|crea
grands étalements urbains|crea
un espace public à inventer|repr
ces transformations|modif
l’expansion de Rotterdam|crea
la mise en situation et la forme de ces villes en construction|crea
les villes nouvelles|crea
le développement de Washington|crea
réalisé|crea
se développaient|crea
s’installaient|crea
plantaient abondamment ces coteaux et vallons|crea
installaient toute la viabilisation et notamment les voies de circulations|crea
fabriquant ainsi le développement de la ville|crea
l’implantation de cette nature|crea
développement ouest de Washington|crea
fabriquer un territoire d’une taille tout à fait comparable à Boston ou Minneapolis|crea
l’urbanisation actuelle|crea
la constitution d’un paysage, d’une géographie amplifiée|crea
un projet de recomposition d’un territoire|repr
fabriquer des morceaux de ville|crea
l’aménagement futur|crea
l’aménagement des territoires|crea
se construisent des premières tranches|crea
la transformation des territoires|modif
se prépare à accueillir une antenne du musée du Louvre|crea
Amorcer le processus de transformation du territoire d’Euralens|modif
la réalisation d’espaces publics|crea
finissent par créer une continuité paysagère en écheveau|crea
situation de renouveau|repr
l’arrivée à Lens d’une annexe du musée du Louvre|crea
Le découpage en concessions du bassin minier|modif
a constitué un territoire en forme d’archipel|crea
les zones bâties|crea
La requalification paysagère du tissage de ces cavaliers|repr
la densification des pièces de l’archipel|crea
Les premières réalisations|crea
La reconversion du port de l’Eilandje|repr
la qualification de ses espaces publics|modif
L’aménagement des premiers quais|modif
la revitalisation du Vieux-Port|repr
recompose le paysage de Marseille et sa façade maritime|repr
un projet urbain|crea
un parc existant de 30 ha appelé à être requalifié|repr
s’y installeront|crea
la transformation de villes et de territoires|modif
déjà très modifiés et artificialisés|modif
l’essentiel de cet environnement construit|crea
a beaucoup construit|crea
bâtissait|crea
sans réaliser des espaces publics|crea
urbanisations produites|crea
rééquilibrer la proportion de paysage et de bâti|repr
réparations successives|repr
petites additions|modif
projets de transformations|modif
créer un nouveau quartier|crea
puisse devenir un parc|modif
se réalise|crea
se construit|crea
permet de fabriquer de vastes territoires|crea
se transforme par strates|modif
réalise vraiment le réseau des chemins|crea
Progressivement, le mobilier urbain est introduit|crea
possibilités, d’adaptations et d’ajustements|modif
ces grands terrains en mutation|modif
transformer les territoires|modif
ce qui s’y construit|crea
évolutions et aux appropriations différenciées|modif
des transformations successives|modif
en transformation|modif
créer un lien majeur pour Bordeaux : un très vaste parc en centre-ville|crea
La transformation de la rive droite|modif
toute mutation urbaine|modif
un processus très pragmatique de substitutions progressives|modif
est immédiatement plantée|crea
les mutations|modif
accueillir les nouveaux quartiers|crea
L’Arts District, quartier en constante mutation|modif
De nouveaux bâtiments|crea
se construisent|crea
achève un musée, Norman Foster un opéra, et Rem Koolhaas un théâtre</lieu></dyn>|crea
veut faire la «place centrale»|crea
jeu de recompositions permanentes|repr
substituer au parc unitaire|modif
la mutation de grandes infrastructures|modif
se développe un quartier dense et aéré|crea
préserve 30% des bâtiments industriels|maint
Ses nouveaux îlots bâtis|crea
le processus de transformation des territoires|modif
les sites en mutation|modif
peuvent rapidement se transformer|modif
la fabrication de la ville|crea
une réalisation rapide|crea
composerait ainsi un « paysage zéro », paysage de préfiguration|crea
fabrication du paysage zéro|crea
Évolutif et flexible|modif
la progression naturelle du développement du quartier|crea
création de chemins|crea
création de fossés|crea
les chantiers de la réalisation des quartiers|crea
mise en place des lieux de stockage de la terre végétale|crea
constitution d’une pépinière|crea
formera l’empreinte des quartiers à venir|crea
Fabriquer un prototype, un jardin achevé et sophistiqué|crea
quartier en devenir|crea
en évoluant au fur et à mesure des aménagements|modif
avons-nous installé quelques chemins, une pelouse, une végétation temporaire|crea
territoire boulonnais en pleine mutation|modif
évoluera au fur et à mesure des aménagements|modif
sera remplacée plus tard|modif
la réalisation rapide d’un bassin de retenue d’eau|crea
en amorçant la transformation progressive du territoire|modif
nouveaux quartiers|crea
recomposer les territoires|repr
la transformation de ses territoires|modif
construire des villes émergentes|crea
Le projet de recomposition territoriale|repr
a été mis en place|crea
plantation abondante des coteaux|crea
installation de la viabilisation, des voies de circulation|crea
Certains systèmes de parcs ainsi conçus|crea
en reconstituer de plus petits|crea
constituer une extraordinaire structure|crea
la mise en œuvre de tuyaux enterrés|crea
l’installation au coup par coup des différents établissements|crea
la constitution d’un paysage|crea
s’est développé en archipel|crea
gagner en densité bâtie|crea
en qualifiant ses limites boisées|modif
prolonger, d’épaissir les coteaux boisés et les vallons qui vont jusqu’au cœur du plateau|modif
accueillera les voies de toute nature, les infrastructures nouvelles, mais aussi les dispositifs de gestion des eaux|crea
accueillera des «parcs-campus»|crea
Ces éléments urbanisés|crea
les vallées construites|crea
la transformation du plateau de Saclay|modif
transformer le territoire en un chantier sans fin|modif
constituer un paysage artificiel évolutif|crea
édification et de confortement des parcs-campus|crea
la transformation du site|modif
la construction du campus|crea
fabrication de sols fertiles|crea
constitution de sols artificiels|crea
la progression naturelle du développement du parc-campus|crea
les nouveaux bâtiments|crea
ne doivent s’installer|crea
Progressivement, des bâtiments se construisent|crea
devient un parc|modif
s’installent|crea
se développent|crea
prennent place|crea
artificialisation des sols à grande échelle|modif
des créations neuves|crea
l’étalement urbain qui se poursuit inexorablement|crea
l’étalement urbain|crea
une campagne remembrée|repr
recomposer ces territoires|repr
Mettre en place ce nouveau paysage, cette bande continue qui se substituerait à la ligne|crea
la protection des espaces agricoles et naturels|maint
s’en trouveraient modifiées|modif
créerait un réseau de chemins, de fossés|crea
autrefois présents, aujourd’hui disparus|destr
constituer peu à peu de vrais espaces communs|crea
la requalification des 800 km de lisières de l’agglomération parisienne|repr
Les remembrements successifs|repr
procéder par substitution|modif
installer des cheminements|crea
permet d’installer boisements, noues, prairies|crea
créent une ossature paysagère ouverte|crea
petit parc public réalisé|crea
installer des fleurs|crea
tout demeure en place|maint
installer ici des structures paysagères|crea
peuvent se constituer|crea
peuvent à terme composer|crea
une formidable transition|modif
le parc-campus du quartier Palaiseau en voie de constitution|crea
l’édification d’un territoire commun|crea
leur permanence|maint
Ces transformations|modif
ces innombrables rustines|modif
la dilatation de ces sols|modif
avons fabriqué, devant le lac, une immense place en stabilisé, une sorte de plage en ville|crea
avons mis en œuvre un aménagement absolument invisible|crea
créons|crea
la rénovation de la ville d’Almere|repr
a créés|crea
La transformation du plateau Dräi Eechelen|modif
la requalification de son parc|repr
une large rampe fortement plantée|crea
va être bâti|crea
venant reconquérir la «vilaine» usine|repr
trois vastes «jardins d’hiver», dessinés|crea
la transformation de la gare de Strasbourg|modif
sont redéfinis|repr
ménageant en son cœur des endroits où flâner, s’asseoir, attendre, regarder la vie de la gare|crea
une redistribution des accès et circuits de dépose|repr
a modifié en profondeur la géographie naturelle|modif
créer une sorte de géographie unitaire, tout au moins cohérente|crea
Implanter, comme on veut le faire à Saclay, les grandes voies de circulation|crea
va recomposer les parcelles|repr
lotir|crea
cette géographie amplifiée ou transformée|modif
une transformation de la géographie|modif
conçoit une bonne route|crea
la dessine|crea
routes dessinées avec grande intelligence|crea
viabilisent les terrains alentour|modif
la construction des infrastructures|crea
la construction de lourdes infrastructures|crea
constructions|crea
développement des lignes à très grande vitesse|crea
le dessin des infrastructures|crea
essayer de retrouver cette géographie|repr
avons planté une multitude de pins parasols|crea
la création de petits boisements|crea
la réparer|repr
remplacer le faisceau de voies ferrées désaffectées|modif
a façonné le territoire|crea
Les espaces publics, conçus|crea
la transformation du fonctionnement hydraulique|modif
ont donné forme au territoire|crea
le drainage des parties cultivées|modif
est resté stable|maint
briser les digues|destr
digues démantelées|destr
sont ainsi rehaussés|modif
constituant des territoires hors d’eau|crea
étalement urbain diffus|crea
la transformation d’une ancienne zone portuaire|modif
La mutation de ce quartier|modif
la création de trois parcs|crea
destiné à être progressivement urbanisé|crea
planter 12 000 pins parasols|crea
devient ainsi un paysage unitaire, à grande échelle, une pinède organisée en coulisses avec des cadrages sur la ville et la campagne|modif
