dynamique_text|dynamique_type
L’intense développement de la «tête» ouest du site (une zone de 6 ha réservée à un usage mixte, commercial et résidentiel)|crea
fallait conserver sans l’augmenter|maint
ne doit pas être nécessairement rempli et bâti|crea
devient une zone d’infiltration des eaux pluviales|modif
devient un espace multifonctionnel|modif
est réutilisé|repr
sont conservés|maint
sont réorganisés|repr
est revêtue d’une couverture soutenue par de très fines colonnes en acier|crea
est alors rendu confortable|modif
pourra-t-il innover les formes d’habitat, d’économie, de biodiversité, de production d’énergie renouvelable|crea
requalifier les différentes formes d’habitat caractérisant la vallée et les nouvelles formes attendant d’être intégrées dans un processus de stratification|repr
pouvant être repensés|repr
la restructuration des aires autour des gares|repr
introduire des nouveaux dispositifs pour sa rétention|crea
les transformations et structurer l’espace de la vallée|modif
les dispositifs de rehaussement et de requalification des quais|repr
fasse passer la hauteur des quais de 7,25 m au-dessus du niveau de la mer à 9,25 m|modif
la transformation des quais et la façade fluviale de la ville|modif
la qualification de ces berges|modif
doivent devenir un lieu significatif de sociabilité|modif
permettent de conserver des parties de quais en pavé|maint
sa conception et réalisation|crea
peut être recyclée|repr
les métamorphoses|modif
ne suit pas un parcours biologique non modifiable|modif
a la capacité de se régénérer de l’intérieur|repr
en se réinterprétant elle-même|repr
des processus d’autodestruction de la diversité fonctionnelle|destr
Recycler|repr
ne veut donc pas simplement dire réutiliser|repr
recyclage|repr
Les vastes programmes de renouvellement urbain|repr
en se faisant et se défaisant|crea
sont des « ressources renouvelables »|repr
Ce qui reste|maint
produit son propre espace|crea
construction territoriale|crea
la production de l’espace|crea
la modernisation de l’espace urbain|modif
recycler|repr
restaurer|repr
restructurer|repr
la tabula rasa|destr
des ressources recyclables|repr
la ville comme ressource renouvelable|repr
est construit d’abris, de remblais et de bassins de protection|crea
la forêt plantée|crea
a été transformé|modif
son amélioration|modif
des installations ponctuelles|crea
l’agrandissement des abris|modif
la restauration du théâtre|repr
la construction d’une auberge, d’un lieu polyvalent|crea
des aménagements inhérents à l’environnement naturel|crea
en cours de réalisation|crea
Le projet de l’auberge de jeunesse|crea
peuvent devenir des jardins protégés|modif
les transformations futures du domaine|modif
la construction d’environ 5000 logements, 100000 m2 de tertiaire et tous les équipements nécessaires|crea
dessiner toute une nouvelle partie de ville|crea
ne peut se réaliser dans des délais très courts|crea
La construction d’une nouvelle nature|crea
en recyclant les sols stériles du site|repr
renouveler l’image de l’espace des Zac|repr
Imaginer la ville|crea
peut devenir une ressource renouvelable|repr
