dynamique_text|dynamique_type
accueillir ces équipements et les 300 000 m2 qui les accompagnent|crea
demeurent|maint
un parc, réalisé|crea
comportera à terme 700 nouveaux logements, une école et des activités tertiaires|crea
sont édifiés au fur et à mesure de la disponibilité des parcelles|crea
laisser libres les deux tiers du sol|maint
aménager les 2 ha de sa parcelle|crea
multiplier par trois|crea
vient d’être construit|crea
une grande opération d’aménagement|crea
la « Platine », construite pour la Cité du design|crea
crée un vaste parc et des liens interquartiers|crea
nouvelle halte ferroviaire|crea
nouvelles constructions|crea
nouveaux édifices|crea
situer les équipements métropolitains|crea
construisit le Finlandia Hall|crea
l’implantation de l’opéra, du musée d’art contemporain de Steven Holl et, vingt ans après, celle du philharmonique et de la bibliothèque</lieu></dyn>|crea
une urbanisation par paquets denses et discontinus|crea
la vallée inondable préservée de l’urbanisation|maint
l’étalement urbain|crea
le paysage réservé|maint
une densification peu respectueuse des parcs, des jardins, des rares champs qui restent|crea
peut construire davantage|crea
densification|crea
n’ont pas vocation à devenir compactes et minérales|modif
des aménagements|crea
le tracé des voies|crea
de nouveaux logements|crea
Territoires en mutation|modif
parc agricole préservé|maint
ont cédé la place à une agriculture plus rentable|modif
est ainsi devenue plus vulnérable|modif
la préservation de cette vaste respiration|maint
Le développement urbain|crea
Les nouveaux terrains urbanisés|crea
Les berges de l’Argens aménagées|crea
forment un réseau vert|crea
ses parcelles se densifier|crea
« à urbaniser »|crea
vals trop urbanisés|crea
une densification hiérarchisée selon les séquences|crea
80 ha de zones à urbaniser|crea
aider à constituer le pôle métropolitain|crea
transformations plus courantes du territoire|modif
réinventer un contexte, un espace public|repr
soit disposé|crea
bonifie son voisinage|modif
les constructions nouvelles|crea
avons induit la forme de chaque objet construit|crea
avons dessinés|crea
bâtir à proximité des centres équipés des cités ouvrières|crea
Construire autrement|crea
demeure habitée et très bien équipée|maint
sont encore tous présents|maint
peuvent s’effondrer|destr
le développement urbain|crea
commencent à apparaître|crea
les constructions|crea
peut permettre d’édifier|crea
construit|crea
les bassins de rétention construits|crea
sont implantées|crea
construire plus de 1 000 logements|crea
Le nouveau quartier|crea
doivent être disposés les logements|crea
inventer un paysage|crea
ces dizaines d’hectares sagement préservés|maint
l’aménagement urbain|crea
le plan pour un quartier de 700 logements proches de la gare, sur un parc boisé, au bord de la Scarpe, prudemment acquis par la Ville, se réalise|crea
Cessons de construire des rues inutiles|crea
la dispendieuse couverture des voies|crea
aménager et gérer le site sur la durée|crea
une voie nouvelle|crea
urbaniser sans nouvelles voies|crea
est bien réalisée|crea
les mutations de ce site|modif
l’arrivée du métro|crea
positionner les nouveaux bâtiments|crea
en préservant le foncier abondant|maint
ont permis de créer des allées nouvelles|crea
le campus, dessiné par l’architecte René Egger en 1969|crea
complété par des logements étudiants|crea
ce sol public ainsi maillé et préservé|maint
la réalisation de 700 m de promenade piétonne dominant les voies d’Éole, dite « balcon des Groues », de la place de la gare|crea
le nouveau quartier|crea
renouvellement urbain d’un quartier|repr
les champs préservés|maint
les Izards renouvelés|repr
les cultures préservées|maint
nouveaux logements|crea
La nouvelle place Micoulaud|crea
Construction progressive de la place Micoulaud|crea
la nouvelle place|crea
les meilleures terres agricoles restant encore|maint
placer|crea
quartier des Izards, ainsi renouvelé|repr
sont protégés|maint
renouvellement des sites de chaque bailleur|repr
démolitions|destr
immeubles nouveaux|crea
La place Micoulaud, réalisée en brique posée sur lit de sable|crea
le premier aménagement réalisé, livré en 2014|crea
accueillera le centre de balnéothérapie de cette ville d’eau|crea
avons situé les nouveaux logements|crea
Cette mutation manifeste mais discrète|modif
réalisons les espaces publics|crea
les places du cœur de Saint-Étienne, réalisées en béton|crea
parc portuaire achevé|crea
des transformations plus patientes|modif
les nouveaux logements|crea
La ville dessinée|crea
La réappropriation de 30 ha de quais|repr
a recréé un lien désormais accessible à tous les habitants|repr
avons ici dessiné les espaces publics|crea
l’implantation des programmes — centre commercial dessiné par Reichen et Robert, Centre aquatique de Jean Nouvel, logements coordonnés par Bruno Fortier, etc|crea
Le maintien des formes de radoub|maint
concevoir la place de la Mairie, la place Dorian et les rues adjacentes du cœur de ville|crea
avaient été réalisées précédemment|crea
déformations du tissu urbain voisin|modif
les territoires en mutations|modif
une ressource refondatrice pour les territoires|repr
sa préservation|maint
l’urbanisation|crea
la « sanctuarisation » des territoires agricoles|maint
peut ménager une grande promenade habitée|crea
le souffle métropolitain que Bordeaux a su reconquérir|repr
un renouvellement considérable|repr
n’était que peu constructible|crea
un aménagement|crea
Restaurer la biodiversité|repr
des transformations à venir|modif
Le parc de la Ereta, conçu avec Marc Bigarnet|crea
relie entre eux les quartiers du centre historique|crea
la réalisation d’un parc et de ses édicules|crea
réaliser|crea
Le projet transforme un problème urbain|modif
renouveau de la ville constituée|repr
la réhabilitation du centre historique d’Alicante|repr
opérations de logements, équipements et espaces publics|crea
devient promenade et support de formes architecturales adaptées à l’inondation|modif
tend à s’étaler|crea
Les travaux de confortement des digues|modif
l’actualisation de l’infrastructure de l’A10 qui sépare Tours de Saint-Pierre-des-Corps|modif
développement urbain|crea
permettrait de construire davantage|crea
mises en œuvre|crea
deviendrait ainsi un trait d’union|modif
les aménagements|crea
Ce développement|crea
l’étalement périphérique|crea
la métropolisation|crea
la métropolisation de cette région naguère rurale|crea
ménageaient les espaces ouverts|crea
voies nouvelles|crea
positionnaient les nouveaux logements|crea
implanter dix logements abordables|crea
l’urbanisation douce|crea
la croissance contrastée des communes|crea
les nouvelles voiries|crea
Les nouveaux logements|crea
réduire le linéaire de voies|modif
instaure sa centralité absente|crea
