dynamique_text|dynamique_type
leur développement|crea
une réinstallation|repr
la création d’établissements ou d’organismes nouveaux|crea
peut raisonnablement être implanté|crea
le développement de ce qui n’ajouterait rien à son rôle de Capitale|crea
une rénovation et une restructuration de l'agglomération parisienne|repr
cette restructuration|repr
la rénovation des centres urbains existants de la plupart des communes de banlieue|repr
cette rénovation|repr
pouvait être menée rapidement|repr
la création de nouveaux noyaux urbains|crea
seront groupés habitations, emplois et tous les services indispensables à une vie urbaine organisée rationnellement|crea
Ces nouveaux noyaux|crea
devront être spécialement étudiés|crea
constituer des « pôles d’attraction » importants, des centres « d’approvisionnement » en biens de toute nature, de culture, de services et d’emplois|crea
ces créations|crea
doivent être réalisés|crea
l’installation et le développement d’éléments du secteur privé|crea
noyaux urbains nouveaux|crea
grouper des programmes de logements importants|crea
implanter des hôpitaux généraux ou spécialisés, des facultés ou collèges universitaires, des lycées et écoles, etc. en un mot des services publics indispensables à la vie de cette population</lieu></dyn>|crea
pourront-elles y être implantées|crea
s’y développent|crea
la réussite de ces nouveaux centres urbains|crea
la masse de réalisations|crea
la création de plusieurs de ces noyaux|crea
puissent y trouver place les programmes de logements (à densité assez forte), les services publics prévus et ceux qui peuvent être envisagés, et les installations privées|crea
doivent être non seulement disponibles mais aménagés|crea
créer une véritable ville nouvelle|crea
puissent être aménagées|crea
nouvelles villes anglaises|crea
Villes nouvelles|crea
Extension importante de villes existantes|crea
VILLES CRÉÉES|crea
pourra, le cas échéant, être créé|crea
se sont créés ainsi le long des voies ferrées près des gares, des agglomérations telles que GOUSSAINVILLE, SEVRAN, SAVIGNY-SUR-ORGE, etc|crea
leur création|crea
construire des cités de 20 ou 30.000 habitants|crea
leur apporter des activités indispensables|crea
de telles réalisations|crea
constitueraient ainsi de véritables prolongements tentaculaires|crea
la création de villes satellites échelonnées|crea
l'extension importante de villes existantes|crea
la création de cités nouvelles importantes|crea
la réorganisation de la banlieue|repr
noyaux urbains nouveaux à créer|crea
CRÉATION DE VILLES SATELLITES|crea
Implantations|crea
EXTENSION DES VILLES EXISTANTES|crea
extensions|crea
CITÉS NOUVELLES|crea
RÉORGANISATION DE LA BANLIEUE|repr
EXTENSION IMPORTANTE DE VILLES EXISTANTES|crea
croître|crea
l’amorce|crea
cherchons à créer|crea
ne pourrait pas être adapté aux nouveaux besoins|modif
faudrait en créer un autre|crea
la ville nouvelle|crea
seraient à créer|crea
la création d’une ville entièrement nouvelle|crea
une extension modérée|crea
ne crée pas une ville|crea
créer une ville|crea
la construire|crea
la doter des équipements voulus|crea
une création relativement limitée|crea
placer|crea
pourrait y créer par exemple une Faculté|crea
créer de véritables villes universitaires|crea
construire les logements|crea
créer les services publics|crea
ces villes nouvelles|crea
une telle création|crea
nouveaux noyaux urbains|crea
nouveaux quartiers|crea
pourront s’y créer et s’y développer|crea
le nouveau noyau urbain|crea
s’y développeront|crea
correctement construits et équipés|crea
accueillir certains établissements de caractère un peu exceptionnel|crea
de grands axes actuels ou projetés|crea
les réaliser|crea
Les grandes opérations routières ou de transports ferrés|crea
réorganiser et de restructurer la banlieue|repr
non de l’étendre|crea
nouveaux noyaux urbains principaux et secondaires|crea
pouvoir être réalisés successivement dans le temps|crea
pourront s’y placer|crea
viendront facilement s’installer|crea
ne peut penser réaliser à la fois toutes ces intentions|crea
peut par contre les prévoir, les étudier, les préparer|crea
une restructuration de l’agglomération|repr
son prolongement éventuel|crea
l’opération dite « de la DÉFENSE »|crea
multiples propositions, concours, projets|crea
prolonger vers l’Ouest le grand axe de PARIS : Louvre, Concorde, Étoile|crea
une réalisation|crea
un premier prolongement|crea
son développement|crea
un étalement très importants|crea
la construction du Centre National des Industries et des Techniques|crea
projettent leurs buildings|crea
construire un Palais des Congrès, un Théâtre populaire, un grand hôtel, un nouveau «Vélodrome d’Hiver»</lieu></dyn>|crea
le commencement des travaux de construction du prolongement du métropolitain|crea
amorçant ainsi la réalisation d’une transversale rapide Est-Ouest de PARIS|crea
le prolongement éventuel de l’opération « DÉFENSE »|crea
recevoir un nouveau noyau urbain important|crea
la réalisation d’un ensemble particulièrement intéressant|crea
la construction d’un noyau important avec des activités secondaires et tertiaires en nombre suffisant|crea
la construction d’une ville universitaire ou d’une cité administrative|crea
la construction d’une ville-parc spécialement aménagée pour les sports et les loisirs|crea
aménager|crea
rapprocher|crea
devant être améliorée|modif
grignotée sans cesse par des lotissements ou des exploitations de carrières|destr
le développement s’est poursuivi de façon anarchique|crea
créer un vaste parc départemental|crea
son développement envisagé|crea
un projet d’extension et de développement de cet aéroport|crea
pouvait être aménagé|crea
la localisation dans cette région d’un nouveau centre urbain relativement important|crea
le futur Parc de La Courneuve|crea
un élément restructurateur de tout l’ensemble indiqué précédemment|repr
Les nouveaux ensembles d’habitations de SARCELLES, de SAINT-DENIS, de GARGES-LES-GONESSE Dame-Blanche, de LA COURNEUVE|crea
formeraient une couronne|crea
les trois noyaux de restructuration|repr
la poussée vers l’Ouest de l’agglomération parisienne|crea
prévoir dans cette région de la banlieue, elle aussi très peuplée, au moins un centre restructurateur|repr
l’opération décidée du grand ensemble de CRÉTEIL|crea
la sauvegarde|maint
la création d’un nouveau noyau|crea
un prolongement tentaculaire de l’agglomération|crea
Une première étape dans la restructuration de la banlieue est amorcée|repr
les constructions nouvelles|crea
certains ensembles réalisés|crea
localiser dans leur périmètre certains équipements publics nécessaires|crea
être implantés|crea
leur réalisation|crea
une restructuration et une régénération de la banlieue|repr
l’effort de rénovation entrepris|repr
la réalisation|crea
une possibilité de construction de quelque 85.000 logements et 200 hectares de zones d’activités|crea
« colmater » les derniers vides de l’agglomération|crea
reconquête des anciens quartiers ou centres urbains vétustes ou insalubres de PARIS ou des communes de banlieue|repr
la création de centres urbains principaux|crea
une réorganisation à grande échelle de la Région Parisienne|repr
remise en ordre|repr
maintenir autour de l’agglomération parisienne une réserve rurale|maint
demeurer une zone de détente et de loisirs|maint
la rénovation et la restructuration de la banlieue|repr
Les opérations de rénovation et de reconquête de PARIS|repr
des rénovations internes|repr
la construction dans PARIS même de grands édifices publics|crea
le développement de la Région de la Défense|crea
Le maintien de cette zone rurale|maint
doit donc demeurer|maint
seront implantées simultanément|crea
Un développement plus modeste peut être envisagé pour d’autres villes, comme CHANTILLY, FONTAINEBLEAU, RAMBOUILLET, SENLIS|crea
peuvent constituer une couronne de villes résidentielles et de tourisme, voire universitaires|crea
tous prolongements tentaculaires de la banlieue parisienne|crea
devraient suivre un développement normal|crea
la localisation d’un certain nombre d’activités provenant du centre de l’agglomération parisienne|crea
l’aménagement de la zone rurale de la Région Parisienne|crea
une réorganisation et à une restructuration de la banlieue|repr
sera maintenue|maint
pourront recevoir un accroissement modéré|crea
Les développements importants d’agglomérations|crea
"leurs localisations souhaitables sont des éléments essentiels qu’un plan d’aménagement et d’organisation générale de cette Région doit déterminer.
Ces deux aspects sont évoqués ci-après :
LES BESOINS
Ils doivent tenir compte :
    • d’une part, des besoins actuels qui découlent d’un certain nombre de facteurs tenant à l’insuffisance quantitative et qualitative de l’habitat existant, au renouvellement du patrimoine immobilier"|crea
la rénovation des logements vétustes, insalubres ou surpeuplés|repr
Le remplacement de ces logements|repr
des opérations de cette nature|repr
remplaçant obligatoirement 6.000 logements insalubres à détruire|repr
la cadence actuelle de destruction|destr
pourrait être réalisé|crea
le remplacement|repr
un étalement|crea
les 427.000 logements neufs réalisés|crea
devraient être renouvelés|repr
le renouvellement exceptionnel du patrimoine immobilier insalubre ou vétuste|repr
démolitions|destr
« reconquête »|repr
les îlots à rénover|repr
Remplacement des logements insalubres|repr
Renouvellement exceptionnel du patrimoine immobilier|repr
Renouvellement normal du patrimoine immobilier|repr
devraient être construits|crea
l’effort considérable de construction|crea
69.000 logements terminés|crea
un volume de construction de 60.000 logements par an à soutenir|crea
la rénovation de l’habitat parisien|repr
pratiquer des rénovations|repr
seront accrus les programmes de rénovation publique|repr
pourront être localisés|crea
des grandes opérations|crea
villes nouvelles|crea
peuvent s’implanter|crea
l’équipement|crea
des opérations publiques ou privées de rénovation d’îlots ou de quartiers vétustes, insalubres ou mal occupés|repr
Ces programmes de construction|crea
l’élément moteur de la rénovation de certains quartiers de PARIS et de banlieue|repr
peuvent s’intégrer|crea
sa modernisation|modif
son renouvellement|repr
sa restructuration|repr
sa densification|crea
seuls secteurs anciens, insalubres ou vétustes à rénover|repr
pourront recevoir, suivant les lieux, 60 à 100 logements à l’hectare|crea
des possibilités de construction pour 200.000 logements|crea
une densification|crea
Les chantiers importants de construction|crea
les nouveaux noyaux urbains, principaux ou secondaires|crea
transformation de la Région Parisienne|modif
tous les terrains qui sont ainsi susceptibles d’être urbanisés|crea
les zones à urbaniser|crea
opérations d’urbanisme et de construction|crea
la construction|crea
des implantations|crea
des secteurs spécialement aménagés|crea
maintien d’espaces verts|maint
peuvent être réalisées|crea
peuvent être réaménagés|repr
création de plans d’eau artificiels|crea
les concentrations réalisées|crea
des zones réservées et aménagées|crea
Cette rénovation|repr
implantations d’activités secondaires|crea
les transformations de cette Région|modif
toute création nouvelle|crea
toute extension importante|crea
l’expansion|crea
secteurs à rénover|repr
extension|crea
création|crea
une des zones d’activités existantes ou projetées|crea
ont été réservés|maint
serait ainsi réservé|maint
L’aménagement de ces zones|crea
désirait s’installer|crea
l’implantation des éléments tertiaires appelés à y demeurer|crea
la restructuration et à la revitalisation de la banlieue et des cités satellites de la Région|repr
Les nouveaux noyaux urbains proposés|crea
élargissements des chaussées|modif
Un réseau ferré prévu|crea
un métropolitain conçu|crea
ne se sont que partiellement adaptés|modif
modifications importantes sont nécessaires dans la structure du réseau des transports en commun|modif
la création de nouveaux noyaux urbains, principaux ou secondaires, entre progressivement en application|crea
cette restructuration |repr
soit repensé|repr
La création d’un réseau « express régional »|crea
l’incorporation d’une ligne de banlieue de la S.N.C.F.|crea
une réorganisation du réseau des transports de surface|repr
l’amorce d’un boulevard périphérique|crea
la création importante de voies nouvelles|crea
l’autoroute de l’Ouest mise en service|crea
sont progressivement transformés|modif
prévoir|crea
voies nouvelles de circulation|crea
voies nouvelles|crea
ces voies nouvelles|crea
devront être conçues et aménagées|crea
leurs abords correctement aménagés et plantés|modif
élargissements|modif
chaque nouveau noyau urbain important|crea
la création simultanée d’une ou de plusieurs artères principales de liaison|crea
une extension des emprises au sol|crea
en voie d’extension|crea
le développement de l’habitation|crea
des implantations au sol|crea
de longues études|crea
un développement important de l’aérodrome du BOURGET|crea
Ce développement|crea
empêcher tout développement urbain de ce secteur|crea
a étudié la localisation éventuelle d’un aérodrome Nord de Paris|crea
développement de la construction est, soit interdit, soit réglementé|crea
sont installés des aéro-clubs d’aviation légère et sportive|crea
doivent être situés|crea
centres d’activité, actuels ou futurs|crea
chaque noyau principal à réaliser|crea
peuvent recevoir indépendamment des entrepôts et magasins généraux, des industries de transformation|crea
Leur maintien|maint
faut les maintenir|maint
les rives déjà trop bâties|crea
le doublement de l’avenue de Versailles|modif
sa couverture|crea
la création d’une traversée Nord-Sud|crea
la couverture du canal de l’Ourcq|crea
l’évolution future de la Région Parisienne|modif
doivent bien évidemment être réalisés|crea
L’implantation des groupes scolaires nouveaux|crea
l’équipement à réaliser|crea
la continuation des travaux en cours pour une nouvelle Faculté des Sciences|crea
la restructuration et la réorganisation de la banlieue parisienne|repr
les Facultés et Collèges scientifiques nouveaux|crea
pourraient trouver leur place|crea
ces agglomérations nouvelles|crea
la voie des réalisations|crea
les établissements d’enseignement nouveaux|crea
devront être localisés|crea
 l’essor des nouveaux noyaux urbains|crea
doivent être créés|crea
en équipant la banlieue de l’agglomération parisienne|crea
la création des nouveaux centres urbains|crea
la modernisation des grands hôpitaux parisiens|modif
la transformation|modif
a été constitué|crea
ont été implantés|crea
ont été construites|crea
La construction de trois autres centrales est en cours ou projetée|crea
installer de nouvelles centrales thermiques|crea
La suppression de certaines usines à gaz anciennes|destr
sont installés les principaux marchés de la grande agglomération parisienne|crea
Les Halles Centrales construites|crea
la modernisation des abattoirs|modif
pourraient être implantés|crea
pourra alors être réaménagé|repr
la création d’un parc de plusieurs centaines d’hectares|crea
concevoir|crea
les installations industrielles nouvelles|crea
la construction de barrages|crea
étudié depuis de longues années|crea
sont actuellement exécutés|crea
la création de nouveaux cimetières|crea
Ces nouveaux cimetières|crea
en cours de réalisation|crea
en projet|crea
constituer quelques cimetières régionaux ou de district|crea
ont été implantés progressivement|crea
ont été installées|crea
des transformations importantes|modif
"la réalisation de nombreux bâtiments administratifs, culturels ou sociaux, d’écoles, de crèches, de dispensaires</lieu>, de <lieu type=""obj""><res>foyers de jeunes travailleurs</res></lieu></dyn>"|crea
la création d’un réseau express régional|crea
le développement tentaculaire et désordonné des agglomérations et notamment de l'agglomération parisienne|crea
pouvant ou devant faire l’objet d’aménagement d’ensemble de caractère régional|crea
3 noyaux principaux de restructuration|repr
peuvent faire l’objet d’opérations de grands ensembles d’habitations , avec services publics et espaces verts|crea
des possibilités de construction pour 200.000 logements environ|crea
devant faire l’objet de rénovation|repr
les zones d’activités industrielles projetées|crea
Les zones nouvelles prévues|crea
les espaces verts à protéger|maint
les parcs de sports, bassins nautiques à réaliser|crea
les nouvelles constructions|crea
les sites importants à protéger|maint
LA CRÉATION DE 30 PARCS PUBLICS intercommunaux|crea
pourra être aménagée|modif
un futur stade de 100.000 places|crea
la sauvegarde du Bois de Vincennes|maint
la conception|crea
un futur parc olympique|crea
 son prolongement|crea
noyaux prévus|crea
la restructuration de la banlieue|repr
devront faire l’objet d’aménagement |modif
possibilités concrètes de réalisation|crea
l’aménagement d’une voie de liaison Nord-Sud, de la rocade des Fermiers Généraux et de certaines radiales|crea
L’ouverture de 1.140 km de voies nouvelles|crea
L’élargissement et l’aménagement de 2.500 km de routes nationales|modif
l’aménagement de 200 carrefours à niveaux différents|crea
la création de nombreux parcs de stationnement|crea
les voies conçues|crea
des carrefours aménagés|crea
La réorganisation de ce réseau pouvant se faire progressivement|repr
transformations progressives du réseau ferré|modif
la construction de tronçons de lignes nouvelles|crea
L’implantation de 4 nouvelles facultés|crea
extension de l’Université|crea
la poursuite des travaux en cours|crea
son extension|crea
21 hôpitaux nouveaux à créer|crea
6 extensions importantes|crea
la création de 5 hôpitaux nouveaux|crea
l’extension de 2 établissements existants|crea
les agrandissements prévus pour l’aéroport d’Orly|crea
la construction sera soit interdite, soit réglementée|crea
premières études de l’aéroport de Paris|crea
la future localisation de cet aéroport|crea
grands secteurs d’aménagement|crea
la création de ports nouveaux|crea
pourraient opportunément être supprimés|destr
L’aménagement de la Haute-Seine et de la Basse-Seine|crea
projets de barrages|crea
le maintien ou la suppression de ces aéroports|maint
Les centrales thermiques et les couloirs de lignes à très hautes tension, existants ou projetés|crea
des améliorations et des extensions éventuelles des autres centrales existantes|crea
la création de nouveaux couloirs de lignes de transport d’énergie électrique|crea
la disparition de certaines usines à gaz|destr
l’implantation d’un grand marché-gare|crea
recevoir notamment le marché des fruits et légumes des Halles|crea
devait être implanté|crea
pourrait être localisé|crea
sont prévues|crea
création de 5 cimetières régionaux et de 20 cimetières intercommunaux|crea
la prévision d’un établissement pénitentiaire|crea
l’aménagement de réserves|crea
l’extension du système de l’épuration|crea
le maintien des champs d’épandages|maint
zones d’activités industrielles projetées|crea
les constructions industrielles|crea
devront réserver un minimum de 10 m2 d’espaces verts publics par habitant|crea
Les secteurs susceptibles d’être urbanisés|crea
les secteurs à rénover|repr
les zones pouvant ou devant faire l’objet d’un aménagement d’ensemble de caractère régional|crea
relogement des activités|repr
implantations industrielles nouvelles|crea
doivent être aménagées|crea
espaces boisés à conserver|maint
interdiction de défricher ou de déboiser|destr
la protection des sites et monuments historiques|maint
la protection des sources, cours d’eau et voies navigables|maint
les logements nouveaux|crea
habitations édifiées|crea
créant le district de la Région de Paris|crea
croissance particulièrement rapide qu’a connu l’agglomération parisienne|crea
la réalisation des équipements indispensables|crea
la réalisation d’un réseau de transports régional|crea
la création d’un nouvel aérodrome Nord de PARIS|crea
amélioration du réseau routier existant|modif
création de voies nouvelles|crea
la mise en place des grands noyaux urbains, principaux ou secondaires|crea
des zones à urbaniser|crea
des opérations importantes de rénovation|repr
le développement et le rayonnement des grandes villes|crea
en évitant toute extension inutile|crea
seront des créations|crea
Cette réorganisation|repr
L'installation de lieux de travail (secondaire et tertiaire)|crea
l’équipement en services publics d’intérêt général|crea
doivent être prévus et réalisés simultanément avec les programmes de logements|crea
construction de logements|crea
ces logements nouveaux|crea
le remplacement des taudis et des îlots vétustes|repr
le renouvellement normal du patrimoine immobilier|repr
les équipements nouveaux|crea
l’amorce d’une transformation progressive du caractère de la vie de certains secteurs de banlieue ou de certaines villes à 50-70 km de PARIS|modif
une restructuration et d’une organisation de l’agglomération et de la Région|repr
la création de nouveaux noyaux ou centres urbains|crea
la réalisation rapide d’un métro régional express|crea
l’aménagement de grandes voies routières de dégagement|crea
des extensions périphériques faciles et incohérentes de l’agglomération|crea
maintenir tout autour de lui une large ceinture de verdure, une grande réserve boisée et rurale|maint
seront à localiser|crea
faut, de plus, sauvegarder toutes les pénétrations de zones vertes et de campagne|maint
en créer de nouvelles|crea
dessiner sur le sol PARIS et sa Région de demain|crea
des œuvres nouvelles|crea
ont conçu et réalisé le Centre National des Industries et des Techniques, le Palais de l’UNESCO, le Palais de l’OTAN, la Maison de la Radio</lieu></dyn>|crea
l’aménagement du quartier Maine-Montparnasse|modif
la prolifération des « lotissements »|crea
l’extension tentaculaire limitée volontairement par les «périmètres d’agglomération», approuvés en 1939, a été effectivement arrêtée|crea
des modifications sensibles de l’aspect et du mode de vie de ces banlieues|modif
l’extension d’industries (RENAULT à FLINS, SIMCA à POISSY)|crea
villes en développement|crea
l’expansion industrielle des activités|crea
implantations récentes d’importants groupes d’habitations|crea
un regroupement et une densification de la partie périphérique de l’agglomération|crea
la reconstruction des habitations et des industries complètement détruites|repr
le développement des villes satellites (new-towns)|crea
la construction du logement et les équipements collectifs|crea
toute création ou extension|crea
des bâtiments à construire|crea
créations ou extensions d’installations industrielles|crea
la construction dans la Région Parisienne d’immeubles privés à usage principal de bureaux commerciaux ou professionnels|crea
limiter l’extension des locaux à usage de bureaux et à usage industriel|crea
la construction de tels locaux|crea
leur suppression|destr
démolition|destr
transformation en locaux d’habitation ou en locaux scolaires|modif
destruction aussi de bâtiments industriels vétustes|destr
doivent être spécialement défendus|maint
une remise en ordre théorique des activités mal placées|repr
des possibilités de relogement d’usines ou d’ateliers|repr
seront donc appelées à se transformer ou à se déplacer|modif
se réinstaller|repr
moderniser leurs installations|modif
seront autorisées à se reconstituer|repr
regroupement et à la réinstallation d’activités|repr
pourront être adaptées suivant l’évolution générale du problème des activités dans les prochaines années et étendues|modif
remise en ordre progressive des activités du secteur secondaire|repr
une opération de rénovation parisienne|repr
remplacement de bâtiments vétustes|repr
la transformation de locaux d’habitation|modif
le maintien de certains services au grand complet|maint
la restructuration et la revitalisation de la banlieue et les cités satellites de la région|repr
la réorganisation de l’agglomération parisienne|repr
la démolition de locaux industriels ou de bureaux|destr
la réinstallation des établissements visés|repr
la restructuration de la banlieue parisienne|repr
doivent enfin revitaliser certaines « communes-dortoirs »|repr
réorganisations|repr
une décentralisation ou du maintien|maint
des quartiers vétustes ou insalubres qui sont à rénover|repr
en accentuant de plus en plus l’action de rénovation des quartiers insalubres et vétustes|repr
renouvellement du patrimoine immobilier|repr
RESTRUCTURER ET ORGANISER LA BANLIEUE|repr
une action de rénovation et de reconquête|repr
amorceront une restructuration et un meilleur équipement de l’agglomération parisienne|repr
la rénovation de quartiers vétustes ou insalubres de PARIS et de sa banlieue|repr
rénovation des quartiers insalubres et vétustes|repr
la suppression d’une centrale existante (ISSY-LES-MOULINEAUX)|destr
une sauvegarde rigoureuse des espaces verts existants|maint
