dynamique_text|dynamique_type
le développement de la métropole composite naissante|crea
la création de vastes noues plantées|crea
instituant, en cas de crue, de nouveaux bras du Rhin|crea
générant immédiatement de nouveaux cheminements|crea
remailler le territoire|repr
la mise en place de nouvelles ruralités urbaines et périurbaines|crea
avons installé 3 hectares de jardins cultivés, partagés|crea
la réinvention du rapport entre l’urbain, l’agriculture et la nature|repr
une mutation|modif
la nouvelle ruralité|crea
ne constituera bientôt plus un continuum mais une série de fragments plus ou moins isolés|modif
Cette mutation|modif
l’invention de la « wilderness » en version française|crea
permettrait de redonner des espaces à la nature|repr
transformer en forêts, en zones humides inaccessibles des dizaines de milliers de kilomètres carrés|modif
l’évolution urbaine de Toulouse et de sa périphérie|modif
créer des sanctuaires écologiques|crea
aménager un réseau de cheminements doux|crea
mettre en relation la Garonne, les canaux et la ville|crea
en connectant les allées|crea
réaménagement du site de l’écluse|repr
transformation des rives du bras supérieur de Garonne|modif
la transformation d’un site inondable d’anciennes sablières comblées partiellement en décharges|modif
les zones urbanisées|crea
doivent évoluer|modif
demeurer de grands paysages ouverts|maint
la création d’une grève alluviale et d’une signalétique mémorielle|crea
aménagement du parc de Carrières-sous-Poissy|crea
se densifier|crea
en préservant le cadre de vie|maint
un espace préservé|maint
faire de la vallée de la Vilaine un paysage structurant|modif
la création de deux voies principales|crea
verra le jour une série de nouveaux espaces publics|crea
l’implantation de nouvelles activités|crea
l’émergence de ces activités|crea
se modifie|modif
développement urbain|crea
transformation du territoire|modif
fabriquer une vision du territoire partagée par les communes|crea
le développement du littoral et de l’arrière-pays|crea
évolue|modif
se transforme|modif
s’adapte|modif
se meut|modif
modifie ses contours|modif
les évolutions de la ville|modif
bâtiments à construire|crea
prendra place|crea
Créer de nouvelles natures|crea
le projet du Campus Condorcet|crea
la plaine alluviale fertile en bord de Seine endommagée par la pollution des sols|modif
développer des typologies spécifiques|crea
sont maintenus au maximum|maint
sont prioritairement implantés|crea
le projet des Deux-Rives|crea
reliera les 80 hectares du quartier des Deux-Rives  aux forêts alluviales|crea
impliquant de nouvelles formes urbaines|crea
le comblement|modif
deviendra parc linéaire|modif
l’évolutivité des rez-de-chaussée|modif
soient reconvertibles|repr
prolongée|crea
une seconde opération|crea
la zone d’aménagement Euralille 2|crea
la création d’un milieu vivant : un bois habité|crea
bâtiments conçus|crea
réalisation et aménagement d’un quartier d’habitat|crea
Densifier le quartier patrimonial|crea
créer un nouveau quartier de plus de 500 logements et d’équipements, le parc Princesse|crea
la ville-parc du Vésinet initiée au milieu du xixe siècle|crea
futur quartier|crea
Le projet urbain conçu|crea
densifier le site|crea
maintenant les arbres remarquables|maint
sont prioritairement implantées|crea
la création d’un écoquartier|crea
Développé sur 16 hectares|crea
sera connectée à la future gare du Grand Paris Express|crea
est projeté|crea
l’aménagement des espaces publics et des lots bâtis|crea
l’installation d’une agriculture urbaine|crea
Le projet urbain des Deux-Rives|crea
reconquête des espaces du port|repr
le prolongement de la ligne D du tramway|crea
orientent l’urbanisation|crea
installer un maillage végétal continu|crea
concevoir une ville hybride|crea
l’émergence d’un nouveau type d’espace public|crea
Fabriquer des espaces publics bio-climatiques|crea
créons des continuités hydriques|crea
créer ou développer des zones de nature non anthropisée|crea
nos aménagements de parcs, de places et d’espaces publics|crea
vivant réintroduit|repr
projets de construction|crea
de nouveaux espaces productifs|crea
créer des espaces de nature à vivre|crea
retrouver la nature initiale de ce site|repr
la restauration du sol comme espace continu et perméable|repr
l’implantation d’un nouveau bosquet de respiration|crea
en produisant de nouveaux types d’espaces publics|crea
avons mis en place|crea
des jardins temporairement inondables, installés|crea
L’extension nord du périmètre d’Euroméditerranée|crea
créer de multiples puits de fraîcheurs|crea
Le projet d’écoquartier fluvial|crea
construire|crea
sont ainsi devenus une réserve écologique|modif
installe en bords de Seine un poumon vert inondable|crea
Déployer dans la ville des espaces de ressources naturelles|crea
doit relier le canal Saint-Denis au corridor biologique du faisceau ferré nord sur une vingtaine d’hectares|crea
avons rendu inaccessible et réservé aux seules fins de la nature un tiers de l’épaisseur du linéaire|maint
l’implantation d’écosystèmes verticaux ou stratifiés|crea
la constitution de « nodes »|crea
un aménagement|crea
en basculant d’un échangeur routier à une « place-parc »|modif
tentons de l’introduire|crea
le nouveau quartier des docks|crea
la transformation d’un territoire quasi monofonctionnel|modif
La conservation des espaces de jardinage existants|maint
zones d’expansion|crea
une serre conçue par l’agence comme une extension programmatique couverte du parc|crea
la création d’un parc public|crea
ce nouveau quartier|crea
un projet urbain d’ensemble reconvertissant les terrains Renault|repr
créer une version contemporaine du parc paysagé du xixe siècle|crea
des transformations continuelles|modif
redéfinit régulièrement la configuration du jardin|repr
sont constitués|crea
la réalisation du parc et des espaces publics attenants|crea
relier l’île de Nantes, le quartier Bas-Chantenay et le secteur Euronantes près de la gare|crea
une succession de projets réalisés ou en cours|crea
ont d’ores et déjà engagé la reconquête d’une partie des rives du fleuve|repr
la relocalisation de l’hôpital|repr
reconversion|repr
Les espaces publics projetés|crea
prolonger le paysage des berges|crea
étendre en longueur|crea
deviendra la « Place-Confluence »|modif
devient une « plage sportive » et festive|modif
mis en place|crea
plusieurs fois remaniée|repr
devenue carrefour stratégique|modif
la réalisation du quartier 22@|crea
inventer un écosystème urbain qui hybride ville et nature|crea
offrir un espace capable de remplir dans un même lieu les fonctions d’une place et celles d’un parc|crea
en déminéralisant et en fertilisant la surface actuelle imperméable et stérile|modif
mettre en place une canopée végétale|crea
la transformation du carrefour routier de Glòries|modif
transformer des quartiers|modif
la création d’espaces publics multifonctionnels|crea
se met en place|crea
toute construction|crea
transformation|modif
transformer les territoires|modif
